direction,mode,final_best,final_best_std,delta_final_vs_incumbent,best_so_far_auc,best_so_far_auc_std,delta_auc_vs_incumbent,top10_hit,interventions,bad_interventions
BH->Suzuki,incumbent,92.6085,5.4997,0.0,87.5533,8.7828,0.0,0.1,0.0,0.0
BH->Suzuki,transfer_gate_v1,91.3879,8.5773,-1.2206,86.4187,11.313,-1.1346,0.1667,3.2,1.6333
BH->Suzuki,transfer_strict_gate_v1,92.877,5.7846,0.2685,87.7002,8.8067,0.1469,0.1333,1.4333,0.8333
BH->Suzuki,transfer_descriptor_value_prior_gate_v1,92.551,4.6829,-0.0575,88.1918,6.8855,0.6385,0.0667,7.0,4.1667
BH->Suzuki,transfer_descriptor_value_prior_strict_gate_v1,92.0322,5.636,-0.5763,88.3821,6.8386,0.8288,0.1,7.4333,4.1
BH->Suzuki,transfer_descriptor_target_calibrated_no_gate,92.0185,6.9928,-0.59,86.769,10.8236,-0.7843,0.1667,5.5333,2.2
BH->Suzuki,transfer_descriptor_target_calibrated_gate_v1,91.6215,8.8467,-0.987,86.7785,11.1571,-0.7748,0.2,5.0,1.9333
BH->Suzuki,transfer_descriptor_target_calibrated_strict_gate_v1,92.0578,9.115,-0.5507,87.8745,10.1337,0.3212,0.2,3.7,1.8667
Suzuki->BH,incumbent,86.6477,13.4223,0.0,79.9713,13.0619,0.0,0.16,0.0,0.0
Suzuki->BH,transfer_gate_v1,89.0866,12.054,2.4389,81.0779,11.8737,1.1066,0.24,2.08,0.86
Suzuki->BH,transfer_strict_gate_v1,87.6158,11.0097,0.9681,80.2528,12.7058,0.2815,0.16,0.62,0.18
Suzuki->BH,transfer_descriptor_value_prior_gate_v1,75.8008,17.4077,-10.8469,72.347,16.6385,-7.6243,0.1,6.5,4.84
Suzuki->BH,transfer_descriptor_value_prior_strict_gate_v1,73.3883,17.6857,-13.2594,70.5371,17.2738,-9.4342,0.1,6.12,4.8
Suzuki->BH,transfer_descriptor_target_calibrated_no_gate,83.9891,14.1918,-2.6586,78.216,13.8329,-1.7553,0.16,5.04,2.22
Suzuki->BH,transfer_descriptor_target_calibrated_gate_v1,84.229,14.7377,-2.4187,78.5778,13.8473,-1.3935,0.16,4.82,1.98
Suzuki->BH,transfer_descriptor_target_calibrated_strict_gate_v1,88.0155,10.8613,1.3678,81.0597,11.9717,1.0884,0.14,3.16,0.94
