dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,llm_call_count,llm_parse_error_count,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_buchwald_hartwig,incumbent,0,70.6299,70.6299,29.3701,0,0,0,0,0,0,0,0,96,0.4527,0.5,0
real_buchwald_hartwig,transfer_gate_v1,0,97.948,76.0935,2.052,1,4,0,0,7,27608,0,0,96,0.4527,0.5,0
real_buchwald_hartwig,llm_rule_patch_guarded_conservative_interaction_gate_v1,0,93.1012,82.9473,6.8988,0,1,0,0,7,27608,1,0,96,0.4527,0.5,0
real_buchwald_hartwig,incumbent,1,92.659,83.0859,7.341,0,0,0,0,0,0,0,0,96,0.421,0.5,0
real_buchwald_hartwig,transfer_gate_v1,1,92.659,78.1685,7.341,0,4,2,0,7,23519,0,0,96,0.421,0.5,0
real_buchwald_hartwig,llm_rule_patch_guarded_conservative_interaction_gate_v1,1,89.0766,78.5655,10.9234,0,3,2,0,7,25097,1,0,96,0.421,0.5,0
real_buchwald_hartwig,incumbent,2,86.4129,77.9606,13.5871,0,0,0,0,0,0,0,0,96,0.4547,0.5,0
real_buchwald_hartwig,transfer_gate_v1,2,79.7398,77.9605,20.2602,0,7,0,0,7,24403,0,0,96,0.4547,0.5,0
real_buchwald_hartwig,llm_rule_patch_guarded_conservative_interaction_gate_v1,2,79.7398,76.626,20.2602,0,4,3,0,7,21721,1,0,96,0.4547,0.5,0
real_buchwald_hartwig,incumbent,3,84.4027,83.4019,15.5973,0,0,0,0,0,0,0,0,96,0.3328,0.5,0
real_buchwald_hartwig,transfer_gate_v1,3,92.659,86.0584,7.341,0,5,0,0,7,6791,0,0,96,0.3328,0.5,0
real_buchwald_hartwig,llm_rule_patch_guarded_conservative_interaction_gate_v1,3,98.2872,88.2409,1.7128,1,4,3,0,7,20183,1,0,96,0.3328,0.5,0
real_buchwald_hartwig,incumbent,4,94.6911,87.3772,5.3089,0,0,0,0,0,0,0,0,96,0.4493,0.5,0
real_buchwald_hartwig,transfer_gate_v1,4,94.6911,87.3772,5.3089,0,0,0,0,7,27608,0,0,96,0.4493,0.5,0
real_buchwald_hartwig,llm_rule_patch_guarded_conservative_interaction_gate_v1,4,94.6911,87.3772,5.3089,0,0,0,0,7,27608,1,0,96,0.4493,0.5,0
real_buchwald_hartwig,incumbent,5,88.1675,86.3166,11.8325,0,0,0,0,0,0,0,0,96,0.43,0.5,0
real_buchwald_hartwig,transfer_gate_v1,5,98.2872,93.3708,1.7128,1,6,2,0,7,17376,0,0,96,0.43,0.5,0
real_buchwald_hartwig,llm_rule_patch_guarded_conservative_interaction_gate_v1,5,98.2872,93.3708,1.7128,1,6,2,0,7,17376,1,0,96,0.43,0.5,0
real_buchwald_hartwig,incumbent,6,88.4449,88.1735,11.5551,0,0,0,0,0,0,0,0,96,0.4428,0.5,0
real_buchwald_hartwig,transfer_gate_v1,6,88.4449,88.1735,11.5551,0,2,2,0,7,23548,0,0,96,0.4428,0.5,0
real_buchwald_hartwig,llm_rule_patch_guarded_conservative_interaction_gate_v1,6,88.4449,88.1192,11.5551,0,3,2,0,7,23784,1,0,96,0.4428,0.5,0
real_buchwald_hartwig,incumbent,7,75.3112,75.3112,24.6888,0,0,0,0,0,0,0,0,96,0.4537,0.5,0
real_buchwald_hartwig,transfer_gate_v1,7,75.3112,75.3112,24.6888,0,2,2,0,7,22725,0,0,96,0.4537,0.5,0
real_buchwald_hartwig,llm_rule_patch_guarded_conservative_interaction_gate_v1,7,77.665,76.0173,22.335,0,5,4,0,7,22627,1,0,96,0.4537,0.5,0
real_buchwald_hartwig,incumbent,8,94.5498,80.4126,5.4502,0,0,0,0,0,0,0,0,96,0.462,0.5,0
real_buchwald_hartwig,transfer_gate_v1,8,94.5498,80.4126,5.4502,0,0,0,0,7,23733,0,0,96,0.462,0.5,0
real_buchwald_hartwig,llm_rule_patch_guarded_conservative_interaction_gate_v1,8,86.1982,74.0981,13.8018,0,3,3,0,7,23749,1,0,96,0.462,0.5,0
real_buchwald_hartwig,incumbent,9,90.9905,87.177,9.0095,0,0,0,0,0,0,0,0,96,0.4843,0.5,0
real_buchwald_hartwig,transfer_gate_v1,9,86.6896,86.2093,13.3104,0,5,3,0,7,15585,0,0,96,0.4843,0.5,0
real_buchwald_hartwig,llm_rule_patch_guarded_conservative_interaction_gate_v1,9,93.1012,90.2621,6.8988,0,5,3,0,7,22850,1,0,96,0.4843,0.5,0
