dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,llm_call_count,llm_parse_error_count,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_buchwald_hartwig,incumbent,0,70.6299,70.6299,29.3701,0,0,0,0,0,0,0,0,96,0.4527,0.5,0
real_buchwald_hartwig,transfer_gate_v1,0,97.948,76.0935,2.052,1,4,0,0,7,27608,0,0,96,0.4527,0.5,0
real_buchwald_hartwig,llm_rule_patch_interaction_gate_v1,0,100.0,84.6993,0.0,1,2,0,0,7,27608,1,0,96,0.4527,0.5,0
real_buchwald_hartwig,llm_rule_patch_guarded_interaction_gate_v1,0,100.0,82.1727,0.0,1,2,0,0,7,27608,1,0,96,0.4527,0.5,0
real_buchwald_hartwig,incumbent,1,92.659,83.0859,7.341,0,0,0,0,0,0,0,0,96,0.421,0.5,0
real_buchwald_hartwig,transfer_gate_v1,1,92.659,78.1685,7.341,0,4,2,0,7,23519,0,0,96,0.421,0.5,0
real_buchwald_hartwig,llm_rule_patch_interaction_gate_v1,1,92.659,80.2079,7.341,0,4,1,0,7,23987,1,0,96,0.421,0.5,0
real_buchwald_hartwig,llm_rule_patch_guarded_interaction_gate_v1,1,92.659,80.2079,7.341,0,4,1,0,7,23533,1,0,96,0.421,0.5,0
real_buchwald_hartwig,incumbent,2,86.4129,77.9606,13.5871,0,0,0,0,0,0,0,0,96,0.4547,0.5,0
real_buchwald_hartwig,transfer_gate_v1,2,79.7398,77.9605,20.2602,0,7,0,0,7,24403,0,0,96,0.4547,0.5,0
real_buchwald_hartwig,llm_rule_patch_interaction_gate_v1,2,79.7398,77.5156,20.2602,0,6,3,0,7,22040,1,0,96,0.4547,0.5,0
real_buchwald_hartwig,llm_rule_patch_guarded_interaction_gate_v1,2,79.7398,77.9605,20.2602,0,5,1,0,7,24403,1,0,96,0.4547,0.5,0
real_buchwald_hartwig,incumbent,3,84.4027,83.4019,15.5973,0,0,0,0,0,0,0,0,96,0.3328,0.5,0
real_buchwald_hartwig,transfer_gate_v1,3,92.659,86.0584,7.341,0,5,0,0,7,6791,0,0,96,0.3328,0.5,0
real_buchwald_hartwig,llm_rule_patch_interaction_gate_v1,3,86.1982,84.1201,13.8018,0,4,2,0,7,20290,1,0,96,0.3328,0.5,0
real_buchwald_hartwig,llm_rule_patch_guarded_interaction_gate_v1,3,92.659,84.7662,7.341,0,5,2,0,7,16938,1,0,96,0.3328,0.5,0
real_buchwald_hartwig,incumbent,4,94.6911,87.3772,5.3089,0,0,0,0,0,0,0,0,96,0.4493,0.5,0
real_buchwald_hartwig,transfer_gate_v1,4,94.6911,87.3772,5.3089,0,0,0,0,7,27608,0,0,96,0.4493,0.5,0
real_buchwald_hartwig,llm_rule_patch_interaction_gate_v1,4,94.6911,87.3772,5.3089,0,0,0,0,7,27608,1,0,96,0.4493,0.5,0
real_buchwald_hartwig,llm_rule_patch_guarded_interaction_gate_v1,4,94.6911,87.3772,5.3089,0,0,0,0,7,27608,1,0,96,0.4493,0.5,0
