source_dataset,target_dataset,best_transfer_policy,best_transfer_final_mean,best_transfer_auc_mean,best_transfer_top10_mean,delta_transfer_final_vs_public,delta_transfer_auc_vs_public,delta_transfer_final_vs_gp_ucb,delta_transfer_auc_vs_gp_ucb,delta_transfer_final_vs_best_target,delta_transfer_auc_vs_best_target,selected_by_calibration,selected_family,selected_heldout_final_mean,selected_heldout_auc_mean,selected_heldout_top10_mean,heldout_delta_selected_final_vs_public,heldout_delta_selected_auc_vs_public,heldout_delta_selected_final_vs_gp_ucb,heldout_delta_selected_auc_vs_gp_ucb,heldout_delta_selected_final_vs_best_target,heldout_delta_selected_auc_vs_best_target,selected_transfer_by_calibration,selected_transfer_heldout_final_mean,selected_transfer_heldout_auc_mean,selected_transfer_heldout_top10_mean,heldout_delta_transfer_selector_final_vs_public,heldout_delta_transfer_selector_auc_vs_public,heldout_delta_transfer_selector_final_vs_gp_ucb,heldout_delta_transfer_selector_auc_vs_gp_ucb,heldout_delta_transfer_selector_final_vs_best_target,heldout_delta_transfer_selector_auc_vs_best_target,risk_aware_vs_gp_selected,risk_aware_vs_gp_family,risk_aware_vs_gp_heldout_final_mean,risk_aware_vs_gp_heldout_auc_mean,heldout_delta_risk_gp_final_vs_gp_ucb,heldout_delta_risk_gp_auc_vs_gp_ucb,risk_aware_vs_best_target_selected,risk_aware_vs_best_target_family,risk_aware_vs_best_target_heldout_final_mean,risk_aware_vs_best_target_heldout_auc_mean,heldout_delta_risk_best_final_vs_best_target,heldout_delta_risk_best_auc_vs_best_target,best_target_policy,best_target_final_mean,best_target_auc_mean
real_buchwald_hartwig,real_chemlex_acidamine,transfer_gate:transfer_descriptor_target_calibrated_strict_gate_v1,80.8854,73.5367,0.0,0.0586,-0.0058,-6.8863,-6.2703,-10.4716,-9.9122,target_only:mixed_kernel_gp_ei,target_only,88.7624,80.0148,0.0,8.022,6.6885,1.0096,1.9361,-0.0616,-1.8,transfer_gate:transfer_descriptor_target_calibrated_strict_gate_v1,80.8576,73.3147,0.0,0.1172,-0.0116,-6.8952,-4.764,-7.9664,-8.5001,target_only:mixed_kernel_gp_ucb,target_only,87.7528,78.0787,0.0,0.0,target_only:mixed_kernel_gp_ei,target_only,88.7624,80.0148,-0.0616,-1.8,target_only:mixed_kernel_gp_ei,91.357,83.4489
real_buchwald_hartwig,real_suzuki_miyaura,hybrid_gp:hybrid_transfer_gp_ucb_no_gate,93.3867,88.4753,0.14,0.8051,0.4876,0.2847,-0.0325,0.2847,-0.0325,target_only:mixed_kernel_gp_ei,target_only,92.7179,87.6527,0.24,0.3946,-0.037,-1.152,-0.5625,-1.152,-0.5625,transfer_gate:transfer_descriptor_target_calibrated_strict_gate_v1,91.9096,87.9571,0.12,-0.4137,0.2674,-1.9603,-0.2581,-1.9603,-0.2581,target_only:mixed_kernel_gp_ucb,target_only,93.8699,88.2152,0.0,0.0,target_only:mixed_kernel_gp_ei,target_only,92.7179,87.6527,-1.152,-0.5625,target_only:mixed_kernel_gp_ucb,93.102,88.5078
real_chemlex_acidamine,real_buchwald_hartwig,weighted_kernel:transfer_weighted_gp_ucb_scale_2,90.5758,83.1126,0.26,3.9281,3.1413,-0.5387,0.1426,-0.5387,0.1426,weighted_kernel:transfer_weighted_gp_ucb_scale_1p5,weighted_kernel,87.49,77.7786,0.2,1.2583,-0.8094,-2.2111,-1.571,-2.2111,-1.571,weighted_kernel:transfer_weighted_gp_ucb_scale_1p5,87.49,77.7786,0.2,1.2583,-0.8094,-2.2111,-1.571,-2.2111,-1.571,target_only:mixed_kernel_gp_ucb,target_only,89.7011,79.3496,0.0,0.0,target_only:mixed_kernel_gp_ucb,target_only,89.7011,79.3496,0.0,0.0,target_only:mixed_kernel_gp_ucb,91.1145,82.97
real_chemlex_acidamine,real_suzuki_miyaura,transfer_gate:transfer_descriptor_target_calibrated_gate_v1,92.4869,88.0892,0.1,-0.0947,0.1015,-0.6151,-0.4186,-0.6151,-0.4186,target_only:mixed_kernel_gp_ei,target_only,92.7179,87.6527,0.24,0.3946,-0.037,-1.152,-0.5625,-1.152,-0.5625,transfer_gate:transfer_descriptor_target_calibrated_gate_v1,92.4769,88.0182,0.08,0.1536,0.3285,-1.393,-0.197,-1.393,-0.197,target_only:mixed_kernel_gp_ucb,target_only,93.8699,88.2152,0.0,0.0,target_only:mixed_kernel_gp_ei,target_only,92.7179,87.6527,-1.152,-0.5625,target_only:mixed_kernel_gp_ucb,93.102,88.5078
real_moleculenet_esol,real_moleculenet_freesolv,value_prior:transfer_value_prior_strict_gate_v1,64.0207,57.1621,0.48,-3.3893,-1.4305,-4.9246,-2.514,-4.9246,-2.514,target_only:mixed_kernel_gp_ei,target_only,68.7253,59.9912,0.52,1.4213,0.4351,-2.3427,-0.0476,-2.3427,-0.0476,value_prior:transfer_value_prior_gate_v1,64.6,58.1308,0.48,-2.704,-1.4253,-6.468,-1.908,-6.468,-1.908,target_only:mixed_kernel_gp_ucb,target_only,71.068,60.0388,0.0,0.0,target_only:mixed_kernel_gp_ei,target_only,68.7253,59.9912,-2.3427,-0.0476,target_only:mixed_kernel_gp_ucb,68.9453,59.6761
real_moleculenet_esol,real_moleculenet_lipophilicity,value_prior:transfer_value_prior_strict_gate_v1,87.7675,85.7815,0.04,0.46,0.2155,-0.71,-0.6763,-0.71,-0.6763,target_only:mixed_kernel_gp_ucb,target_only,88.395,86.2685,0.08,0.77,0.59,0.0,0.0,-0.29,-0.296,value_prior:transfer_value_prior_strict_gate_v1,87.96,85.7175,0.08,0.335,0.039,-0.435,-0.551,-0.725,-0.847,target_only:mixed_kernel_gp_ucb,target_only,88.395,86.2685,0.0,0.0,target_only:mixed_kernel_gp_ucb,target_only,88.395,86.2685,-0.29,-0.296,target_only:mixed_kernel_gp_ucb,88.4775,86.4578
real_moleculenet_freesolv,real_moleculenet_lipophilicity,value_prior:transfer_value_prior_gate_v1,90.0625,87.966,0.3,2.755,2.4,1.585,1.5082,1.585,1.5082,value_prior:transfer_value_prior_gate_v1,value_prior,89.925,87.642,0.24,2.3,1.9635,1.53,1.3735,1.24,1.0775,value_prior:transfer_value_prior_gate_v1,89.925,87.642,0.24,2.3,1.9635,1.53,1.3735,1.24,1.0775,value_prior:transfer_value_prior_gate_v1,value_prior,89.925,87.642,1.53,1.3735,value_prior:transfer_value_prior_gate_v1,value_prior,89.925,87.642,1.24,1.0775,target_only:mixed_kernel_gp_ucb,88.4775,86.4578
real_moleculenet_lipophilicity,real_moleculenet_freesolv,value_prior:transfer_value_prior_gate_v1,67.0507,57.6708,0.68,-0.3593,-0.9218,-1.8946,-2.0053,-1.8946,-2.0053,target_only:mixed_kernel_gp_ei,target_only,68.7253,59.9912,0.52,1.4213,0.4351,-2.3427,-0.0476,-2.3427,-0.0476,value_prior:transfer_value_prior_gate_v1,66.868,58.6439,0.68,-0.436,-0.9122,-4.2,-1.3949,-4.2,-1.3949,target_only:mixed_kernel_gp_ucb,target_only,71.068,60.0388,0.0,0.0,target_only:mixed_kernel_gp_ei,target_only,68.7253,59.9912,-2.3427,-0.0476,target_only:mixed_kernel_gp_ucb,68.9453,59.6761
real_suzuki_miyaura,real_buchwald_hartwig,weighted_kernel:transfer_weighted_gp_ucb_scale_1p5,91.4146,83.2862,0.26,4.7669,3.3149,0.3001,0.3162,0.3001,0.3162,weighted_kernel:transfer_weighted_gp_ucb_scale_1,weighted_kernel,88.1677,78.5899,0.12,1.936,0.0019,-1.5334,-0.7597,-1.5334,-0.7597,weighted_kernel:transfer_weighted_gp_ucb_scale_1,88.1677,78.5899,0.12,1.936,0.0019,-1.5334,-0.7597,-1.5334,-0.7597,target_only:mixed_kernel_gp_ucb,target_only,89.7011,79.3496,0.0,0.0,target_only:mixed_kernel_gp_ucb,target_only,89.7011,79.3496,0.0,0.0,target_only:mixed_kernel_gp_ucb,91.1145,82.97
real_suzuki_miyaura,real_chemlex_acidamine,weighted_kernel:transfer_weighted_gp_ucb_scale_1,91.0112,81.5843,0.02,10.1844,8.0418,3.2395,1.7773,-0.3458,-1.8646,target_only:mixed_kernel_gp_ei,target_only,88.7624,80.0148,0.0,8.022,6.6885,1.0096,1.9361,-0.0616,-1.8,weighted_kernel:transfer_weighted_gp_ucb_scale_1,88.5608,78.172,0.0,7.8204,4.8457,0.808,0.0933,-0.2632,-3.6428,weighted_kernel:transfer_weighted_gp_ucb_scale_1,weighted_kernel,88.5608,78.172,0.808,0.0933,target_only:mixed_kernel_gp_ei,target_only,88.7624,80.0148,-0.0616,-1.8,target_only:mixed_kernel_gp_ei,91.357,83.4489
