source_dataset,target_dataset,family,mode,policy,seeds,calibration_seeds,heldout_seeds,final_best_mean,final_best_std,best_so_far_auc_mean,best_so_far_auc_std,top10_hit_mean,top10_hit_std,balanced_score,cal_final_best_mean,cal_final_best_std,cal_best_so_far_auc_mean,cal_best_so_far_auc_std,cal_top10_hit_mean,cal_top10_hit_std,cal_balanced_score,heldout_final_best_mean,heldout_final_best_std,heldout_best_so_far_auc_mean,heldout_best_so_far_auc_std,heldout_top10_hit_mean,heldout_top10_hit_std,heldout_balanced_score
real_buchwald_hartwig,real_chemlex_acidamine,transfer_gate,transfer_descriptor_target_calibrated_gate_v1,transfer_gate:transfer_descriptor_target_calibrated_gate_v1,50,25,25,80.041,27.4384,73.1298,28.5947,0.0,0.0,153.1708,78.1888,29.5801,72.7363,30.3237,0.0,0.0,150.9251,81.8932,24.9779,73.5232,26.7485,0.0,0.0,155.4164
real_buchwald_hartwig,real_chemlex_acidamine,transfer_gate,transfer_descriptor_target_calibrated_strict_gate_v1,transfer_gate:transfer_descriptor_target_calibrated_strict_gate_v1,50,25,25,80.8854,28.0047,73.5367,28.8436,0.0,0.0,154.4221,80.9132,29.7519,73.7587,30.3068,0.0,0.0,154.6719,80.8576,26.141,73.3147,27.3002,0.0,0.0,154.1723
real_buchwald_hartwig,real_chemlex_acidamine,transfer_gate,transfer_gate_v1,transfer_gate:transfer_gate_v1,50,25,25,80.041,27.4384,73.1298,28.5947,0.0,0.0,153.1708,78.1888,29.5801,72.7363,30.3237,0.0,0.0,150.9251,81.8932,24.9779,73.5232,26.7485,0.0,0.0,155.4164
real_buchwald_hartwig,real_chemlex_acidamine,transfer_gate,transfer_strict_gate_v1,transfer_gate:transfer_strict_gate_v1,50,25,25,80.8854,28.0047,73.5367,28.8436,0.0,0.0,154.4221,80.9132,29.7519,73.7587,30.3068,0.0,0.0,154.6719,80.8576,26.141,73.3147,27.3002,0.0,0.0,154.1723
real_buchwald_hartwig,real_chemlex_acidamine,transfer_gate,transfer_value_prior_gate_v1,transfer_gate:transfer_value_prior_gate_v1,50,25,25,80.041,27.4384,73.1298,28.5947,0.0,0.0,153.1708,78.1888,29.5801,72.7363,30.3237,0.0,0.0,150.9251,81.8932,24.9779,73.5232,26.7485,0.0,0.0,155.4164
real_buchwald_hartwig,real_chemlex_acidamine,transfer_gate,transfer_value_prior_strict_gate_v1,transfer_gate:transfer_value_prior_strict_gate_v1,50,25,25,80.8854,28.0047,73.5367,28.8436,0.0,0.0,154.4221,80.9132,29.7519,73.7587,30.3068,0.0,0.0,154.6719,80.8576,26.141,73.3147,27.3002,0.0,0.0,154.1723
real_buchwald_hartwig,real_suzuki_miyaura,hybrid_gp,hybrid_transfer_gp_ucb_gate_v1,hybrid_gp:hybrid_transfer_gp_ucb_gate_v1,50,25,25,93.0209,7.1376,88.3746,9.7939,0.14,0.347,181.5355,91.9475,8.7026,88.7145,9.2226,0.08,0.2713,180.742,94.0942,4.8836,88.0346,10.3226,0.2,0.4,182.3288
real_buchwald_hartwig,real_suzuki_miyaura,hybrid_gp,hybrid_transfer_gp_ucb_no_gate,hybrid_gp:hybrid_transfer_gp_ucb_no_gate,50,25,25,93.3867,5.4393,88.4753,9.4404,0.14,0.347,182.002,92.6791,5.8584,88.9161,8.4437,0.08,0.2713,181.6752,94.0942,4.8836,88.0346,10.3226,0.2,0.4,182.3288
real_buchwald_hartwig,real_suzuki_miyaura,hybrid_gp,hybrid_value_prior_gp_ucb_adaptive_gate_v1,hybrid_gp:hybrid_value_prior_gp_ucb_adaptive_gate_v1,50,25,25,93.0209,7.1376,88.3746,9.7939,0.14,0.347,181.5355,91.9475,8.7026,88.7145,9.2226,0.08,0.2713,180.742,94.0942,4.8836,88.0346,10.3226,0.2,0.4,182.3288
real_buchwald_hartwig,real_suzuki_miyaura,hybrid_gp,hybrid_value_prior_gp_ucb_gate_v1,hybrid_gp:hybrid_value_prior_gp_ucb_gate_v1,50,25,25,93.0209,7.1376,88.3746,9.7939,0.14,0.347,181.5355,91.9475,8.7026,88.7145,9.2226,0.08,0.2713,180.742,94.0942,4.8836,88.0346,10.3226,0.2,0.4,182.3288
