dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,llm_call_count,challenger_change_count,challenger_change_rate,exploration_adjustment_count,penalize_adjustment_count,exploration_risk_accept_count,exploration_quota_accept_count,llm_mean_calibrated_confidence,hypothesis_confidence,hypothesis_support_count
real_chemlex_acidamine,incumbent,3,100.0,89.665,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.5,0
real_chemlex_acidamine,incumbent,4,7.67,7.67,92.33,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.5,0
real_chemlex_acidamine,incumbent,5,99.29,96.725,0.71,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.5,0
real_chemlex_acidamine,incumbent,6,95.44,95.44,4.56,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.5,0
real_chemlex_acidamine,incumbent,7,96.71,96.71,3.29,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.5,0
real_chemlex_acidamine,llm_explore_gate_v1,3,100.0,89.665,0.0,0,0,0,0,4,1,0.25,4,0,0,0,0.6167,0.5,0
real_chemlex_acidamine,llm_explore_gate_v1,4,7.67,7.67,92.33,0,0,0,0,4,2,0.5,3,3,0,0,0.3596,0.5,0
real_chemlex_acidamine,llm_explore_gate_v1,5,99.29,96.725,0.71,0,0,0,0,4,1,0.25,4,0,0,0,0.6751,0.5,0
real_chemlex_acidamine,llm_explore_gate_v1,6,95.44,95.44,4.56,0,0,0,1,4,2,0.5,4,1,0,0,0.6259,0.5,0
real_chemlex_acidamine,llm_explore_gate_v1,7,96.71,96.71,3.29,0,0,0,1,4,1,0.25,4,0,0,0,0.6189,0.5,0
