dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,30,40.875,37.2188,59.125,0
real_matbench_expt_gap,gp_ucb,30,46.25,41.25,53.75,0
real_matbench_expt_gap,llm_transfer_router,30,46.25,39.5156,53.75,0
real_matbench_expt_gap,mixed_kernel_gp_ei,30,46.25,39.5156,53.75,0
real_matbench_expt_gap,target_acquisition_portfolio,30,46.25,39.5156,53.75,0
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,31,91.25,91.25,8.75,0
real_matbench_expt_gap,gp_ucb,31,91.25,91.25,8.75,0
real_matbench_expt_gap,llm_transfer_router,31,91.25,91.25,8.75,0
real_matbench_expt_gap,mixed_kernel_gp_ei,31,91.25,91.25,8.75,0
real_matbench_expt_gap,target_acquisition_portfolio,31,91.25,91.25,8.75,0
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,32,36.5,36.5,63.5,0
real_matbench_expt_gap,gp_ucb,32,91.25,59.3438,8.75,0
real_matbench_expt_gap,llm_transfer_router,32,91.25,59.3438,8.75,0
real_matbench_expt_gap,mixed_kernel_gp_ei,32,91.25,59.3438,8.75,0
real_matbench_expt_gap,target_acquisition_portfolio,32,91.25,59.3438,8.75,0
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,33,40.75,37.1562,59.25,0
real_matbench_expt_gap,gp_ucb,33,40.75,37.875,59.25,0
real_matbench_expt_gap,llm_transfer_router,33,40.75,37.875,59.25,0
real_matbench_expt_gap,mixed_kernel_gp_ei,33,40.75,37.875,59.25,0
real_matbench_expt_gap,target_acquisition_portfolio,33,40.75,37.875,59.25,0
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,34,91.25,89.3281,8.75,0
real_matbench_expt_gap,gp_ucb,34,59.375,59.375,40.625,0
real_matbench_expt_gap,llm_transfer_router,34,59.375,59.375,40.625,0
real_matbench_expt_gap,mixed_kernel_gp_ei,34,46.25,45.7188,53.75,0
real_matbench_expt_gap,target_acquisition_portfolio,34,59.375,59.375,40.625,0
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,35,49.625,47.8281,50.375,0
real_matbench_expt_gap,gp_ucb,35,46.75,46.75,53.25,0
real_matbench_expt_gap,llm_transfer_router,35,46.75,46.75,53.25,0
real_matbench_expt_gap,mixed_kernel_gp_ei,35,46.75,46.75,53.25,0
real_matbench_expt_gap,target_acquisition_portfolio,35,46.75,46.75,53.25,0
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,36,52.125,40.0312,47.875,0
real_matbench_expt_gap,gp_ucb,36,52.125,40.0312,47.875,0
real_matbench_expt_gap,llm_transfer_router,36,52.125,40.75,47.875,0
real_matbench_expt_gap,mixed_kernel_gp_ei,36,52.125,40.0312,47.875,0
real_matbench_expt_gap,target_acquisition_portfolio,36,52.125,40.75,47.875,0
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,37,100.0,100.0,0.0,1
real_matbench_expt_gap,gp_ucb,37,100.0,100.0,0.0,1
real_matbench_expt_gap,llm_transfer_router,37,100.0,100.0,0.0,1
real_matbench_expt_gap,mixed_kernel_gp_ei,37,100.0,100.0,0.0,1
real_matbench_expt_gap,target_acquisition_portfolio,37,100.0,100.0,0.0,1
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,38,52.125,46.9062,47.875,0
real_matbench_expt_gap,gp_ucb,38,46.25,45.4375,53.75,0
real_matbench_expt_gap,llm_transfer_router,38,46.25,45.4375,53.75,0
real_matbench_expt_gap,mixed_kernel_gp_ei,38,46.25,45.4375,53.75,0
real_matbench_expt_gap,target_acquisition_portfolio,38,46.25,45.4375,53.75,0
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,39,29.625,29.625,70.375,0
real_matbench_expt_gap,gp_ucb,39,33.5,33.0156,66.5,0
real_matbench_expt_gap,llm_transfer_router,39,33.5,33.0156,66.5,0
real_matbench_expt_gap,mixed_kernel_gp_ei,39,29.625,29.625,70.375,0
real_matbench_expt_gap,target_acquisition_portfolio,39,33.5,33.0156,66.5,0
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40,52.125,43.375,47.875,0
real_matbench_expt_gap,gp_ucb,40,45.625,40.1875,54.375,0
real_matbench_expt_gap,llm_transfer_router,40,51.25,40.8125,48.75,0
real_matbench_expt_gap,mixed_kernel_gp_ei,40,100.0,50.25,0.0,1
real_matbench_expt_gap,target_acquisition_portfolio,40,51.25,40.8125,48.75,0
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,41,55.5,53.9688,44.5,0
real_matbench_expt_gap,gp_ucb,41,56.25,54.375,43.75,0
real_matbench_expt_gap,llm_transfer_router,41,56.25,54.6875,43.75,0
real_matbench_expt_gap,mixed_kernel_gp_ei,41,70.0,65.9375,30.0,0
real_matbench_expt_gap,target_acquisition_portfolio,41,56.25,54.6875,43.75,0
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,42,27.5,27.5,72.5,0
real_matbench_expt_gap,gp_ucb,42,28.75,27.9688,71.25,0
real_matbench_expt_gap,llm_transfer_router,42,27.5,27.5,72.5,0
real_matbench_expt_gap,mixed_kernel_gp_ei,42,28.75,28.125,71.25,0
real_matbench_expt_gap,target_acquisition_portfolio,42,27.5,27.5,72.5,0
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,43,64.0,64.0,36.0,0
real_matbench_expt_gap,gp_ucb,43,64.0,64.0,36.0,0
real_matbench_expt_gap,llm_transfer_router,43,64.0,64.0,36.0,0
real_matbench_expt_gap,mixed_kernel_gp_ei,43,64.0,64.0,36.0,0
real_matbench_expt_gap,target_acquisition_portfolio,43,64.0,64.0,36.0,0
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,44,45.125,36.8125,54.875,0
real_matbench_expt_gap,gp_ucb,44,53.125,51.3594,46.875,0
real_matbench_expt_gap,llm_transfer_router,44,53.125,51.3594,46.875,0
real_matbench_expt_gap,mixed_kernel_gp_ei,44,53.125,51.3594,46.875,0
real_matbench_expt_gap,target_acquisition_portfolio,44,53.125,51.3594,46.875,0
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,45,41.25,41.25,58.75,0
real_matbench_expt_gap,gp_ucb,45,41.25,41.25,58.75,0
real_matbench_expt_gap,llm_transfer_router,45,41.25,41.25,58.75,0
real_matbench_expt_gap,mixed_kernel_gp_ei,45,41.25,41.25,58.75,0
real_matbench_expt_gap,target_acquisition_portfolio,45,41.25,41.25,58.75,0
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,46,36.5,36.5,63.5,0
real_matbench_expt_gap,gp_ucb,46,47.375,42.625,52.625,0
real_matbench_expt_gap,llm_transfer_router,46,47.375,42.625,52.625,0
real_matbench_expt_gap,mixed_kernel_gp_ei,46,47.375,43.9062,52.625,0
real_matbench_expt_gap,target_acquisition_portfolio,46,47.375,42.625,52.625,0
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,47,100.0,65.3281,0.0,1
real_matbench_expt_gap,gp_ucb,47,43.25,38.7969,56.75,0
real_matbench_expt_gap,llm_transfer_router,47,61.75,57.9062,38.25,0
real_matbench_expt_gap,mixed_kernel_gp_ei,47,61.75,57.9062,38.25,0
real_matbench_expt_gap,target_acquisition_portfolio,47,61.75,57.9062,38.25,0
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,48,100.0,100.0,0.0,0
real_matbench_expt_gap,gp_ucb,48,100.0,100.0,0.0,0
real_matbench_expt_gap,llm_transfer_router,48,100.0,100.0,0.0,0
real_matbench_expt_gap,mixed_kernel_gp_ei,48,100.0,100.0,0.0,0
real_matbench_expt_gap,target_acquisition_portfolio,48,100.0,100.0,0.0,0
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,49,53.75,53.75,46.25,0
real_matbench_expt_gap,gp_ucb,49,53.75,53.75,46.25,0
real_matbench_expt_gap,llm_transfer_router,49,53.75,53.75,46.25,0
real_matbench_expt_gap,mixed_kernel_gp_ei,49,53.75,53.75,46.25,0
real_matbench_expt_gap,target_acquisition_portfolio,49,53.75,53.75,46.25,0
