dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,30,86.25,85.9375,7.5,0
real_moleculenet_lipophilicity,gp_ucb,30,86.25,85.9375,7.5,0
real_moleculenet_lipophilicity,llm_transfer_router,30,86.25,85.7812,7.5,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,30,85.0,85.0,8.75,0
real_moleculenet_lipophilicity,target_acquisition_portfolio,30,86.25,85.7812,7.5,0
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,31,91.875,85.5156,1.875,0
real_moleculenet_lipophilicity,gp_ucb,31,91.875,85.5156,1.875,0
real_moleculenet_lipophilicity,llm_transfer_router,31,87.375,83.9844,6.375,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,31,92.25,86.7812,1.5,0
real_moleculenet_lipophilicity,target_acquisition_portfolio,31,87.375,83.9844,6.375,0
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,32,87.25,87.25,6.5,0
real_moleculenet_lipophilicity,gp_ucb,32,87.25,87.25,6.5,0
real_moleculenet_lipophilicity,llm_transfer_router,32,87.25,87.25,6.5,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,32,87.5,87.2812,6.25,0
real_moleculenet_lipophilicity,target_acquisition_portfolio,32,87.25,87.25,6.5,0
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,33,77.625,77.625,16.125,0
real_moleculenet_lipophilicity,gp_ucb,33,78.0,77.7188,15.75,0
real_moleculenet_lipophilicity,llm_transfer_router,33,86.25,85.1719,7.5,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,33,86.25,85.1719,7.5,0
real_moleculenet_lipophilicity,target_acquisition_portfolio,33,86.25,85.1719,7.5,0
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,34,92.5,92.5,1.25,0
real_moleculenet_lipophilicity,gp_ucb,34,92.5,92.5,1.25,0
real_moleculenet_lipophilicity,llm_transfer_router,34,92.5,92.5,1.25,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,34,92.5,92.5,1.25,0
real_moleculenet_lipophilicity,target_acquisition_portfolio,34,92.5,92.5,1.25,0
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,35,90.0,89.375,3.75,0
real_moleculenet_lipophilicity,gp_ucb,35,90.0,89.375,3.75,0
real_moleculenet_lipophilicity,llm_transfer_router,35,90.0,89.375,3.75,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,35,90.0,89.375,3.75,0
real_moleculenet_lipophilicity,target_acquisition_portfolio,35,90.0,89.375,3.75,0
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,36,87.5,87.1875,6.25,0
real_moleculenet_lipophilicity,gp_ucb,36,86.25,86.25,7.5,0
real_moleculenet_lipophilicity,llm_transfer_router,36,86.25,86.25,7.5,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,36,89.5,89.5,4.25,0
real_moleculenet_lipophilicity,target_acquisition_portfolio,36,86.25,86.25,7.5,0
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,37,90.0,85.8594,3.75,0
real_moleculenet_lipophilicity,gp_ucb,37,90.0,85.8594,3.75,0
real_moleculenet_lipophilicity,llm_transfer_router,37,90.0,85.8594,3.75,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,37,83.375,83.375,10.375,0
real_moleculenet_lipophilicity,target_acquisition_portfolio,37,90.0,85.8594,3.75,0
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,38,77.5,77.3125,16.25,0
real_moleculenet_lipophilicity,gp_ucb,38,85.875,78.5312,7.875,0
real_moleculenet_lipophilicity,llm_transfer_router,38,82.5,78.1094,11.25,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,38,87.5,81.3906,6.25,0
real_moleculenet_lipophilicity,target_acquisition_portfolio,38,85.875,78.5312,7.875,0
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,39,93.75,88.1719,0.0,1
real_moleculenet_lipophilicity,gp_ucb,39,93.75,88.1719,0.0,1
real_moleculenet_lipophilicity,llm_transfer_router,39,93.75,86.3594,0.0,1
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,39,93.75,86.3594,0.0,1
real_moleculenet_lipophilicity,target_acquisition_portfolio,39,93.75,86.3594,0.0,1
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40,83.125,80.3594,10.625,0
real_moleculenet_lipophilicity,gp_ucb,40,82.5,79.6094,11.25,0
real_moleculenet_lipophilicity,llm_transfer_router,40,83.125,80.3594,10.625,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,40,82.5,79.6094,11.25,0
real_moleculenet_lipophilicity,target_acquisition_portfolio,40,83.125,80.3594,10.625,0
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,41,82.5,82.5,11.25,0
real_moleculenet_lipophilicity,gp_ucb,41,83.75,83.75,10.0,0
real_moleculenet_lipophilicity,llm_transfer_router,41,83.75,83.75,10.0,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,41,83.75,83.75,10.0,0
real_moleculenet_lipophilicity,target_acquisition_portfolio,41,83.75,83.75,10.0,0
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,42,91.875,86.8125,1.875,0
real_moleculenet_lipophilicity,gp_ucb,42,87.5,86.9062,6.25,0
real_moleculenet_lipophilicity,llm_transfer_router,42,87.375,85.6875,6.375,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,42,87.5,86.9062,6.25,0
real_moleculenet_lipophilicity,target_acquisition_portfolio,42,87.375,85.6875,6.375,0
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,43,87.0,87.0,6.75,0
real_moleculenet_lipophilicity,gp_ucb,43,87.0,87.0,6.75,0
real_moleculenet_lipophilicity,llm_transfer_router,43,87.0,87.0,6.75,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,43,87.0,87.0,6.75,0
real_moleculenet_lipophilicity,target_acquisition_portfolio,43,87.0,87.0,6.75,0
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,44,91.875,88.5938,1.875,0
real_moleculenet_lipophilicity,gp_ucb,44,91.875,88.5938,1.875,0
real_moleculenet_lipophilicity,llm_transfer_router,44,91.875,88.5938,1.875,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,44,87.5,87.5,6.25,0
real_moleculenet_lipophilicity,target_acquisition_portfolio,44,91.875,88.5938,1.875,0
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,45,90.0,87.1875,3.75,0
real_moleculenet_lipophilicity,gp_ucb,45,91.25,86.375,2.5,0
real_moleculenet_lipophilicity,llm_transfer_router,45,82.75,80.25,11.0,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,45,87.5,85.2812,6.25,0
