dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,30,93.4211,92.8495,6.5789,0
real_buchwald_hartwig,gp_ucb,30,93.4211,91.9467,6.5789,0
real_buchwald_hartwig,llm_transfer_router,30,98.2872,93.2585,1.7128,1
real_buchwald_hartwig,mixed_kernel_gp_ei,30,98.2872,93.2585,1.7128,1
real_buchwald_hartwig,target_acquisition_portfolio,30,98.2872,93.2585,1.7128,1
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,31,66.2654,55.3354,33.7346,0
real_buchwald_hartwig,gp_ucb,31,66.2654,55.3354,33.7346,0
real_buchwald_hartwig,llm_transfer_router,31,66.2654,55.499,33.7346,0
real_buchwald_hartwig,mixed_kernel_gp_ei,31,66.2654,55.499,33.7346,0
real_buchwald_hartwig,target_acquisition_portfolio,31,66.2654,55.499,33.7346,0
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,32,93.7486,93.7486,6.2514,0
real_buchwald_hartwig,gp_ucb,32,93.7486,93.7486,6.2514,0
real_buchwald_hartwig,llm_transfer_router,32,93.7486,93.7486,6.2514,0
real_buchwald_hartwig,mixed_kernel_gp_ei,32,97.2929,96.499,2.7071,0
real_buchwald_hartwig,target_acquisition_portfolio,32,93.7486,93.7486,6.2514,0
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,33,96.1323,87.3483,3.8677,0
real_buchwald_hartwig,gp_ucb,33,96.1323,87.3483,3.8677,0
real_buchwald_hartwig,llm_transfer_router,33,96.1323,86.3959,3.8677,0
real_buchwald_hartwig,mixed_kernel_gp_ei,33,88.5139,84.9956,11.4861,0
real_buchwald_hartwig,target_acquisition_portfolio,33,96.1323,86.3959,3.8677,0
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,34,86.3247,84.5456,13.6753,0
real_buchwald_hartwig,gp_ucb,34,89.3231,86.8768,10.6769,0
real_buchwald_hartwig,llm_transfer_router,34,89.3231,86.8768,10.6769,0
real_buchwald_hartwig,mixed_kernel_gp_ei,34,85.8123,59.6938,14.1877,0
real_buchwald_hartwig,target_acquisition_portfolio,34,89.3231,86.8768,10.6769,0
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,35,94.1517,94.1517,5.8483,0
real_buchwald_hartwig,gp_ucb,35,94.1517,94.1517,5.8483,0
real_buchwald_hartwig,llm_transfer_router,35,94.1517,94.1517,5.8483,0
real_buchwald_hartwig,mixed_kernel_gp_ei,35,98.1771,97.0486,1.8229,1
real_buchwald_hartwig,target_acquisition_portfolio,35,94.1517,94.1517,5.8483,0
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,36,98.8492,76.9113,1.1508,1
real_buchwald_hartwig,gp_ucb,36,63.4288,49.8974,36.5712,0
real_buchwald_hartwig,llm_transfer_router,36,63.4288,51.4187,36.5712,0
real_buchwald_hartwig,mixed_kernel_gp_ei,36,63.4288,49.8974,36.5712,0
real_buchwald_hartwig,target_acquisition_portfolio,36,63.4288,51.4187,36.5712,0
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,37,93.3108,89.7799,6.6892,0
real_buchwald_hartwig,gp_ucb,37,93.3108,89.7799,6.6892,0
real_buchwald_hartwig,llm_transfer_router,37,93.3108,88.5035,6.6892,0
real_buchwald_hartwig,mixed_kernel_gp_ei,37,93.3108,88.5035,6.6892,0
real_buchwald_hartwig,target_acquisition_portfolio,37,93.3108,88.5035,6.6892,0
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,38,98.8492,81.0046,1.1508,1
real_buchwald_hartwig,gp_ucb,38,98.8492,81.0046,1.1508,1
real_buchwald_hartwig,llm_transfer_router,38,98.8492,81.0046,1.1508,1
real_buchwald_hartwig,mixed_kernel_gp_ei,38,79.0611,76.2059,20.9389,0
