dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,30,43.61,43.61,56.39,0
real_chemlex_acidamine,gp_ucb,30,43.61,43.61,56.39,0
real_chemlex_acidamine,llm_transfer_router,30,92.59,88.655,7.41,0
real_chemlex_acidamine,mixed_kernel_gp_ei,30,100.0,93.2862,0.0,0
real_chemlex_acidamine,target_acquisition_portfolio,30,92.59,88.655,7.41,0
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,31,97.97,97.175,2.03,0
real_chemlex_acidamine,gp_ucb,31,97.97,97.3075,2.03,0
real_chemlex_acidamine,llm_transfer_router,31,97.75,97.54,2.25,0
real_chemlex_acidamine,mixed_kernel_gp_ei,31,96.91,96.91,3.09,0
real_chemlex_acidamine,target_acquisition_portfolio,31,97.75,97.54,2.25,0
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,32,95.52,95.52,4.48,0
real_chemlex_acidamine,gp_ucb,32,97.31,96.8625,2.69,0
real_chemlex_acidamine,llm_transfer_router,32,95.52,95.52,4.48,0
real_chemlex_acidamine,mixed_kernel_gp_ei,32,91.35,91.35,8.65,0
real_chemlex_acidamine,target_acquisition_portfolio,32,95.52,95.52,4.48,0
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,33,100.0,98.2125,0.0,0
real_chemlex_acidamine,gp_ucb,33,97.14,97.14,2.86,0
real_chemlex_acidamine,llm_transfer_router,33,97.14,97.14,2.86,0
real_chemlex_acidamine,mixed_kernel_gp_ei,33,97.14,97.14,2.86,0
real_chemlex_acidamine,target_acquisition_portfolio,33,97.14,97.14,2.86,0
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,34,48.89,48.89,51.11,0
real_chemlex_acidamine,gp_ucb,34,99.3,67.3275,0.7,0
real_chemlex_acidamine,llm_transfer_router,34,94.9,71.895,5.1,0
real_chemlex_acidamine,mixed_kernel_gp_ei,34,94.26,70.5225,5.74,0
real_chemlex_acidamine,target_acquisition_portfolio,34,94.9,71.895,5.1,0
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,35,87.3,82.125,12.7,0
real_chemlex_acidamine,gp_ucb,35,90.76,90.1412,9.24,0
real_chemlex_acidamine,llm_transfer_router,35,92.44,91.4387,7.56,0
real_chemlex_acidamine,mixed_kernel_gp_ei,35,92.44,91.4387,7.56,0
real_chemlex_acidamine,target_acquisition_portfolio,35,92.44,91.4387,7.56,0
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,36,72.94,72.94,27.06,0
real_chemlex_acidamine,gp_ucb,36,72.94,72.94,27.06,0
real_chemlex_acidamine,llm_transfer_router,36,72.94,72.94,27.06,0
real_chemlex_acidamine,mixed_kernel_gp_ei,36,72.94,72.94,27.06,0
real_chemlex_acidamine,target_acquisition_portfolio,36,72.94,72.94,27.06,0
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,37,87.39,43.6337,12.61,0
real_chemlex_acidamine,gp_ucb,37,88.24,59.5463,11.76,0
real_chemlex_acidamine,llm_transfer_router,37,88.24,59.7825,11.76,0
real_chemlex_acidamine,mixed_kernel_gp_ei,37,88.24,56.03,11.76,0
real_chemlex_acidamine,target_acquisition_portfolio,37,88.24,59.7825,11.76,0
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,38,100.0,89.2287,0.0,0
real_chemlex_acidamine,gp_ucb,38,87.2,79.59,12.8,0
real_chemlex_acidamine,llm_transfer_router,38,87.2,79.59,12.8,0
real_chemlex_acidamine,mixed_kernel_gp_ei,38,87.2,79.59,12.8,0
real_chemlex_acidamine,target_acquisition_portfolio,38,87.2,79.59,12.8,0
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,39,59.77,41.9875,40.23,0
real_chemlex_acidamine,gp_ucb,39,23.21,23.21,76.79,0
real_chemlex_acidamine,llm_transfer_router,39,23.21,23.21,76.79,0
real_chemlex_acidamine,mixed_kernel_gp_ei,39,23.21,23.21,76.79,0
real_chemlex_acidamine,target_acquisition_portfolio,39,23.21,23.21,76.79,0
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40,95.95,95.95,4.05,0
real_chemlex_acidamine,gp_ucb,40,95.95,95.95,4.05,0
real_chemlex_acidamine,llm_transfer_router,40,95.95,95.95,4.05,0
real_chemlex_acidamine,mixed_kernel_gp_ei,40,95.95,95.95,4.05,0
real_chemlex_acidamine,target_acquisition_portfolio,40,95.95,95.95,4.05,0
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,41,95.04,95.04,4.96,0
real_chemlex_acidamine,gp_ucb,41,97.0,95.775,3.0,0
real_chemlex_acidamine,llm_transfer_router,41,95.04,95.04,4.96,0
real_chemlex_acidamine,mixed_kernel_gp_ei,41,95.04,95.04,4.96,0
real_chemlex_acidamine,target_acquisition_portfolio,41,95.04,95.04,4.96,0
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,42,90.4,60.2625,9.6,0
real_chemlex_acidamine,gp_ucb,42,72.31,41.82,27.69,0
real_chemlex_acidamine,llm_transfer_router,42,90.4,60.2625,9.6,0
real_chemlex_acidamine,mixed_kernel_gp_ei,42,90.4,58.285,9.6,0
real_chemlex_acidamine,target_acquisition_portfolio,42,90.4,60.2625,9.6,0
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,43,6.5,3.25,93.5,0
real_chemlex_acidamine,gp_ucb,43,6.5,3.25,93.5,0
real_chemlex_acidamine,llm_transfer_router,43,6.5,3.25,93.5,0
real_chemlex_acidamine,mixed_kernel_gp_ei,43,6.5,3.25,93.5,0
real_chemlex_acidamine,target_acquisition_portfolio,43,6.5,3.25,93.5,0
