dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,mean_historical_novelty,mean_within_batch_distance,challenger_change_rate,gate_authorization_rate,llm_call_count
real_buchwald_hartwig,incumbent_batch,50,85.2691,85.2691,14.7309,0,0.29167,0.25,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,51,84.5385,77.5019,15.4615,0,0.33333,0.33333,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,52,90.9905,88.8904,9.0095,0,0.33333,0.33333,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,53,93.0289,87.0891,6.9711,0,0.5,0.33333,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,54,65.7347,63.0375,34.2653,0,0.29167,0.33333,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,55,79.7398,79.7398,20.2602,0,0.25,0.33333,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,56,86.0898,86.0898,13.9102,0,0.375,0.33333,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,57,74.6393,74.3057,25.3607,0,0.29167,0.33333,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,58,59.3199,59.3199,40.6801,0,0.25,0.41667,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,59,86.1982,83.6435,13.8018,0,0.25,0.33333,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,60,95.6759,94.2935,4.3241,0,0.33333,0.25,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,61,73.2464,72.6456,26.7536,0,0.29167,0.33333,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,62,80.0652,73.5409,19.9348,0,0.25,0.41667,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,63,100.0,100.0,0.0,1,0.25,0.25,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,64,92.256,88.399,7.744,0,0.25,0.33333,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,65,89.4195,89.4195,10.5805,0,0.29167,0.33333,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,66,91.3906,89.7929,8.6094,0,0.33333,0.41667,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,67,58.6832,47.0525,41.3168,0,0.41667,0.33333,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,68,95.0702,95.0702,4.9298,0,0.25,0.41667,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,69,93.3108,93.3108,6.6892,0,0.29167,0.41667,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,70,100.0,96.5329,0.0,1,0.25,0.25,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,71,92.5725,91.5419,7.4275,0,0.25,0.58333,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,72,85.2691,70.9928,14.7309,0,0.41667,0.25,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,73,83.4092,67.3497,16.5908,0,0.29167,0.25,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,74,87.9311,87.9311,12.0689,0,0.25,0.33333,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,75,79.4448,79.4448,20.5552,0,0.29167,0.5,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,76,91.5286,91.5286,8.4714,0,0.25,0.25,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,77,91.6524,83.811,8.3476,0,0.29167,0.25,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,78,95.129,85.0431,4.871,0,0.29167,0.25,0.0,0.0,0
real_buchwald_hartwig,incumbent_batch,79,90.9905,90.9905,9.0095,0,0.29167,0.5,0.0,0.0,0
real_buchwald_hartwig,target_diverse_batch_gate,50,85.2691,82.5236,14.7309,0,0.33333,0.41667,0.5,0.33333,0
real_buchwald_hartwig,target_diverse_batch_gate,51,75.2094,67.3557,24.7906,0,0.45833,0.41667,0.66667,0.5,0
real_buchwald_hartwig,target_diverse_batch_gate,52,87.5542,86.5995,12.4458,0,0.375,0.41667,0.33333,0.16667,0
real_buchwald_hartwig,target_diverse_batch_gate,53,93.0289,87.0891,6.9711,0,0.5,0.33333,0.33333,0.0,0
real_buchwald_hartwig,target_diverse_batch_gate,54,77.7868,72.4208,22.2132,0,0.45833,0.5,0.66667,0.66667,0
real_buchwald_hartwig,target_diverse_batch_gate,55,79.8724,79.784,20.1276,0,0.29167,0.41667,0.33333,0.16667,0
real_buchwald_hartwig,target_diverse_batch_gate,56,86.0898,86.0898,13.9102,0,0.41667,0.33333,0.66667,0.33333,0
real_buchwald_hartwig,target_diverse_batch_gate,57,74.6393,74.3057,25.3607,0,0.29167,0.33333,0.33333,0.0,0
real_buchwald_hartwig,target_diverse_batch_gate,58,67.4807,64.7604,32.5193,0,0.33333,0.33333,0.66667,0.33333,0
real_buchwald_hartwig,target_diverse_batch_gate,59,92.659,88.026,7.341,0,0.29167,0.33333,0.5,0.16667,0
real_buchwald_hartwig,target_diverse_batch_gate,60,98.1771,98.1771,1.8229,1,0.375,0.41667,0.33333,0.16667,0
real_buchwald_hartwig,target_diverse_batch_gate,61,83.4092,76.3336,16.5908,0,0.33333,0.41667,0.33333,0.16667,0
real_buchwald_hartwig,target_diverse_batch_gate,62,55.5901,55.5901,44.4099,0,0.54167,0.5,0.66667,0.66667,0
real_buchwald_hartwig,target_diverse_batch_gate,63,86.7621,85.2797,13.2379,0,0.29167,0.41667,0.33333,0.16667,0
real_buchwald_hartwig,target_diverse_batch_gate,64,92.256,88.399,7.744,0,0.29167,0.5,0.16667,0.16667,0
real_buchwald_hartwig,target_diverse_batch_gate,65,89.4195,89.4195,10.5805,0,0.29167,0.33333,0.5,0.16667,0
real_buchwald_hartwig,target_diverse_batch_gate,66,91.3906,84.1278,8.6094,0,0.375,0.41667,0.33333,0.16667,0
real_buchwald_hartwig,target_diverse_batch_gate,67,58.6832,47.0525,41.3168,0,0.41667,0.33333,0.33333,0.0,0
real_buchwald_hartwig,target_diverse_batch_gate,68,95.0702,92.1245,4.9298,0,0.45833,0.5,0.5,0.5,0
real_buchwald_hartwig,target_diverse_batch_gate,69,93.3108,93.3108,6.6892,0,0.29167,0.41667,0.16667,0.0,0
real_buchwald_hartwig,target_diverse_batch_gate,70,100.0,96.3766,0.0,1,0.29167,0.33333,0.5,0.16667,0
real_buchwald_hartwig,target_diverse_batch_gate,71,92.5725,91.5419,7.4275,0,0.25,0.58333,0.0,0.0,0
real_buchwald_hartwig,target_diverse_batch_gate,72,85.2691,78.131,14.7309,0,0.41667,0.5,0.66667,0.66667,0
real_buchwald_hartwig,target_diverse_batch_gate,73,93.0289,77.991,6.9711,0,0.375,0.5,0.16667,0.16667,0
real_buchwald_hartwig,target_diverse_batch_gate,74,83.3771,83.3771,16.6229,0,0.33333,0.33333,0.66667,0.33333,0
real_buchwald_hartwig,target_diverse_batch_gate,75,79.4448,79.4448,20.5552,0,0.41667,0.5,0.33333,0.33333,0
real_buchwald_hartwig,target_diverse_batch_gate,76,91.5286,91.5286,8.4714,0,0.25,0.25,0.5,0.0,0
real_buchwald_hartwig,target_diverse_batch_gate,77,79.8903,79.8903,20.1097,0,0.33333,0.5,0.33333,0.33333,0
real_buchwald_hartwig,target_diverse_batch_gate,78,95.129,85.0431,4.871,0,0.29167,0.25,0.5,0.0,0
real_buchwald_hartwig,target_diverse_batch_gate,79,90.9905,90.9905,9.0095,0,0.29167,0.5,0.16667,0.16667,0
