dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,mean_historical_novelty,mean_within_batch_distance,challenger_change_rate,gate_authorization_rate,llm_call_count
real_matbench_expt_gap,incumbent_batch,50,27.125,27.125,72.875,0,0.07143,0.04762,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,51,45.125,42.4583,54.875,0,0.04762,0.09524,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,52,25.0,22.9167,75.0,0,0.04762,0.09524,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,53,26.625,23.4583,73.375,0,0.04762,0.0,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,54,35.5,35.5,64.5,0,0.04762,0.0,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,55,51.125,47.875,48.875,0,0.02381,0.04762,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,56,11.0,6.2917,89.0,0,0.2381,0.14286,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,57,37.875,37.875,62.125,0,0.0,0.0,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,58,48.125,48.125,51.875,0,0.14286,0.19048,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,59,74.75,71.2917,25.25,0,0.09524,0.0,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,60,59.375,59.375,40.625,0,0.04762,0.0,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,61,68.75,68.75,31.25,0,0.0,0.0,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,62,51.125,50.375,48.875,0,0.09524,0.0,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,63,45.375,45.375,54.625,0,0.04762,0.0,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,64,61.25,61.25,38.75,0,0.0,0.0,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,65,71.25,71.25,28.75,0,0.0,0.0,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,66,40.625,33.6667,59.375,0,0.2381,0.2381,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,67,34.75,34.75,65.25,0,0.09524,0.0,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,68,47.625,47.625,52.375,0,0.04762,0.0,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,69,28.625,28.625,71.375,0,0.0,0.0,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,70,37.875,35.8333,62.125,0,0.04762,0.04762,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,71,30.5,30.5,69.5,0,0.0,0.0,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,72,38.75,33.5417,61.25,0,0.11905,0.14286,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,73,48.5,46.9167,51.5,0,0.0,0.0,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,74,48.5,48.5,51.5,0,0.2381,0.09524,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,75,47.0,47.0,53.0,0,0.04762,0.0,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,76,68.75,68.75,31.25,0,0.0,0.0,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,77,38.75,38.75,61.25,0,0.21429,0.2381,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,78,46.625,45.2083,53.375,0,0.04762,0.0,0.0,0.0,0
real_matbench_expt_gap,incumbent_batch,79,28.75,28.75,71.25,0,0.02381,0.04762,0.0,0.0,0
real_matbench_expt_gap,target_diverse_batch,50,29.75,29.75,70.25,0,0.30952,0.47619,1.0,0.0,0
real_matbench_expt_gap,target_diverse_batch,51,41.125,41.125,58.875,0,0.2619,0.42857,0.83333,0.0,0
real_matbench_expt_gap,target_diverse_batch,52,26.5,24.5833,73.5,0,0.28571,0.47619,0.66667,0.0,0
real_matbench_expt_gap,target_diverse_batch,53,22.5,22.125,77.5,0,0.42857,0.47619,1.0,0.0,0
real_matbench_expt_gap,target_diverse_batch,54,35.5,35.5,64.5,0,0.38095,0.47619,1.0,0.0,0
real_matbench_expt_gap,target_diverse_batch,55,44.125,43.5,55.875,0,0.38095,0.47619,0.83333,0.0,0
real_matbench_expt_gap,target_diverse_batch,56,26.5,11.25,73.5,0,0.59524,0.61905,0.83333,0.0,0
real_matbench_expt_gap,target_diverse_batch,57,37.875,37.875,62.125,0,0.2619,0.42857,0.83333,0.0,0
real_matbench_expt_gap,target_diverse_batch,58,48.125,48.125,51.875,0,0.33333,0.42857,0.66667,0.0,0
real_matbench_expt_gap,target_diverse_batch,59,64.375,64.375,35.625,0,0.28571,0.42857,1.0,0.0,0
real_matbench_expt_gap,target_diverse_batch,60,59.375,59.375,40.625,0,0.16667,0.42857,0.83333,0.0,0
real_matbench_expt_gap,target_diverse_batch,61,67.75,67.75,32.25,0,0.2619,0.47619,0.83333,0.0,0
real_matbench_expt_gap,target_diverse_batch,62,53.375,52.25,46.625,0,0.2381,0.42857,0.66667,0.0,0
real_matbench_expt_gap,target_diverse_batch,63,36.25,36.25,63.75,0,0.2619,0.42857,0.83333,0.0,0
real_matbench_expt_gap,target_diverse_batch,64,61.25,61.25,38.75,0,0.16667,0.42857,1.0,0.0,0
real_matbench_expt_gap,target_diverse_batch,65,71.25,71.25,28.75,0,0.2619,0.52381,0.83333,0.0,0
real_matbench_expt_gap,target_diverse_batch,66,32.875,27.5417,67.125,0,0.52381,0.47619,0.66667,0.0,0
real_matbench_expt_gap,target_diverse_batch,67,46.25,38.5833,53.75,0,0.42857,0.61905,0.83333,0.0,0
real_matbench_expt_gap,target_diverse_batch,68,53.375,50.2917,46.625,0,0.2381,0.42857,1.0,0.0,0
