dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_matbench_expt_gap,gp_ucb,17000,86.875,47.5875,13.125,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17000,27.5,26.4375,72.5,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17000,86.875,55.375,13.125,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17000,49.625,43.8625,50.375,0,calibration,
real_matbench_expt_gap,gp_ucb,17001,82.5,82.5,17.5,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17001,82.5,82.5,17.5,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17001,82.5,82.5,17.5,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17001,82.5,82.5,17.5,0,calibration,
real_matbench_expt_gap,gp_ucb,17002,86.875,54.6625,13.125,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17002,41.25,41.25,58.75,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17002,53.75,53.75,46.25,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17002,70.0,66.175,30.0,0,calibration,
real_matbench_expt_gap,gp_ucb,17003,57.5,53.55,42.5,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17003,91.25,56.925,8.75,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17003,91.25,56.925,8.75,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17003,91.25,60.3,8.75,0,calibration,
real_matbench_expt_gap,gp_ucb,17004,52.5,41.3375,47.5,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17004,100.0,61.0375,0.0,1,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17004,32.5,11.3,67.5,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17004,52.5,41.3375,47.5,0,calibration,
real_matbench_expt_gap,gp_ucb,17005,91.25,66.675,8.75,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17005,52.875,52.875,47.125,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17005,91.25,68.8875,8.75,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17005,91.25,68.8875,8.75,0,calibration,
real_matbench_expt_gap,gp_ucb,17006,40.875,36.8125,59.125,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17006,33.0,33.0,67.0,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17006,40.75,39.2,59.25,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17006,33.0,33.0,67.0,0,calibration,
real_matbench_expt_gap,gp_ucb,17007,63.75,50.6625,36.25,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17007,40.0,34.825,60.0,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17007,100.0,87.1375,0.0,1,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17007,100.0,87.1375,0.0,1,calibration,
real_matbench_expt_gap,gp_ucb,17008,60.5,56.6875,39.5,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17008,68.75,68.75,31.25,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17008,91.25,68.9875,8.75,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17008,81.625,70.7875,18.375,0,calibration,
real_matbench_expt_gap,gp_ucb,17009,40.75,29.825,59.25,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17009,100.0,68.8,0.0,1,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17009,32.5,28.0,67.5,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17009,40.75,31.2125,59.25,0,calibration,
real_matbench_expt_gap,gp_ucb,17010,48.75,41.725,51.25,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17010,37.875,37.875,62.125,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17010,37.875,37.875,62.125,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17010,48.75,41.725,51.25,0,calibration,
real_matbench_expt_gap,gp_ucb,17011,55.25,45.325,44.75,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17011,46.0,42.1,54.0,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17011,91.25,48.275,8.75,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17011,53.375,41.5375,46.625,0,calibration,
real_matbench_expt_gap,gp_ucb,17012,100.0,58.7625,0.0,1,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17012,100.0,95.2125,0.0,1,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17012,100.0,63.7,0.0,1,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17012,100.0,58.7625,0.0,1,calibration,
real_matbench_expt_gap,gp_ucb,17013,37.875,32.5,62.125,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17013,21.375,20.4125,78.625,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17013,47.375,33.25,52.625,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17013,26.25,22.65,73.75,0,calibration,
real_matbench_expt_gap,gp_ucb,17014,53.375,53.375,46.625,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17014,53.375,53.375,46.625,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17014,53.375,53.375,46.625,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17014,53.375,53.375,46.625,0,calibration,
real_matbench_expt_gap,gp_ucb,17015,25.125,24.95,74.875,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17015,26.25,25.1375,73.75,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17015,38.25,27.625,61.75,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17015,25.125,24.95,74.875,0,calibration,
real_matbench_expt_gap,gp_ucb,17016,24.75,24.75,75.25,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17016,100.0,87.6875,0.0,1,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17016,24.75,24.75,75.25,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17016,24.75,24.75,75.25,0,calibration,
real_matbench_expt_gap,gp_ucb,17017,52.125,42.5125,47.875,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17017,52.125,37.15,47.875,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17017,52.125,43.975,47.875,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17017,52.125,43.975,47.875,0,calibration,
real_matbench_expt_gap,gp_ucb,17018,100.0,73.825,0.0,1,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17018,100.0,86.65,0.0,1,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17018,100.0,58.2,0.0,1,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17018,100.0,73.825,0.0,1,calibration,
real_matbench_expt_gap,gp_ucb,17019,38.75,33.725,61.25,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17019,100.0,73.7625,0.0,1,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17019,34.625,32.075,65.375,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17019,52.125,35.575,47.875,0,calibration,
real_matbench_expt_gap,gp_ucb,17020,29.625,28.925,70.375,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17020,91.25,70.775,8.75,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17020,29.625,28.925,70.375,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17020,29.625,28.925,70.375,0,calibration,
real_matbench_expt_gap,gp_ucb,17021,100.0,36.625,0.0,1,calibration,
