dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_matbench_expt_gap,gp_ucb,17000,86.875,47.5875,13.125,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17000,62.375,51.425,37.625,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17000,86.875,55.375,13.125,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17000,49.625,43.8625,50.375,0,calibration,
real_matbench_expt_gap,gp_ucb,17001,82.5,82.5,17.5,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17001,82.5,82.5,17.5,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17001,82.5,82.5,17.5,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17001,82.5,82.5,17.5,0,calibration,
real_matbench_expt_gap,gp_ucb,17002,86.875,54.6625,13.125,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17002,91.25,59.825,8.75,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17002,53.75,53.75,46.25,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17002,70.0,66.175,30.0,0,calibration,
real_matbench_expt_gap,gp_ucb,17003,57.5,53.55,42.5,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17003,47.625,47.625,52.375,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17003,91.25,56.925,8.75,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17003,91.25,60.3,8.75,0,calibration,
real_matbench_expt_gap,gp_ucb,17004,52.5,41.3375,47.5,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17004,52.5,41.3375,47.5,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17004,32.5,11.3,67.5,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17004,52.5,41.3375,47.5,0,calibration,
real_matbench_expt_gap,gp_ucb,17005,91.25,66.675,8.75,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17005,91.25,72.825,8.75,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17005,91.25,68.8875,8.75,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17005,91.25,68.8875,8.75,0,calibration,
real_matbench_expt_gap,gp_ucb,17006,40.875,36.8125,59.125,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17006,40.75,38.425,59.25,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17006,40.75,39.2,59.25,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17006,33.0,33.0,67.0,0,calibration,
real_matbench_expt_gap,gp_ucb,17007,63.75,50.6625,36.25,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17007,52.5,36.6625,47.5,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17007,100.0,87.1375,0.0,1,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17007,100.0,87.1375,0.0,1,calibration,
real_matbench_expt_gap,gp_ucb,17008,60.5,56.6875,39.5,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17008,52.875,52.875,47.125,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17008,91.25,68.9875,8.75,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17008,81.625,70.7875,18.375,0,calibration,
real_matbench_expt_gap,gp_ucb,17009,40.75,29.825,59.25,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17009,39.125,31.575,60.875,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17009,32.5,28.0,67.5,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17009,40.75,31.2125,59.25,0,calibration,
real_matbench_expt_gap,gp_ucb,17010,48.75,41.725,51.25,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17010,37.875,37.875,62.125,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17010,37.875,37.875,62.125,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17010,48.75,41.725,51.25,0,calibration,
real_matbench_expt_gap,gp_ucb,17011,55.25,45.325,44.75,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17011,46.25,34.325,53.75,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,17011,91.25,48.275,8.75,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,17011,53.375,41.5375,46.625,0,calibration,
real_matbench_expt_gap,gp_ucb,17012,100.0,58.7625,0.0,1,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,17012,100.0,63.6125,0.0,1,calibration,
