run,source,target,heldout_seeds,comparison,metric,mean_delta,ci95_low,ci95_high,significant_positive
freesolv_kernel_500,real_moleculenet_esol,real_moleculenet_freesolv,500,llm_transfer_vs_target_acquisition_portfolio,final_best,1.432603,0.122363,2.742842,true
freesolv_kernel_500,real_moleculenet_esol,real_moleculenet_freesolv,500,llm_transfer_vs_target_acquisition_portfolio,best_so_far_auc,1.384028,0.578855,2.189201,true
freesolv_kernel_500,real_moleculenet_esol,real_moleculenet_freesolv,500,llm_transfer_vs_target_acquisition_portfolio,top10_hit,0.058000,0.007598,0.108402,true
freesolv_target_schedule_500,none,real_moleculenet_freesolv,500,target_only_llm_schedule_vs_target_acquisition_portfolio,final_best,0.918937,-0.360513,2.198387,false
freesolv_target_schedule_500,none,real_moleculenet_freesolv,500,target_only_llm_schedule_vs_target_acquisition_portfolio,best_so_far_auc,0.924188,0.102844,1.745533,true
freesolv_target_schedule_500,none,real_moleculenet_freesolv,500,target_only_llm_schedule_vs_target_acquisition_portfolio,top10_hit,0.070000,0.019108,0.120892,true
freesolv_transfer_increment_500,real_moleculenet_esol,real_moleculenet_freesolv,500,llm_transfer_vs_same_llm_target_schedule,final_best,0.513666,-0.479558,1.506889,false
freesolv_transfer_increment_500,real_moleculenet_esol,real_moleculenet_freesolv,500,llm_transfer_vs_same_llm_target_schedule,best_so_far_auc,0.459839,-0.122033,1.041712,false
freesolv_transfer_increment_500,real_moleculenet_esol,real_moleculenet_freesolv,500,llm_transfer_vs_same_llm_target_schedule,top10_hit,-0.012000,-0.050394,0.026394,false
universal_lipophilicity_300,none,real_moleculenet_lipophilicity,300,frozen_llm_schedule_vs_target_acquisition_portfolio,final_best,0.485000,-0.060225,1.030225,false
universal_lipophilicity_300,none,real_moleculenet_lipophilicity,300,frozen_llm_schedule_vs_target_acquisition_portfolio,best_so_far_auc,0.606625,0.129794,1.083456,true
universal_lipophilicity_300,none,real_moleculenet_lipophilicity,300,frozen_llm_schedule_vs_target_acquisition_portfolio,top10_hit,0.040000,-0.003100,0.083100,false
universal_bh_300,none,real_buchwald_hartwig,300,frozen_llm_schedule_vs_gp_ucb,final_best,-0.537200,-1.599569,0.525169,false
universal_bh_300,none,real_buchwald_hartwig,300,frozen_llm_schedule_vs_gp_ucb,best_so_far_auc,-0.531632,-1.410479,0.347214,false
universal_bh_300,none,real_buchwald_hartwig,300,frozen_llm_schedule_vs_gp_ucb,top10_hit,-0.013333,-0.061320,0.034653,false
universal_materials_300,none,real_matbench_expt_gap,300,frozen_llm_schedule_vs_target_acquisition_portfolio,final_best,-1.755417,-4.649984,1.139151,false
universal_materials_300,none,real_matbench_expt_gap,300,frozen_llm_schedule_vs_target_acquisition_portfolio,best_so_far_auc,-0.188500,-1.927192,1.550192,false
universal_materials_300,none,real_matbench_expt_gap,300,frozen_llm_schedule_vs_target_acquisition_portfolio,top10_hit,-0.006667,-0.052858,0.039525,false
universal_chemlex_300,none,real_chemlex_acidamine,300,frozen_llm_schedule_vs_gp_ucb,final_best,-0.319653,-2.245050,1.605743,false
universal_chemlex_300,none,real_chemlex_acidamine,300,frozen_llm_schedule_vs_gp_ucb,best_so_far_auc,0.631418,-0.990428,2.253263,false
universal_chemlex_300,none,real_chemlex_acidamine,300,frozen_llm_schedule_vs_gp_ucb,top10_hit,-0.003333,-0.020615,0.013948,false
