dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,100,100.0,61.5,0.0,1,calibration,
real_matbench_expt_gap,gp_ucb,100,52.125,37.525,47.875,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_composition_countertest,100,52.125,27.85,47.875,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_conservative_no_prior,100,3.75,3.75,96.25,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_explore_then_focus,100,100.0,80.75,0.0,1,calibration,
real_matbench_expt_gap,llm_evolved_kernel_safe_multiscale_anchor,100,63.75,34.875,36.25,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_signed_broad_prior,100,30.0,16.875,70.0,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_signed_local_prior,100,3.75,3.75,96.25,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_strict_signed_value_prior,100,100.0,80.75,0.0,1,calibration,
real_matbench_expt_gap,llm_evolved_kernel_top_roles_focus,100,100.0,51.875,0.0,1,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,100,15.625,4.9375,84.375,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,100,52.125,37.525,47.875,0,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,101,61.75,43.675,38.25,0,calibration,
real_matbench_expt_gap,gp_ucb,101,61.75,43.675,38.25,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_composition_countertest,101,42.625,40.9125,57.375,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_conservative_no_prior,101,49.625,38.725,50.375,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_explore_then_focus,101,71.25,38.525,28.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_safe_multiscale_anchor,101,46.25,33.4875,53.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_signed_broad_prior,101,42.625,40.9125,57.375,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_signed_local_prior,101,42.625,40.9125,57.375,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_strict_signed_value_prior,101,51.25,29.55,48.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_top_roles_focus,101,42.625,40.9125,57.375,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,101,100.0,73.2,0.0,1,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,101,100.0,73.2,0.0,1,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,102,52.125,45.0625,47.875,0,calibration,
real_matbench_expt_gap,gp_ucb,102,36.5,26.8625,63.5,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_composition_countertest,102,27.25,26.9,72.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_conservative_no_prior,102,35.0,30.875,65.0,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_explore_then_focus,102,45.625,32.95,54.375,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_safe_multiscale_anchor,102,52.125,45.0625,47.875,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_signed_broad_prior,102,31.75,29.15,68.25,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_signed_local_prior,102,46.0,36.6,54.0,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_strict_signed_value_prior,102,45.625,32.65,54.375,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_top_roles_focus,102,42.625,30.2375,57.375,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,102,100.0,54.55,0.0,1,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,102,36.5,27.375,63.5,0,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,103,45.625,30.775,54.375,0,calibration,
real_matbench_expt_gap,gp_ucb,103,51.25,32.1375,48.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_composition_countertest,103,29.125,29.125,70.875,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_conservative_no_prior,103,32.375,29.775,67.625,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_explore_then_focus,103,46.25,32.55,53.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_safe_multiscale_anchor,103,29.125,29.125,70.875,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_signed_broad_prior,103,29.125,29.125,70.875,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_signed_local_prior,103,29.125,29.125,70.875,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_strict_signed_value_prior,103,33.5,32.1875,66.5,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_top_roles_focus,103,45.625,33.05,54.375,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,103,52.125,37.15,47.875,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,103,52.125,33.9,47.875,0,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,104,47.375,37.8,52.625,0,calibration,
real_matbench_expt_gap,gp_ucb,104,47.375,39.475,52.625,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_composition_countertest,104,50.625,44.3,49.375,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_conservative_no_prior,104,61.75,43.2125,38.25,0,calibration,
