dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,300,46.25,44.5,53.75,0,calibration,
real_matbench_expt_gap,gp_ucb,300,47.625,45.3,52.375,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_conservative_patch_low_beta,300,43.75,43.75,56.25,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_counter_hypothesis_patch,300,46.25,44.5,53.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_downweight_weak_role_patch,300,53.375,45.875,46.625,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_ensemble_patch_multi_scale,300,47.625,45.3,52.375,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_exploration_patch_high_beta,300,43.75,43.75,56.25,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_high_confidence_roles_patch,300,43.75,43.75,56.25,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,300,46.25,45.25,53.75,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,300,46.25,44.5,53.75,0,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,301,70.625,61.425,29.375,0,calibration,
real_matbench_expt_gap,gp_ucb,301,70.625,63.725,29.375,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_conservative_patch_low_beta,301,47.625,47.4,52.375,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_counter_hypothesis_patch,301,47.625,47.625,52.375,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_downweight_weak_role_patch,301,47.625,47.625,52.375,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_ensemble_patch_multi_scale,301,70.625,63.725,29.375,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_exploration_patch_high_beta,301,45.375,45.375,54.625,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_high_confidence_roles_patch,301,47.625,47.625,52.375,0,calibration,
