dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,500,42.25,42.1,57.75,0,calibration,
real_matbench_expt_gap,gp_ucb,500,45.375,42.6625,54.625,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_conservative_patch,500,53.125,47.5,46.875,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_counter_hypothesis_patch,500,42.25,42.1,57.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_downweight_weak_role_patch,500,45.375,42.6625,54.625,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_ensemble_patch,500,57.5,46.8125,42.5,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_exploration_patch,500,47.625,42.8125,52.375,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_high_confidence_patch,500,42.25,42.1,57.75,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,500,46.25,42.9,53.75,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,500,46.25,42.9,53.75,0,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,501,46.25,42.4875,53.75,0,calibration,
real_matbench_expt_gap,gp_ucb,501,46.25,43.3875,53.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_conservative_patch,501,46.25,42.325,53.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_counter_hypothesis_patch,501,41.75,40.6875,58.25,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_downweight_weak_role_patch,501,46.25,41.5875,53.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_ensemble_patch,501,46.25,41.5875,53.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_exploration_patch,501,36.625,32.425,63.375,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_high_confidence_patch,501,46.25,42.4875,53.75,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,501,46.25,43.8375,53.75,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,501,46.25,41.5875,53.75,0,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,502,100.0,55.825,0.0,1,calibration,
real_matbench_expt_gap,gp_ucb,502,100.0,55.825,0.0,1,calibration,
real_matbench_expt_gap,llm_evolved_kernel_conservative_patch,502,33.25,27.65,66.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_counter_hypothesis_patch,502,100.0,55.825,0.0,1,calibration,
real_matbench_expt_gap,llm_evolved_kernel_downweight_weak_role_patch,502,100.0,55.825,0.0,1,calibration,
real_matbench_expt_gap,llm_evolved_kernel_ensemble_patch,502,100.0,55.825,0.0,1,calibration,
real_matbench_expt_gap,llm_evolved_kernel_exploration_patch,502,25.0,20.75,75.0,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_high_confidence_patch,502,100.0,55.825,0.0,1,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,502,100.0,55.825,0.0,1,calibration,
