dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,100,82.25,82.25,11.5,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,100,82.25,82.25,11.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_anchored_multiscale,100,82.25,82.25,11.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_conservative_safe,100,82.5,82.425,11.25,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_counter_structure,100,93.75,93.0,0.0,1,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,100,91.125,87.6875,2.625,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_gated_sparse_prior,100,82.25,82.25,11.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_signed_neighbor_local,100,82.75,82.35,11.0,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_signed_neighbor_smooth,100,90.0,87.75,3.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_top2_focus,100,86.25,83.85,7.5,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,100,82.25,82.25,11.5,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,100,82.5,82.425,11.25,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,101,92.375,92.375,1.375,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,101,92.375,92.375,1.375,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_anchored_multiscale,101,92.875,90.575,0.875,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_conservative_safe,101,92.375,92.375,1.375,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_counter_structure,101,91.0,90.2,2.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,101,91.0,90.6,2.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_gated_sparse_prior,101,92.375,91.8375,1.375,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_signed_neighbor_local,101,92.875,90.575,0.875,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_signed_neighbor_smooth,101,92.875,90.575,0.875,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_top2_focus,101,93.5,90.05,0.25,1,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,101,92.375,92.375,1.375,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,101,92.375,92.375,1.375,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,102,82.5,81.3125,11.25,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,102,81.375,81.2,12.375,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_anchored_multiscale,102,81.375,81.2,12.375,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_conservative_safe,102,87.5,85.4875,6.25,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_counter_structure,102,87.5,84.875,6.25,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,102,88.75,83.625,5.0,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_gated_sparse_prior,102,81.375,81.2,12.375,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_signed_neighbor_local,102,83.75,82.125,10.0,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_signed_neighbor_smooth,102,91.25,88.025,2.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_top2_focus,102,91.25,86.7,2.5,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,102,87.5,84.65,6.25,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,102,87.375,82.7625,6.375,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,103,83.125,83.125,10.625,0,calibration,
