dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,300,93.75,92.3,0.0,1,calibration,
real_moleculenet_lipophilicity,gp_ucb,300,93.75,92.3,0.0,1,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_conservative_patch_1,300,93.75,92.3,0.0,1,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_counter_hypothesis_patch,300,93.75,92.3,0.0,1,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_ensemble_patch_1,300,93.75,92.3,0.0,1,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_1,300,93.75,92.15,0.0,1,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_high_confidence_patch,300,93.75,92.3,0.0,1,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_multi_scale_patch,300,93.75,92.3,0.0,1,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,300,93.75,92.3,0.0,1,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,300,93.75,92.3,0.0,1,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,301,92.875,90.425,0.875,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,301,92.125,91.575,1.625,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_conservative_patch_1,301,92.875,90.425,0.875,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_counter_hypothesis_patch,301,92.875,90.425,0.875,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_ensemble_patch_1,301,92.875,90.425,0.875,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_1,301,92.125,88.275,1.625,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_high_confidence_patch,301,92.125,88.05,1.625,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_multi_scale_patch,301,92.125,89.7125,1.625,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,301,92.125,89.0875,1.625,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,301,92.125,89.0875,1.625,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,302,84.875,82.0375,8.875,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,302,84.875,82.0375,8.875,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_conservative_patch_1,302,84.875,82.0375,8.875,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_counter_hypothesis_patch,302,84.875,83.875,8.875,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_ensemble_patch_1,302,84.875,82.0375,8.875,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_1,302,90.0,82.5875,3.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_high_confidence_patch,302,84.875,82.0375,8.875,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_multi_scale_patch,302,86.875,83.4875,6.875,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,302,84.875,82.9375,8.875,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,302,84.875,82.0375,8.875,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,303,90.0,90.0,3.75,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,303,90.0,90.0,3.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_conservative_patch_1,303,90.0,90.0,3.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_counter_hypothesis_patch,303,90.0,90.0,3.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_ensemble_patch_1,303,90.0,90.0,3.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_1,303,90.0,90.0,3.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_high_confidence_patch,303,90.0,90.0,3.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_multi_scale_patch,303,90.0,90.0,3.75,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,303,90.0,90.0,3.75,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,303,90.0,90.0,3.75,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,304,91.25,86.375,2.5,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,304,85.875,84.5625,7.875,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_conservative_patch_1,304,91.25,86.375,2.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_counter_hypothesis_patch,304,91.25,86.375,2.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_ensemble_patch_1,304,85.875,84.5625,7.875,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_1,304,93.75,92.6375,0.0,1,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_high_confidence_patch,304,93.75,90.1375,0.0,1,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_multi_scale_patch,304,93.75,91.25,0.0,1,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,304,91.25,86.375,2.5,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,304,90.0,84.975,3.75,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,305,88.25,87.325,5.5,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,305,88.25,87.325,5.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_conservative_patch_1,305,88.25,87.325,5.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_counter_hypothesis_patch,305,88.25,87.325,5.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_ensemble_patch_1,305,88.25,87.325,5.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_1,305,90.0,87.675,3.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_high_confidence_patch,305,90.0,87.675,3.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_multi_scale_patch,305,90.0,87.5,3.75,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,305,88.25,87.325,5.5,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,305,89.625,87.4625,4.125,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,306,87.125,86.425,6.625,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,306,86.25,86.25,7.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_conservative_patch_1,306,91.875,86.8125,1.875,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_counter_hypothesis_patch,306,86.25,86.25,7.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_ensemble_patch_1,306,91.875,86.8125,1.875,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_1,306,89.0,87.075,4.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_high_confidence_patch,306,86.25,86.25,7.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_multi_scale_patch,306,87.125,86.3375,6.625,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,306,86.25,86.25,7.5,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,306,86.25,86.25,7.5,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,307,91.25,89.825,2.5,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,307,91.25,89.825,2.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_conservative_patch_1,307,91.25,89.825,2.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_counter_hypothesis_patch,307,91.25,89.825,2.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_ensemble_patch_1,307,91.25,89.825,2.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_1,307,91.875,91.875,1.875,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_high_confidence_patch,307,85.875,85.2625,7.875,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_multi_scale_patch,307,91.875,91.5625,1.875,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,307,91.25,89.825,2.5,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,307,91.25,89.825,2.5,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,308,81.0,80.45,12.75,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,308,81.0,80.45,12.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_conservative_patch_1,308,81.0,80.425,12.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_counter_hypothesis_patch,308,84.75,81.925,9.0,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_ensemble_patch_1,308,84.75,81.45,9.0,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_1,308,81.625,80.8125,12.125,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_high_confidence_patch,308,81.625,80.8125,12.125,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_multi_scale_patch,308,81.625,80.8125,12.125,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,308,84.75,82.175,9.0,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,308,81.0,80.45,12.75,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,309,86.625,83.8125,7.125,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,309,86.625,83.8125,7.125,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_conservative_patch_1,309,86.625,83.8125,7.125,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_counter_hypothesis_patch,309,86.625,83.8125,7.125,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_ensemble_patch_1,309,86.625,83.8125,7.125,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_1,309,91.25,90.65,2.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_high_confidence_patch,309,84.625,83.95,9.125,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_multi_scale_patch,309,84.625,83.275,9.125,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,309,84.625,84.2875,9.125,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,309,86.625,83.8125,7.125,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,310,88.75,87.625,5.0,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,310,88.75,87.625,5.0,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_conservative_patch_1,310,88.75,87.625,5.0,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_counter_hypothesis_patch,310,88.75,87.625,5.0,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_ensemble_patch_1,310,88.75,87.625,5.0,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_1,310,85.0,85.0,8.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_high_confidence_patch,310,86.5,85.3,7.25,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_multi_scale_patch,310,88.75,87.25,5.0,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,310,88.75,87.25,5.0,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,310,88.625,86.45,5.125,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,311,79.25,79.25,14.5,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,311,90.0,83.55,3.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_conservative_patch_1,311,79.25,79.25,14.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_counter_hypothesis_patch,311,79.25,79.25,14.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_ensemble_patch_1,311,79.25,79.25,14.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_1,311,90.0,88.5,3.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_high_confidence_patch,311,90.0,88.2375,3.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_multi_scale_patch,311,86.25,86.25,7.5,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,311,79.25,79.25,14.5,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,311,90.0,83.55,3.75,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,312,91.25,83.575,2.5,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,312,91.25,84.45,2.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_conservative_patch_1,312,91.25,83.575,2.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_counter_hypothesis_patch,312,91.25,84.45,2.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_ensemble_patch_1,312,91.25,84.45,2.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_1,312,91.25,83.575,2.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_high_confidence_patch,312,91.25,83.575,2.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_multi_scale_patch,312,91.25,83.575,2.5,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,312,91.25,84.45,2.5,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,312,91.25,84.45,2.5,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,313,88.0,83.875,5.75,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,313,86.25,82.75,7.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_conservative_patch_1,313,85.75,82.475,8.0,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_counter_hypothesis_patch,313,87.5,82.875,6.25,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_ensemble_patch_1,313,86.25,83.65,7.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_1,313,89.375,86.7125,4.375,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_high_confidence_patch,313,82.0,79.975,11.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_multi_scale_patch,313,89.875,87.85,3.875,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,313,86.25,82.75,7.5,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,313,86.25,82.75,7.5,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,314,86.25,82.75,7.5,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,314,81.25,81.25,12.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_conservative_patch_1,314,86.25,82.25,7.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_counter_hypothesis_patch,314,81.25,81.25,12.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_ensemble_patch_1,314,86.25,82.75,7.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_1,314,81.25,81.25,12.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_high_confidence_patch,314,87.5,86.1,6.25,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_multi_scale_patch,314,85.25,82.85,8.5,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,314,93.625,92.3875,0.125,1,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,314,81.25,81.25,12.5,0,calibration,
