dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,100,100.0,93.2757,0.0,1,calibration,
real_buchwald_hartwig,gp_ucb,100,100.0,94.0403,0.0,1,calibration,
real_buchwald_hartwig,llm_evolved_kernel_aryl_counterweight,100,100.0,94.1026,0.0,1,calibration,
real_buchwald_hartwig,llm_evolved_kernel_balanced_discounted,100,98.8492,90.9269,1.1508,1,calibration,
real_buchwald_hartwig,llm_evolved_kernel_base_mapping_probe,100,95.7526,90.6043,4.2474,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_conservative_ligand,100,97.948,93.1818,2.052,1,calibration,
real_buchwald_hartwig,llm_evolved_kernel_explore_then_cool,100,89.6142,88.0266,10.3858,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_safe_multiscale_anchor,100,100.0,93.8038,0.0,1,calibration,
real_buchwald_hartwig,llm_evolved_kernel_top_roles_focus,100,100.0,90.9155,0.0,1,calibration,
real_buchwald_hartwig,llm_evolved_kernel_weak_role_stress_test,100,97.948,91.2012,2.052,1,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,100,98.8492,93.7519,1.1508,1,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,100,98.8492,92.8026,1.1508,1,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,101,95.6759,86.333,4.3241,0,calibration,
real_buchwald_hartwig,gp_ucb,101,93.8745,84.6507,6.1255,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_aryl_counterweight,101,98.1771,87.7428,1.8229,1,calibration,
real_buchwald_hartwig,llm_evolved_kernel_balanced_discounted,101,95.7526,88.2908,4.2474,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_base_mapping_probe,101,81.2283,81.1841,18.7717,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_conservative_ligand,101,95.6759,84.9983,4.3241,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_explore_then_cool,101,98.1771,84.353,1.8229,1,calibration,
real_buchwald_hartwig,llm_evolved_kernel_safe_multiscale_anchor,101,95.6759,84.9983,4.3241,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_top_roles_focus,101,95.3865,85.5674,4.6135,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_weak_role_stress_test,101,86.2198,84.6634,13.7802,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,101,98.1771,85.2484,1.8229,1,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,101,95.6759,87.1112,4.3241,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,102,93.1012,91.6038,6.8988,0,calibration,
real_buchwald_hartwig,gp_ucb,102,93.1012,90.6537,6.8988,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_aryl_counterweight,102,92.127,88.2419,7.873,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_balanced_discounted,102,93.1012,86.1559,6.8988,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_base_mapping_probe,102,86.7621,81.6867,13.2379,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_conservative_ligand,102,93.1012,91.2008,6.8988,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_explore_then_cool,102,84.4042,79.3121,15.5958,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_safe_multiscale_anchor,102,93.1012,91.6038,6.8988,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_top_roles_focus,102,93.1012,90.2513,6.8988,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_weak_role_stress_test,102,93.1012,90.6537,6.8988,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,102,93.1012,85.724,6.8988,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,102,93.1012,85.724,6.8988,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,103,83.0547,81.601,16.9453,0,calibration,
real_buchwald_hartwig,gp_ucb,103,95.7526,86.9052,4.2474,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_aryl_counterweight,103,95.7526,86.0334,4.2474,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_balanced_discounted,103,95.7526,85.4027,4.2474,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_base_mapping_probe,103,83.0547,81.601,16.9453,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_conservative_ligand,103,95.7526,85.8257,4.2474,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_explore_then_cool,103,95.7526,89.6986,4.2474,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_safe_multiscale_anchor,103,95.7526,86.8975,4.2474,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_top_roles_focus,103,95.6759,85.4124,4.3241,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_weak_role_stress_test,103,95.7526,86.8975,4.2474,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,103,95.7526,86.8975,4.2474,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,103,95.7526,86.8975,4.2474,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,104,93.5878,87.9279,6.4122,0,calibration,
real_buchwald_hartwig,gp_ucb,104,93.5878,86.1688,6.4122,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_aryl_counterweight,104,93.5641,88.1965,6.4359,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_balanced_discounted,104,92.127,74.6804,7.873,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_base_mapping_probe,104,92.2093,85.4855,7.7907,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_conservative_ligand,104,93.5878,88.0575,6.4122,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_explore_then_cool,104,92.3912,78.9584,7.6088,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_safe_multiscale_anchor,104,93.5878,86.1688,6.4122,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_top_roles_focus,104,93.5878,83.8419,6.4122,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_weak_role_stress_test,104,93.5878,88.0657,6.4122,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,104,93.5641,88.0528,6.4359,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,104,93.5878,86.1688,6.4122,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,105,83.1495,59.683,16.8505,0,calibration,
real_buchwald_hartwig,gp_ucb,105,83.1495,59.683,16.8505,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_aryl_counterweight,105,83.3036,79.3918,16.6964,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_balanced_discounted,105,99.0345,82.1012,0.9655,1,calibration,
real_buchwald_hartwig,llm_evolved_kernel_base_mapping_probe,105,91.3733,85.1246,8.6267,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_conservative_ligand,105,83.496,57.7426,16.504,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_explore_then_cool,105,94.1485,84.7887,5.8515,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_safe_multiscale_anchor,105,83.1495,63.3274,16.8505,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_top_roles_focus,105,99.0345,82.1012,0.9655,1,calibration,
real_buchwald_hartwig,llm_evolved_kernel_weak_role_stress_test,105,83.496,54.0636,16.504,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,105,91.3733,62.7907,8.6267,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,105,83.1495,59.683,16.8505,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,106,89.5592,72.4848,10.4408,0,calibration,
real_buchwald_hartwig,gp_ucb,106,80.5818,70.9464,19.4182,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_aryl_counterweight,106,91.2097,77.9189,8.7903,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_balanced_discounted,106,80.1359,76.3159,19.8641,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_base_mapping_probe,106,82.3289,79.1316,17.6711,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_conservative_ligand,106,79.7664,72.9352,20.2336,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_explore_then_cool,106,92.3538,85.2324,7.6462,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_safe_multiscale_anchor,106,81.4779,74.9994,18.5221,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_top_roles_focus,106,89.4671,74.9242,10.5329,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_weak_role_stress_test,106,86.3247,75.1366,13.6753,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,106,80.5818,69.5594,19.4182,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,106,65.1983,64.7475,34.8017,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,107,89.6142,76.2841,10.3858,0,calibration,
real_buchwald_hartwig,gp_ucb,107,89.6142,76.2841,10.3858,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_aryl_counterweight,107,89.6142,75.6038,10.3858,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_balanced_discounted,107,84.6498,72.6391,15.3502,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_base_mapping_probe,107,66.0739,64.1701,33.9261,0,calibration,
