dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,500,86.6896,79.5524,13.3104,0,calibration,
real_buchwald_hartwig,gp_ucb,500,86.6896,83.121,13.3104,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_conservative_patch_1_refined,500,86.6896,79.5524,13.3104,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_counter_hypothesis_patch_refined,500,88.4464,79.9038,11.5536,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_exploration_patch_1_refined,500,80.5886,77.8152,19.4114,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_high_confidence_patch_refined,500,86.6896,83.121,13.3104,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_multi_scale_ensemble_patch_refined,500,86.6896,79.5524,13.3104,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_safety_anchor_patch_refined,500,86.6896,83.121,13.3104,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,500,82.4636,77.9323,17.5364,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,500,90.9905,83.8884,9.0095,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,501,98.7313,96.0353,1.2687,1,calibration,
real_buchwald_hartwig,gp_ucb,501,95.129,95.0792,4.871,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_conservative_patch_1_refined,501,98.7313,96.4205,1.2687,1,calibration,
real_buchwald_hartwig,llm_evolved_kernel_counter_hypothesis_patch_refined,501,98.7313,96.0353,1.2687,1,calibration,
real_buchwald_hartwig,llm_evolved_kernel_exploration_patch_1_refined,501,94.8799,94.8799,5.1201,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_high_confidence_patch_refined,501,98.7313,97.1907,1.2687,1,calibration,
real_buchwald_hartwig,llm_evolved_kernel_multi_scale_ensemble_patch_refined,501,98.7313,96.0353,1.2687,1,calibration,
real_buchwald_hartwig,llm_evolved_kernel_safety_anchor_patch_refined,501,98.7313,96.0353,1.2687,1,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,501,95.129,95.0792,4.871,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,501,94.8799,94.8799,5.1201,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,502,87.9592,85.6501,12.0408,0,calibration,
