dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,100,100.0,93.2757,0.0,1,calibration,
real_buchwald_hartwig,gp_ucb,100,100.0,94.0403,0.0,1,calibration,
real_buchwald_hartwig,llm_evolved_kernel_anchor_ensemble_high_conf,100,92.0032,89.1639,7.9968,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_conservative_multi_prior,100,98.8492,94.3446,1.1508,1,calibration,
real_buchwald_hartwig,llm_evolved_kernel_explore_high_beta_counter_weight,100,95.7526,90.9988,4.2474,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_prior_calibrated_signed,100,97.948,92.5009,2.052,1,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,100,98.8492,93.7519,1.1508,1,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,100,98.8492,92.8026,1.1508,1,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,101,95.6759,86.333,4.3241,0,calibration,
real_buchwald_hartwig,gp_ucb,101,93.8745,84.6507,6.1255,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_anchor_ensemble_high_conf,101,82.3289,82.3289,17.6711,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_conservative_multi_prior,101,98.1771,85.2484,1.8229,1,calibration,
real_buchwald_hartwig,llm_evolved_kernel_explore_high_beta_counter_weight,101,80.7866,80.7866,19.2134,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_prior_calibrated_signed,101,100.0,94.117,0.0,1,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,101,98.1771,85.2484,1.8229,1,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,101,95.6759,87.1112,4.3241,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,102,93.1012,91.6038,6.8988,0,calibration,
real_buchwald_hartwig,gp_ucb,102,93.1012,90.6537,6.8988,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_anchor_ensemble_high_conf,102,93.1012,90.2224,6.8988,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_conservative_multi_prior,102,93.1012,91.6038,6.8988,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_explore_high_beta_counter_weight,102,93.1012,83.0974,6.8988,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_prior_calibrated_signed,102,93.1012,91.2008,6.8988,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,102,93.1012,85.724,6.8988,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,102,93.1012,85.724,6.8988,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,103,83.0547,81.601,16.9453,0,calibration,
real_buchwald_hartwig,gp_ucb,103,95.7526,86.9052,4.2474,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_anchor_ensemble_high_conf,103,95.7526,85.4027,4.2474,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_conservative_multi_prior,103,95.7526,86.8975,4.2474,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_explore_high_beta_counter_weight,103,83.0547,81.8087,16.9453,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_prior_calibrated_signed,103,95.7526,86.8975,4.2474,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,103,95.7526,86.8975,4.2474,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,103,95.7526,86.8975,4.2474,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,104,93.5878,87.9279,6.4122,0,calibration,
real_buchwald_hartwig,gp_ucb,104,93.5878,86.1688,6.4122,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_anchor_ensemble_high_conf,104,93.5641,85.8719,6.4359,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_conservative_multi_prior,104,93.5878,87.9279,6.4122,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_explore_high_beta_counter_weight,104,92.127,72.4995,7.873,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_prior_calibrated_signed,104,93.5878,85.7306,6.4122,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,104,93.5641,88.0528,6.4359,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,104,93.5878,86.1688,6.4122,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,105,83.1495,59.683,16.8505,0,calibration,
real_buchwald_hartwig,gp_ucb,105,83.1495,59.683,16.8505,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_anchor_ensemble_high_conf,105,94.1485,79.9859,5.8515,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_conservative_multi_prior,105,83.1495,59.683,16.8505,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_explore_high_beta_counter_weight,105,89.3231,78.6833,10.6769,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_prior_calibrated_signed,105,83.1495,59.683,16.8505,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,105,91.3733,62.7907,8.6267,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,105,83.1495,59.683,16.8505,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,106,89.5592,72.4848,10.4408,0,calibration,
real_buchwald_hartwig,gp_ucb,106,80.5818,70.9464,19.4182,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_anchor_ensemble_high_conf,106,80.1359,74.5968,19.8641,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_conservative_multi_prior,106,80.1359,74.5968,19.8641,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_explore_high_beta_counter_weight,106,80.5818,70.4728,19.4182,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_prior_calibrated_signed,106,82.3289,75.0354,17.6711,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,106,80.5818,69.5594,19.4182,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,106,65.1983,64.7475,34.8017,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,107,89.6142,76.2841,10.3858,0,calibration,
real_buchwald_hartwig,gp_ucb,107,89.6142,76.2841,10.3858,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_anchor_ensemble_high_conf,107,89.6142,79.0632,10.3858,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_conservative_multi_prior,107,89.6142,76.2841,10.3858,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_explore_high_beta_counter_weight,107,65.1515,62.4816,34.8485,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_prior_calibrated_signed,107,89.6142,76.2841,10.3858,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,107,89.6142,75.7876,10.3858,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,107,89.6142,76.2841,10.3858,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,108,86.2541,83.1339,13.7459,0,calibration,
real_buchwald_hartwig,gp_ucb,108,87.902,85.592,12.098,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_anchor_ensemble_high_conf,108,87.902,85.592,12.098,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_conservative_multi_prior,108,86.2541,84.9324,13.7459,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_explore_high_beta_counter_weight,108,83.0885,82.727,16.9115,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_prior_calibrated_signed,108,86.2541,84.9324,13.7459,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,108,87.902,85.592,12.098,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,108,87.902,85.592,12.098,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,109,94.6911,93.9721,5.3089,0,calibration,
real_buchwald_hartwig,gp_ucb,109,94.501,93.7704,5.499,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_anchor_ensemble_high_conf,109,93.5878,93.5878,6.4122,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_conservative_multi_prior,109,93.5878,93.5878,6.4122,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_explore_high_beta_counter_weight,109,93.5878,93.5878,6.4122,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_prior_calibrated_signed,109,93.5878,93.5878,6.4122,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,109,93.5878,93.5878,6.4122,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,109,93.5878,93.5878,6.4122,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,110,99.6191,88.8869,0.3809,1,calibration,
real_buchwald_hartwig,gp_ucb,110,100.0,92.9897,0.0,1,calibration,
real_buchwald_hartwig,llm_evolved_kernel_anchor_ensemble_high_conf,110,99.6191,92.9136,0.3809,1,calibration,
real_buchwald_hartwig,llm_evolved_kernel_conservative_multi_prior,110,99.6191,88.8869,0.3809,1,calibration,
real_buchwald_hartwig,llm_evolved_kernel_explore_high_beta_counter_weight,110,99.6191,93.7364,0.3809,1,calibration,
real_buchwald_hartwig,llm_evolved_kernel_prior_calibrated_signed,110,99.6191,92.0907,0.3809,1,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,110,99.6191,92.9136,0.3809,1,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,110,100.0,92.9897,0.0,1,calibration,
