dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,100,91.3,87.158,8.7,0,calibration,
real_chemlex_acidamine,gp_ucb,100,91.3,87.158,8.7,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_amine_countertest,100,91.3,87.118,8.7,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_anchored_multiscale,100,91.3,87.158,8.7,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_balanced_evidence,100,91.3,87.158,8.7,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_conservative_anchor,100,91.3,87.158,8.7,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_explore_then_focus,100,91.3,87.118,8.7,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_identity_stress_test,100,91.3,89.169,8.7,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_reagent_bottleneck,100,91.3,87.158,8.7,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_top_roles_focus,100,91.3,89.169,8.7,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,100,91.3,87.118,8.7,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,100,91.3,87.118,8.7,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,101,8.92,2.199,91.08,0,calibration,
real_chemlex_acidamine,gp_ucb,101,17.12,3.839,82.88,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_amine_countertest,101,44.64,7.986,55.36,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_anchored_multiscale,101,31.07,6.629,68.93,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_balanced_evidence,101,31.07,6.629,68.93,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_conservative_anchor,101,47.96,11.342,52.04,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_explore_then_focus,101,24.35,5.097,75.65,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_identity_stress_test,101,6.24,3.286,93.76,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_reagent_bottleneck,101,31.07,6.629,68.93,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_top_roles_focus,101,47.96,11.342,52.04,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,101,44.64,7.986,55.36,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,101,17.12,3.839,82.88,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,102,95.76,95.76,4.24,0,calibration,
real_chemlex_acidamine,gp_ucb,102,95.76,95.76,4.24,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_amine_countertest,102,95.76,95.76,4.24,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_anchored_multiscale,102,95.76,95.76,4.24,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_balanced_evidence,102,95.76,95.76,4.24,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_conservative_anchor,102,95.76,95.76,4.24,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_explore_then_focus,102,95.76,95.76,4.24,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_identity_stress_test,102,95.76,95.76,4.24,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_reagent_bottleneck,102,95.76,95.76,4.24,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_top_roles_focus,102,95.76,95.76,4.24,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,102,95.76,95.76,4.24,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,102,95.76,95.76,4.24,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,103,90.0,57.722,10.0,0,calibration,
real_chemlex_acidamine,gp_ucb,103,69.0,36.44,31.0,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_amine_countertest,103,84.85,45.265,15.15,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_anchored_multiscale,103,86.43,57.365,13.57,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_balanced_evidence,103,86.43,57.365,13.57,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_conservative_anchor,103,97.31,76.902,2.69,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_explore_then_focus,103,93.43,59.045,6.57,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_identity_stress_test,103,97.31,78.423,2.69,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_reagent_bottleneck,103,97.57,73.278,2.43,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_top_roles_focus,103,97.32,76.642,2.68,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,103,94.16,72.083,5.84,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,103,97.57,66.84,2.43,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,104,21.91,3.289,78.09,0,calibration,
real_chemlex_acidamine,gp_ucb,104,21.91,3.289,78.09,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_amine_countertest,104,1.22,1.22,98.78,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_anchored_multiscale,104,1.22,1.22,98.78,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_balanced_evidence,104,1.22,1.22,98.78,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_conservative_anchor,104,1.22,1.22,98.78,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_explore_then_focus,104,90.29,82.462,9.71,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_identity_stress_test,104,1.22,1.22,98.78,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_reagent_bottleneck,104,1.22,1.22,98.78,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_top_roles_focus,104,1.22,1.22,98.78,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,104,56.68,23.168,43.32,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,104,21.91,3.289,78.09,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,105,96.95,92.475,3.05,0,calibration,
real_chemlex_acidamine,gp_ucb,105,97.0,90.7,3.0,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_amine_countertest,105,97.0,93.4,3.0,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_anchored_multiscale,105,96.95,93.37,3.05,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_balanced_evidence,105,96.95,93.37,3.05,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_conservative_anchor,105,95.04,92.254,4.96,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_explore_then_focus,105,96.95,95.16,3.05,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_identity_stress_test,105,96.95,96.055,3.05,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_reagent_bottleneck,105,96.95,92.475,3.05,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_top_roles_focus,105,97.0,91.6,3.0,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,105,97.0,90.484,3.0,0,calibration,
