dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,500,88.26,86.7,11.74,0,calibration,
real_chemlex_acidamine,gp_ucb,500,100.0,91.846,0.0,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_conservative_patch_optimized,500,86.56,86.47,13.44,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_counter_hypothesis_patch_optimized,500,88.26,86.468,11.74,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_exploration_patch_optimized,500,92.6,90.518,7.4,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_high_confidence_patch_optimized,500,85.86,85.698,14.14,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_multi_scale_ensemble_patch_optimized,500,92.6,90.518,7.4,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_safety_anchor_patch_optimized,500,92.6,89.49,7.4,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,500,100.0,91.846,0.0,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,500,100.0,91.846,0.0,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,501,95.99,62.76,4.01,0,calibration,
real_chemlex_acidamine,gp_ucb,501,92.72,65.146,7.28,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_conservative_patch_optimized,501,86.72,43.313,13.28,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_counter_hypothesis_patch_optimized,501,92.72,55.604,7.28,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_exploration_patch_optimized,501,89.69,87.546,10.31,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_high_confidence_patch_optimized,501,95.99,62.76,4.01,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_multi_scale_ensemble_patch_optimized,501,97.68,65.469,2.32,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_safety_anchor_patch_optimized,501,95.99,62.76,4.01,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,501,58.43,11.368,41.57,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,501,38.99,31.406,61.01,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,502,88.6,72.513,11.4,0,calibration,
real_chemlex_acidamine,gp_ucb,502,94.51,80.789,5.49,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_conservative_patch_optimized,502,88.13,66.166,11.87,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_counter_hypothesis_patch_optimized,502,94.51,77.319,5.49,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_exploration_patch_optimized,502,88.13,67.342,11.87,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_high_confidence_patch_optimized,502,88.6,72.513,11.4,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_multi_scale_ensemble_patch_optimized,502,94.4,81.126,5.6,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_safety_anchor_patch_optimized,502,88.6,72.513,11.4,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,502,94.4,81.126,5.6,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,502,95.08,78.798,4.92,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,503,42.9,14.17,57.1,0,calibration,
real_chemlex_acidamine,gp_ucb,503,100.0,12.6,0.0,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_conservative_patch_optimized,503,100.0,12.6,0.0,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_counter_hypothesis_patch_optimized,503,42.9,14.17,57.1,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_exploration_patch_optimized,503,100.0,31.3,0.0,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_high_confidence_patch_optimized,503,42.9,14.17,57.1,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_multi_scale_ensemble_patch_optimized,503,42.9,14.17,57.1,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_safety_anchor_patch_optimized,503,42.9,10.53,57.1,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,503,100.0,12.6,0.0,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,503,100.0,12.6,0.0,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,504,95.03,78.568,4.97,0,calibration,
real_chemlex_acidamine,gp_ucb,504,74.38,72.521,25.62,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_conservative_patch_optimized,504,89.69,83.845,10.31,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_counter_hypothesis_patch_optimized,504,95.03,78.568,4.97,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_exploration_patch_optimized,504,84.16,74.878,15.84,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_high_confidence_patch_optimized,504,95.03,78.568,4.97,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_multi_scale_ensemble_patch_optimized,504,86.96,74.953,13.04,0,calibration,
