dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,2500,48.75,38.8125,51.25,0,calibration,
real_matbench_expt_gap,gp_ucb,2500,48.75,40.8,51.25,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_composition_countertest,2500,43.25,38.9375,56.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_conservative_no_prior,2500,28.875,28.875,71.125,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_explore_then_focus,2500,28.875,28.875,71.125,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_safe_multiscale_anchor,2500,48.75,34.8375,51.25,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_signed_broad_prior,2500,43.25,38.9375,56.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_signed_local_prior,2500,28.875,28.875,71.125,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_strict_signed_value_prior,2500,28.875,28.875,71.125,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_top_roles_focus,2500,37.5,34.9125,62.5,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,2500,48.75,40.8,51.25,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,2500,48.75,40.8,51.25,0,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,2501,32.5,31.9,67.5,0,calibration,
real_matbench_expt_gap,gp_ucb,2501,33.125,31.8875,66.875,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_composition_countertest,2501,31.75,31.75,68.25,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_conservative_no_prior,2501,33.5,32.1,66.5,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_explore_then_focus,2501,31.75,31.75,68.25,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_safe_multiscale_anchor,2501,31.75,31.75,68.25,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_signed_broad_prior,2501,31.75,31.75,68.25,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_signed_local_prior,2501,32.5,32.2,67.5,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_strict_signed_value_prior,2501,31.75,31.75,68.25,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_top_roles_focus,2501,31.75,31.75,68.25,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,2501,31.75,31.75,68.25,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,2501,35.0,33.525,65.0,0,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,2502,68.75,67.75,31.25,0,calibration,
real_matbench_expt_gap,gp_ucb,2502,68.75,67.75,31.25,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_composition_countertest,2502,68.75,64.375,31.25,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_conservative_no_prior,2502,67.5,67.5,32.5,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_explore_then_focus,2502,68.75,68.75,31.25,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_safe_multiscale_anchor,2502,68.75,67.875,31.25,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_signed_broad_prior,2502,57.375,57.375,42.625,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_signed_local_prior,2502,68.75,67.875,31.25,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_strict_signed_value_prior,2502,65.25,65.25,34.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_top_roles_focus,2502,68.75,64.375,31.25,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,2502,67.5,67.5,32.5,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,2502,67.5,67.5,32.5,0,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,2503,29.625,26.825,70.375,0,calibration,
real_matbench_expt_gap,gp_ucb,2503,29.625,26.825,70.375,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_composition_countertest,2503,33.125,28.875,66.875,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_conservative_no_prior,2503,27.5,27.5,72.5,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_explore_then_focus,2503,42.625,38.2,57.375,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_safe_multiscale_anchor,2503,29.625,26.825,70.375,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_signed_broad_prior,2503,35.0,28.25,65.0,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_signed_local_prior,2503,35.625,30.375,64.375,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_strict_signed_value_prior,2503,41.25,37.1,58.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_top_roles_focus,2503,46.25,38.2875,53.75,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,2503,29.625,26.825,70.375,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,2503,29.625,26.825,70.375,0,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,2504,82.5,66.55,17.5,0,calibration,
real_matbench_expt_gap,gp_ucb,2504,82.5,66.55,17.5,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_composition_countertest,2504,100.0,82.0125,0.0,1,calibration,
real_matbench_expt_gap,llm_evolved_kernel_conservative_no_prior,2504,67.5,50.0875,32.5,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_explore_then_focus,2504,82.5,78.5125,17.5,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_safe_multiscale_anchor,2504,82.5,50.6,17.5,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_signed_broad_prior,2504,36.0,33.7,64.0,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_signed_local_prior,2504,82.5,66.55,17.5,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_strict_signed_value_prior,2504,82.5,78.5125,17.5,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_top_roles_focus,2504,70.0,58.8625,30.0,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,2504,91.25,50.3125,8.75,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,2504,91.25,48.5625,8.75,0,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,2505,68.75,54.6,31.25,0,calibration,
real_matbench_expt_gap,gp_ucb,2505,91.25,67.4,8.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_composition_countertest,2505,91.25,53.65,8.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_conservative_no_prior,2505,52.125,44.225,47.875,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_explore_then_focus,2505,100.0,47.8375,0.0,1,calibration,
real_matbench_expt_gap,llm_evolved_kernel_safe_multiscale_anchor,2505,68.75,54.85,31.25,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_signed_broad_prior,2505,91.25,56.825,8.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_signed_local_prior,2505,70.625,48.575,29.375,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_strict_signed_value_prior,2505,100.0,50.8625,0.0,1,calibration,
real_matbench_expt_gap,llm_evolved_kernel_top_roles_focus,2505,91.25,55.8,8.75,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,2505,52.125,41.5375,47.875,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,2505,62.5,51.35,37.5,0,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,2506,46.25,28.25,53.75,0,calibration,
real_matbench_expt_gap,gp_ucb,2506,42.625,40.425,57.375,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_composition_countertest,2506,53.375,42.4875,46.625,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_conservative_no_prior,2506,42.625,36.275,57.375,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_explore_then_focus,2506,52.125,36.6,47.875,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_safe_multiscale_anchor,2506,26.75,24.9625,73.25,0,calibration,
