dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,900,26.875,24.1,73.125,0,calibration,
real_matbench_expt_gap,gp_ucb,900,51.25,25.425,48.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_conservative_patch,900,26.875,26.3375,73.125,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_counter_hypothesis_patch,900,26.875,24.1,73.125,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_downweight_weak_role_patch,900,26.875,24.1,73.125,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_ensemble_patch,900,26.875,24.1,73.125,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_exploration_patch,900,27.0,24.7625,73.0,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_high_confidence_patch,900,26.875,24.1,73.125,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,900,26.875,24.5625,73.125,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,900,51.25,25.425,48.75,0,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,901,51.25,20.6,48.75,0,calibration,
real_matbench_expt_gap,gp_ucb,901,51.25,20.6,48.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_conservative_patch,901,51.25,42.625,48.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_counter_hypothesis_patch,901,51.25,20.6,48.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_downweight_weak_role_patch,901,51.25,20.6,48.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_ensemble_patch,901,51.25,16.475,48.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_exploration_patch,901,56.25,34.2125,43.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_high_confidence_patch,901,51.25,20.6,48.75,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,901,18.375,11.675,81.625,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,901,10.0,10.0,90.0,0,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,902,32.375,29.625,67.625,0,calibration,
real_matbench_expt_gap,gp_ucb,902,46.0,31.7875,54.0,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_conservative_patch,902,42.625,34.3125,57.375,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_counter_hypothesis_patch,902,31.75,29.9,68.25,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_downweight_weak_role_patch,902,32.375,30.425,67.625,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_ensemble_patch,902,70.625,38.1375,29.375,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_exploration_patch,902,31.75,29.4375,68.25,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_high_confidence_patch,902,32.375,30.425,67.625,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,902,32.375,30.2125,67.625,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,902,46.0,31.7875,54.0,0,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,903,32.375,31.925,67.625,0,calibration,
real_matbench_expt_gap,gp_ucb,903,31.875,31.875,68.125,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_conservative_patch,903,100.0,51.25,0.0,1,calibration,
real_matbench_expt_gap,llm_evolved_kernel_counter_hypothesis_patch,903,32.375,32.175,67.625,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_downweight_weak_role_patch,903,45.125,33.2,54.875,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_ensemble_patch,903,100.0,47.1625,0.0,1,calibration,
