dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9000,91.25,88.1625,8.75,0,calibration,
real_matbench_expt_gap,gp_ucb,9000,91.25,88.1625,8.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_exploration_patch_high_beta,9000,91.25,81.975,8.75,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,9000,91.25,88.1625,8.75,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,9000,91.25,88.1625,8.75,0,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9001,100.0,89.8125,0.0,1,calibration,
real_matbench_expt_gap,gp_ucb,9001,52.125,50.2375,47.875,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_exploration_patch_high_beta,9001,100.0,69.0625,0.0,1,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,9001,100.0,96.1125,0.0,1,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,9001,100.0,96.1125,0.0,1,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9002,44.125,36.825,55.875,0,calibration,
real_matbench_expt_gap,gp_ucb,9002,44.125,35.9125,55.875,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_exploration_patch_high_beta,9002,44.125,35.9125,55.875,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,9002,44.125,35.9125,55.875,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,9002,44.125,35.9125,55.875,0,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9003,91.25,91.25,8.75,0,calibration,
real_matbench_expt_gap,gp_ucb,9003,91.25,87.125,8.75,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_exploration_patch_high_beta,9003,91.25,87.125,8.75,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,9003,91.25,87.125,8.75,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,9003,91.25,87.125,8.75,0,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9004,52.5,36.8125,47.5,0,calibration,
real_matbench_expt_gap,gp_ucb,9004,52.5,32.8125,47.5,0,calibration,
real_matbench_expt_gap,llm_evolved_kernel_exploration_patch_high_beta,9004,100.0,48.125,0.0,1,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,9004,37.0,29.0375,63.0,0,calibration,
