dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,5000,47.8,43.54,52.2,0,calibration,
real_moleculenet_freesolv,gp_ucb,5000,47.8,43.54,52.2,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_conservative_patch_low_beta,5000,64.0333,45.9233,35.9667,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_counter_hypothesis_patch,5000,47.8,43.54,52.2,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_downweight_uncertain_roles_patch,5000,47.8,43.54,52.2,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,5000,52.1333,45.22,47.8667,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_high_confidence_focus_patch,5000,64.0333,48.1167,35.9667,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_multi_scale_ensemble_patch,5000,47.8,43.54,52.2,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,5000,52.6,44.02,47.4,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,5000,47.8,43.54,52.2,0,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,5001,50.7333,42.51,49.2667,0,calibration,
real_moleculenet_freesolv,gp_ucb,5001,53.3333,49.6233,46.6667,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_conservative_patch_low_beta,5001,50.7333,42.51,49.2667,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_counter_hypothesis_patch,5001,69.4333,50.48,30.5667,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_downweight_uncertain_roles_patch,5001,47.8,44.4967,52.2,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,5001,42.1,41.76,57.9,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_high_confidence_focus_patch,5001,50.7333,42.51,49.2667,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_multi_scale_ensemble_patch,5001,69.4333,50.48,30.5667,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,5001,53.3333,49.6233,46.6667,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,5001,52.6,45.4567,47.4,0,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,5002,42.2,42.2,57.8,0,calibration,
real_moleculenet_freesolv,gp_ucb,5002,55.1,48.7833,44.9,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_conservative_patch_low_beta,5002,42.2,42.2,57.8,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_counter_hypothesis_patch,5002,49.8,45.9333,50.2,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_downweight_uncertain_roles_patch,5002,49.4,44.36,50.6,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,5002,79.0667,59.2467,20.9333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_high_confidence_focus_patch,5002,49.8,47.5233,50.2,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_multi_scale_ensemble_patch,5002,49.4,48.2633,50.6,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,5002,69.4333,47.6233,30.5667,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,5002,49.8,45.92,50.2,0,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,5003,69.4333,51.27,30.5667,1,calibration,
real_moleculenet_freesolv,gp_ucb,5003,69.4333,53.3367,30.5667,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_conservative_patch_low_beta,5003,69.4333,51.27,30.5667,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_counter_hypothesis_patch,5003,69.4333,51.27,30.5667,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_downweight_uncertain_roles_patch,5003,69.4333,51.2067,30.5667,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,5003,50.7333,49.1534,49.2667,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_high_confidence_focus_patch,5003,79.0667,57.4133,20.9333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_multi_scale_ensemble_patch,5003,79.0667,60.38,20.9333,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,5003,69.4333,55.4033,30.5667,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,5003,69.4333,51.27,30.5667,1,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,5004,47.6667,42.9367,52.3333,0,calibration,
real_moleculenet_freesolv,gp_ucb,5004,35.7667,32.74,64.2333,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_conservative_patch_low_beta,5004,33.6667,33.25,66.3333,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_counter_hypothesis_patch,5004,47.6667,42.9367,52.3333,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_downweight_uncertain_roles_patch,5004,38.3333,35.3567,61.6667,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,5004,47.8,39.4667,52.2,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_high_confidence_focus_patch,5004,43.2667,33.85,56.7333,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_multi_scale_ensemble_patch,5004,77.2333,48.8133,22.7667,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,5004,47.8,36.3734,52.2,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,5004,71.4333,41.4167,28.5667,1,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,5005,77.2333,57.7,22.7667,1,calibration,
