dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,6000,79.0667,77.37,20.9333,1,calibration,
real_moleculenet_freesolv,gp_ucb,6000,79.0667,76.1433,20.9333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,6000,79.0667,76.14,20.9333,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,6000,75.8,75.1633,24.2,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,6000,79.0667,77.1867,20.9333,1,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,6001,52.1333,49.46,47.8667,0,calibration,
real_moleculenet_freesolv,gp_ucb,6001,52.6,42.2033,47.4,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,6001,77.2333,60.4633,22.7667,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,6001,73.0667,44.57,26.9333,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,6001,79.0667,45.53,20.9333,1,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,6002,100.0,98.5067,0.0,1,calibration,
real_moleculenet_freesolv,gp_ucb,6002,100.0,97.0133,0.0,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,6002,100.0,98.5067,0.0,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,6002,100.0,98.5067,0.0,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,6002,100.0,98.5067,0.0,1,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,6003,52.6,37.7866,47.4,0,calibration,
real_moleculenet_freesolv,gp_ucb,6003,32.7333,32.0333,67.2667,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,6003,71.4333,49.04,28.5667,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,6003,32.7333,32.0333,67.2667,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,6003,48.4333,33.5333,51.5667,0,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,6004,68.2,68.2,31.8,0,calibration,
real_moleculenet_freesolv,gp_ucb,6004,68.2,68.2,31.8,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,6004,79.0667,65.5267,20.9333,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,6004,68.2,68.2,31.8,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,6004,68.2,68.2,31.8,0,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,6005,64.0333,59.2933,35.9667,0,calibration,
real_moleculenet_freesolv,gp_ucb,6005,53.3667,47.07,46.6333,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,6005,64.0333,50.9066,35.9667,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,6005,64.0333,57.1366,35.9667,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,6005,79.0667,47.8467,20.9333,1,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,6006,47.7,47.7,52.3,0,calibration,
real_moleculenet_freesolv,gp_ucb,6006,48.0333,47.7667,51.9667,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,6006,76.8667,56.4833,23.1333,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,6006,47.7,47.7,52.3,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,6006,48.0333,47.8,51.9667,0,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,6007,48.3667,48.32,51.6333,0,calibration,
real_moleculenet_freesolv,gp_ucb,6007,59.1333,51.55,40.8667,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,6007,48.3667,48.18,51.6333,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,6007,59.1333,53.5166,40.8667,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,6007,59.1333,53.5166,40.8667,0,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,6008,79.0667,70.57,20.9333,1,calibration,
real_moleculenet_freesolv,gp_ucb,6008,76.8667,70.4434,23.1333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,6008,68.2,68.2,31.8,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,6008,76.8667,70.7567,23.1333,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,6008,68.2,67.03,31.8,0,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,6009,68.2,67.03,31.8,0,calibration,
real_moleculenet_freesolv,gp_ucb,6009,68.2,67.03,31.8,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,6009,71.4333,62.66,28.5667,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,6009,68.2,67.03,31.8,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,6009,68.2,67.03,31.8,0,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,6010,64.0333,49.1233,35.9667,0,calibration,
