dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,1100,50.9,50.9,49.1,0,calibration,
real_moleculenet_freesolv,gp_ucb,1100,50.9,50.9,49.1,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_conservative_patch_low_beta,1100,50.9,50.9,49.1,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_counter_hypothesis_patch,1100,50.9,50.9,49.1,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_downweight_uncertain_roles_patch,1100,50.9,50.9,49.1,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,1100,79.0667,61.2033,20.9333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_high_confidence_focus_patch,1100,50.9,50.9,49.1,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_multi_scale_ensemble_patch,1100,50.9,50.9,49.1,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,1100,64.0333,53.0033,35.9667,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,1100,50.9,50.9,49.1,0,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,1101,71.4333,55.6433,28.5667,1,calibration,
real_moleculenet_freesolv,gp_ucb,1101,53.3667,49.3567,46.6333,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_conservative_patch_low_beta,1101,69.4333,49.42,30.5667,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_counter_hypothesis_patch,1101,71.4333,55.6433,28.5667,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_downweight_uncertain_roles_patch,1101,79.0667,61.5867,20.9333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,1101,71.4333,56.3333,28.5667,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_high_confidence_focus_patch,1101,53.3667,52.03,46.6333,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_multi_scale_ensemble_patch,1101,53.3667,52.03,46.6333,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,1101,53.3667,49.3567,46.6333,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,1101,79.0667,61.5867,20.9333,1,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,1102,79.0667,74.4433,20.9333,1,calibration,
real_moleculenet_freesolv,gp_ucb,1102,76.8667,63.9767,23.1333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_conservative_patch_low_beta,1102,79.0667,74.0767,20.9333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_counter_hypothesis_patch,1102,68.2,61.68,31.8,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_downweight_uncertain_roles_patch,1102,76.8667,66.0134,23.1333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,1102,79.0667,70.1967,20.9333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_high_confidence_focus_patch,1102,68.2,61.68,31.8,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_multi_scale_ensemble_patch,1102,71.4333,55.52,28.5667,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,1102,76.8667,63.9767,23.1333,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,1102,76.8667,63.9767,23.1333,1,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,1103,53.3667,51.7,46.6333,0,calibration,
real_moleculenet_freesolv,gp_ucb,1103,53.3667,51.7,46.6333,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_conservative_patch_low_beta,1103,53.3667,51.7,46.6333,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_counter_hypothesis_patch,1103,53.3667,51.7,46.6333,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_downweight_uncertain_roles_patch,1103,53.3667,51.7,46.6333,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,1103,42.6,40.8,57.4,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_high_confidence_focus_patch,1103,53.3667,51.7,46.6333,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_multi_scale_ensemble_patch,1103,53.3667,51.7,46.6333,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,1103,58.8,53.6,41.2,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,1103,53.3667,51.7,46.6333,0,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,1104,44.7,38.2467,55.3,0,calibration,
real_moleculenet_freesolv,gp_ucb,1104,42.1,36.32,57.9,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_conservative_patch_low_beta,1104,44.7,38.0934,55.3,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_counter_hypothesis_patch,1104,44.7,38.0934,55.3,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_downweight_uncertain_roles_patch,1104,100.0,78.82,0.0,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,1104,100.0,78.82,0.0,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_high_confidence_focus_patch,1104,100.0,84.6533,0.0,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_multi_scale_ensemble_patch,1104,44.7,38.2467,55.3,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,1104,40.0,35.1433,60.0,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,1104,44.7,36.8334,55.3,0,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,1105,79.0667,74.4433,20.9333,1,calibration,
real_moleculenet_freesolv,gp_ucb,1105,76.8667,67.78,23.1333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_conservative_patch_low_beta,1105,79.0667,74.4433,20.9333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_counter_hypothesis_patch,1105,79.0667,74.4433,20.9333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_downweight_uncertain_roles_patch,1105,79.0667,74.4433,20.9333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,1105,79.0667,72.8433,20.9333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_high_confidence_focus_patch,1105,76.8667,70.13,23.1333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_multi_scale_ensemble_patch,1105,79.0667,74.4433,20.9333,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,1105,73.0667,65.4633,26.9333,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,1105,79.0667,69.9167,20.9333,1,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,1106,42.1,41.6467,57.9,0,calibration,
real_moleculenet_freesolv,gp_ucb,1106,47.8,45.18,52.2,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_conservative_patch_low_beta,1106,50.1,42.4467,49.9,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_counter_hypothesis_patch,1106,42.1,41.6467,57.9,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_downweight_uncertain_roles_patch,1106,69.4333,47.9467,30.5667,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,1106,79.0667,68.5667,20.9333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_high_confidence_focus_patch,1106,50.1,42.4467,49.9,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_multi_scale_ensemble_patch,1106,42.1,41.6467,57.9,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,1106,58.8,48.6367,41.2,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,1106,52.6,47.3033,47.4,0,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,1107,50.7,40.1267,49.3,0,calibration,
real_moleculenet_freesolv,gp_ucb,1107,47.6667,44.4567,52.3333,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_conservative_patch_low_beta,1107,47.6667,43.3867,52.3333,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_counter_hypothesis_patch,1107,41.4333,38.7533,58.5667,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_downweight_uncertain_roles_patch,1107,47.6667,44.4567,52.3333,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,1107,42.1,39.55,57.9,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_high_confidence_focus_patch,1107,47.6667,44.4567,52.3333,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_multi_scale_ensemble_patch,1107,50.7,40.1267,49.3,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,1107,42.1,39.5333,57.9,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,1107,48.8333,40.88,51.1667,0,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,1108,77.2333,77.2333,22.7667,1,calibration,
real_moleculenet_freesolv,gp_ucb,1108,79.0667,77.1067,20.9333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_conservative_patch_low_beta,1108,77.2333,77.2333,22.7667,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_counter_hypothesis_patch,1108,77.2333,77.2333,22.7667,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_downweight_uncertain_roles_patch,1108,79.0667,78.3333,20.9333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,1108,79.0667,74.25,20.9333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_high_confidence_focus_patch,1108,79.0667,78.3333,20.9333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_multi_scale_ensemble_patch,1108,79.0667,77.4166,20.9333,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,1108,75.8,75.8,24.2,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,1108,79.0667,77.9667,20.9333,1,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,1109,68.2,68.2,31.8,0,calibration,
real_moleculenet_freesolv,gp_ucb,1109,68.2,68.2,31.8,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_conservative_patch_low_beta,1109,71.4333,58.7567,28.5667,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_counter_hypothesis_patch,1109,68.2,68.2,31.8,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_downweight_uncertain_roles_patch,1109,68.2,68.2,31.8,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,1109,71.4333,54.47,28.5667,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_high_confidence_focus_patch,1109,68.2,68.2,31.8,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_multi_scale_ensemble_patch,1109,68.2,68.2,31.8,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,1109,68.2,68.2,31.8,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,1109,68.2,68.2,31.8,0,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,1110,50.7333,44.8767,49.2667,0,calibration,
real_moleculenet_freesolv,gp_ucb,1110,59.1333,50.8333,40.8667,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_conservative_patch_low_beta,1110,59.1333,50.8333,40.8667,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_counter_hypothesis_patch,1110,50.7333,45.1467,49.2667,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_downweight_uncertain_roles_patch,1110,59.1333,50.8333,40.8667,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,1110,48.3667,44.91,51.6333,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_high_confidence_focus_patch,1110,59.1333,50.8333,40.8667,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_multi_scale_ensemble_patch,1110,59.1333,50.8333,40.8667,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,1110,53.8,46.7033,46.2,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,1110,50.7333,46.16,49.2667,0,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,1111,76.8667,59.38,23.1333,1,calibration,
real_moleculenet_freesolv,gp_ucb,1111,49.2,48.3133,50.8,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_conservative_patch_low_beta,1111,49.2,48.3133,50.8,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_counter_hypothesis_patch,1111,49.2,48.3133,50.8,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_downweight_uncertain_roles_patch,1111,76.8667,59.38,23.1333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,1111,49.2,49.2,50.8,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_high_confidence_focus_patch,1111,76.8667,59.38,23.1333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_multi_scale_ensemble_patch,1111,49.2,48.3133,50.8,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,1111,49.2,48.3133,50.8,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,1111,76.8667,59.38,23.1333,1,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,1112,64.0333,60.0333,35.9667,0,calibration,
real_moleculenet_freesolv,gp_ucb,1112,64.0333,61.3666,35.9667,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_conservative_patch_low_beta,1112,58.8,52.6867,41.2,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_counter_hypothesis_patch,1112,64.0333,60.0333,35.9667,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_downweight_uncertain_roles_patch,1112,64.0333,60.0333,35.9667,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,1112,58.8,55.56,41.2,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_high_confidence_focus_patch,1112,64.0333,61.3666,35.9667,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_multi_scale_ensemble_patch,1112,58.8,53.94,41.2,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,1112,64.0333,61.3666,35.9667,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,1112,64.0333,61.3666,35.9667,0,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,1113,69.4333,62.9166,30.5667,1,calibration,
real_moleculenet_freesolv,gp_ucb,1113,69.4333,62.9166,30.5667,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_conservative_patch_low_beta,1113,79.0667,72.1867,20.9333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_counter_hypothesis_patch,1113,69.4333,62.9166,30.5667,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_downweight_uncertain_roles_patch,1113,69.4333,62.9166,30.5667,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,1113,79.0667,72.0867,20.9333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_high_confidence_focus_patch,1113,69.4333,62.9166,30.5667,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_multi_scale_ensemble_patch,1113,69.4333,62.9166,30.5667,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,1113,69.4333,62.9166,30.5667,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,1113,69.4333,62.9166,30.5667,1,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,1114,77.2333,62.1433,22.7667,1,calibration,
real_moleculenet_freesolv,gp_ucb,1114,75.8,62.2067,24.2,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_conservative_patch_low_beta,1114,77.2333,62.1433,22.7667,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_counter_hypothesis_patch,1114,77.2333,62.1433,22.7667,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_downweight_uncertain_roles_patch,1114,77.2333,62.1433,22.7667,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,1114,42.2,40.79,57.8,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_high_confidence_focus_patch,1114,77.2333,62.1433,22.7667,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_multi_scale_ensemble_patch,1114,77.2333,62.1433,22.7667,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,1114,75.8,62.2067,24.2,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,1114,79.0667,63.1067,20.9333,1,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,1115,76.8667,65.3033,23.1333,1,calibration,
real_moleculenet_freesolv,gp_ucb,1115,69.4333,61.42,30.5667,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_conservative_patch_low_beta,1115,76.8667,65.3033,23.1333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_counter_hypothesis_patch,1115,76.8667,65.3033,23.1333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_downweight_uncertain_roles_patch,1115,76.8667,65.3033,23.1333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,1115,49.8,49.33,50.2,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_high_confidence_focus_patch,1115,76.8667,65.3033,23.1333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_multi_scale_ensemble_patch,1115,76.8667,65.3033,23.1333,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,1115,68.2,63.31,31.8,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,1115,52.1333,49.6733,47.8667,0,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,1116,69.4333,56.47,30.5667,1,calibration,
real_moleculenet_freesolv,gp_ucb,1116,79.0667,63.1733,20.9333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_conservative_patch_low_beta,1116,79.0667,62.5533,20.9333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_counter_hypothesis_patch,1116,69.4333,56.47,30.5667,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_downweight_uncertain_roles_patch,1116,79.0667,64.9733,20.9333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,1116,79.0667,66.9767,20.9333,1,calibration,
