dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,900,41.3333,33.1467,58.6667,0,calibration,
real_moleculenet_freesolv,gp_ucb,900,49.4667,34.2067,50.5333,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_downweight_uncertain_roles_patch,900,41.9333,35.1733,58.0667,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,900,42.1,36.0934,57.9,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,900,35.5333,31.82,64.4667,0,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,901,68.2,58.2633,31.8,0,calibration,
real_moleculenet_freesolv,gp_ucb,901,76.8667,56.87,23.1333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_downweight_uncertain_roles_patch,901,76.8667,61.2567,23.1333,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,901,76.8667,56.87,23.1333,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,901,76.8667,56.87,23.1333,1,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,902,50.0,50.0,50.0,0,calibration,
real_moleculenet_freesolv,gp_ucb,902,50.0,50.0,50.0,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_downweight_uncertain_roles_patch,902,50.0,50.0,50.0,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,902,50.0,50.0,50.0,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,902,50.0,50.0,50.0,0,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,903,41.4333,37.4134,58.5667,0,calibration,
real_moleculenet_freesolv,gp_ucb,903,45.6667,39.7567,54.3333,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_downweight_uncertain_roles_patch,903,45.6667,40.4167,54.3333,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,903,39.0667,38.6467,60.9333,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,903,49.4,42.6767,50.6,0,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,904,69.4333,51.47,30.5667,1,calibration,
real_moleculenet_freesolv,gp_ucb,904,68.2,68.2,31.8,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_downweight_uncertain_roles_patch,904,68.2,68.2,31.8,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,904,68.2,68.2,31.8,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,904,68.2,68.2,31.8,0,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,905,47.8,45.0,52.2,0,calibration,
