dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7900,52.6,45.53,47.4,0,calibration,
real_moleculenet_freesolv,gp_ucb,7900,75.8,49.13,24.2,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,7900,79.0667,70.7734,20.9333,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,7900,73.0667,53.5033,26.9333,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,7900,79.0667,51.23,20.9333,1,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7901,64.0333,62.5266,35.9667,0,calibration,
real_moleculenet_freesolv,gp_ucb,7901,76.8667,70.13,23.1333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,7901,79.0667,61.4167,20.9333,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,7901,76.8667,70.13,23.1333,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,7901,64.0333,59.64,35.9667,0,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7902,68.2,68.2,31.8,0,calibration,
real_moleculenet_freesolv,gp_ucb,7902,68.2,68.2,31.8,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,7902,68.2,68.2,31.8,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,7902,68.2,68.2,31.8,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,7902,68.2,68.2,31.8,0,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7903,58.8,58.2733,41.2,0,calibration,
real_moleculenet_freesolv,gp_ucb,7903,71.4333,69.9066,28.5667,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,7903,64.0333,59.5833,35.9667,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,7903,58.8,58.5367,41.2,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,7903,71.4333,69.9066,28.5667,1,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7904,76.8667,59.3467,23.1333,1,calibration,
real_moleculenet_freesolv,gp_ucb,7904,53.3333,49.52,46.6667,0,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,7904,71.4333,53.6467,28.5667,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,7904,49.2,48.28,50.8,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,7904,76.8667,59.3467,23.1333,1,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7905,58.8,52.32,41.2,0,calibration,
real_moleculenet_freesolv,gp_ucb,7905,71.4333,60.2333,28.5667,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,7905,71.4333,58.7066,28.5667,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,7905,69.4333,58.4333,30.5667,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,7905,50.1,49.3533,49.9,0,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7906,71.4333,53.2967,28.5667,1,calibration,
real_moleculenet_freesolv,gp_ucb,7906,71.4333,53.2967,28.5667,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,7906,76.8667,56.7733,23.1333,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,7906,76.8667,56.7733,23.1333,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,7906,76.8667,56.7733,23.1333,1,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7907,79.0667,79.0667,20.9333,1,calibration,
real_moleculenet_freesolv,gp_ucb,7907,79.0667,76.0667,20.9333,1,calibration,
real_moleculenet_freesolv,llm_evolved_kernel_exploration_patch_high_beta,7907,73.0667,69.7966,26.9333,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,7907,73.0667,73.0667,26.9333,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,7907,79.0667,79.0667,20.9333,1,calibration,
