dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,1800,85.625,85.625,8.125,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,1800,85.625,85.625,8.125,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_conservative_patch_low_beta,1800,85.625,85.625,8.125,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_counter_hypothesis_patch,1800,91.375,87.5417,2.375,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_high_beta,1800,85.625,85.625,8.125,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_high_confidence_roles_patch,1800,91.375,87.5417,2.375,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_multi_scale_ensemble_patch,1800,85.625,85.625,8.125,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_safety_anchor_patch,1800,85.625,85.625,8.125,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,1800,85.625,85.625,8.125,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,1800,85.625,85.625,8.125,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,1801,82.5,78.3333,11.25,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,1801,76.25,76.25,17.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_conservative_patch_low_beta,1801,92.5,81.6667,1.25,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_counter_hypothesis_patch,1801,87.25,84.9167,6.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_high_beta,1801,83.75,82.75,10.0,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_high_confidence_roles_patch,1801,76.25,76.25,17.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_multi_scale_ensemble_patch,1801,85.0,84.1667,8.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_safety_anchor_patch,1801,76.25,76.25,17.5,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,1801,76.25,76.25,17.5,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,1801,82.5,80.4167,11.25,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,1802,91.875,83.125,1.875,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,1802,87.5,84.5,6.25,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_conservative_patch_low_beta,1802,91.875,83.125,1.875,0,calibration,
