dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7000,83.125,83.125,10.625,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,7000,83.125,83.125,10.625,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,7000,87.125,83.425,6.625,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,7000,83.125,83.125,10.625,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,7000,83.125,83.125,10.625,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7001,90.0,83.925,3.75,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,7001,90.0,85.0375,3.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,7001,88.75,83.3375,5.0,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,7001,86.75,82.2875,7.0,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,7001,80.75,74.4125,13.0,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7002,85.0,85.0,8.75,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,7002,85.0,85.0,8.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,7002,89.75,86.475,4.0,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,7002,87.5,85.75,6.25,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,7002,85.875,85.0875,7.875,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7003,93.25,93.25,0.5,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,7003,93.25,93.25,0.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,7003,93.25,93.25,0.5,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,7003,93.25,93.25,0.5,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,7003,93.25,93.25,0.5,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7004,87.25,87.25,6.5,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,7004,87.25,87.25,6.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,7004,93.75,85.8,0.0,1,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,7004,81.75,81.75,12.0,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,7004,87.25,87.25,6.5,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7005,83.875,83.875,9.875,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,7005,87.5,86.4125,6.25,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,7005,93.75,93.75,0.0,1,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,7005,85.25,85.25,8.5,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,7005,85.25,85.25,8.5,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7006,88.625,86.6125,5.125,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,7006,87.5,86.5,6.25,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,7006,87.5,87.0,6.25,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,7006,90.375,87.575,3.375,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,7006,87.5,87.0,6.25,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7007,88.125,86.9375,5.625,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,7007,87.5,86.0,6.25,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,7007,83.125,81.875,10.625,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,7007,87.5,86.0,6.25,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,7007,87.5,86.75,6.25,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7008,87.5,86.9125,6.25,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,7008,91.25,83.6875,2.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,7008,86.25,82.0875,7.5,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,7008,91.375,90.4,2.375,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,7008,87.5,86.9125,6.25,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7009,90.0,85.225,3.75,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,7009,85.875,84.3125,7.875,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,7009,86.125,77.6125,7.625,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,7009,90.0,84.35,3.75,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,7009,85.875,84.3125,7.875,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7010,88.625,88.2625,5.125,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,7010,88.625,88.2625,5.125,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,7010,87.0,86.6,6.75,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,7010,88.625,88.2625,5.125,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,7010,88.625,88.2625,5.125,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7011,88.875,85.3375,4.875,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,7011,84.375,84.375,9.375,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,7011,84.375,84.375,9.375,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,7011,88.875,84.8875,4.875,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,7011,88.875,84.8875,4.875,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7012,88.625,85.8,5.125,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,7012,88.625,85.8,5.125,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,7012,91.875,88.7625,1.875,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,7012,88.625,85.8,5.125,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,7012,93.75,90.075,0.0,1,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7013,85.0,74.675,8.75,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,7013,82.5,76.425,11.25,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,7013,80.75,77.85,13.0,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,7013,93.75,79.475,0.0,1,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,7013,82.5,74.9875,11.25,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7014,84.875,84.875,8.875,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,7014,84.875,84.875,8.875,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,7014,84.875,84.875,8.875,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,7014,84.875,84.875,8.875,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,7014,84.875,84.875,8.875,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7015,80.0,80.0,13.75,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,7015,80.0,80.0,13.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,7015,90.0,88.95,3.75,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,7015,82.875,80.575,10.875,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,7015,80.0,80.0,13.75,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7016,93.5,93.5,0.25,1,calibration,
real_moleculenet_lipophilicity,gp_ucb,7016,93.5,93.5,0.25,1,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,7016,93.5,93.5,0.25,1,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,7016,93.5,93.5,0.25,1,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,7016,93.5,93.5,0.25,1,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7017,86.25,86.25,7.5,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,7017,86.25,86.25,7.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,7017,93.75,91.5,0.0,1,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,7017,86.25,86.25,7.5,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,7017,91.25,88.75,2.5,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7018,83.75,83.75,10.0,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,7018,83.75,83.75,10.0,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,7018,83.75,83.75,10.0,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,7018,88.75,85.0,5.0,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,7018,83.75,83.75,10.0,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7019,88.125,88.125,5.625,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,7019,88.125,88.125,5.625,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,7019,88.125,88.125,5.625,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,7019,88.125,88.125,5.625,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,7019,88.125,88.125,5.625,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7020,86.25,86.25,7.5,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,7020,86.25,86.25,7.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,7020,87.125,86.775,6.625,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,7020,87.125,86.425,6.625,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,7020,87.125,86.425,6.625,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7021,91.0,91.0,2.75,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,7021,91.0,91.0,2.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,7021,91.0,91.0,2.75,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,7021,92.875,91.1875,0.875,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,7021,91.0,91.0,2.75,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7022,93.75,89.1875,0.0,1,calibration,
real_moleculenet_lipophilicity,gp_ucb,7022,93.75,89.1875,0.0,1,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,7022,91.25,91.25,2.5,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,7022,91.875,87.875,1.875,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,7022,90.0,88.0625,3.75,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7023,88.625,85.3125,5.125,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,7023,88.625,85.3125,5.125,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,7023,93.75,86.8,0.0,1,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,7023,88.625,85.3375,5.125,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,7023,88.625,85.3375,5.125,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,7024,85.375,79.525,8.375,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,7024,91.375,82.575,2.375,0,calibration,
