dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,2500,82.5,81.425,11.25,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,2500,82.5,81.425,11.25,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_anchored_multiscale,2500,82.5,81.425,11.25,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_conservative_safe,2500,82.5,80.1375,11.25,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_counter_structure,2500,83.5,80.525,10.25,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,2500,87.125,85.1875,6.625,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_gated_sparse_prior,2500,82.5,81.425,11.25,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_signed_neighbor_local,2500,82.5,81.425,11.25,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_signed_neighbor_smooth,2500,77.125,77.125,16.625,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_top2_focus,2500,87.125,82.425,6.625,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,2500,87.5,84.375,6.25,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,2500,78.75,78.5875,15.0,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,2501,80.0,77.8875,13.75,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,2501,80.0,77.8875,13.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_anchored_multiscale,2501,87.25,82.1125,6.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_conservative_safe,2501,81.625,78.2125,12.125,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_counter_structure,2501,85.0,81.225,8.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,2501,80.75,78.175,13.0,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_gated_sparse_prior,2501,80.75,77.7625,13.0,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_signed_neighbor_local,2501,82.5,80.275,11.25,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_signed_neighbor_smooth,2501,93.75,84.675,0.0,1,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_top2_focus,2501,83.125,71.025,10.625,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,2501,80.0,77.8875,13.75,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,2501,80.0,77.8875,13.75,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,2502,88.625,87.7625,5.125,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,2502,88.625,87.7625,5.125,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_anchored_multiscale,2502,88.625,87.7625,5.125,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_conservative_safe,2502,88.75,88.75,5.0,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_counter_structure,2502,88.625,85.55,5.125,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_explore_then_settle,2502,91.25,85.475,2.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_gated_sparse_prior,2502,88.75,88.75,5.0,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_signed_neighbor_local,2502,88.625,86.2875,5.125,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_signed_neighbor_smooth,2502,88.625,86.2875,5.125,0,calibration,
