dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9000,90.0,85.275,3.75,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,9000,85.875,84.975,7.875,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_high_beta,9000,90.0,87.775,3.75,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,9000,90.0,87.2875,3.75,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,9000,90.0,85.275,3.75,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9001,80.625,80.625,13.125,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,9001,80.625,80.625,13.125,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_high_beta,9001,80.625,80.625,13.125,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,9001,80.625,80.625,13.125,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,9001,81.25,80.875,12.5,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9002,88.625,86.825,5.125,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,9002,88.625,86.825,5.125,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_high_beta,9002,88.625,88.425,5.125,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,9002,88.625,86.825,5.125,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,9002,88.625,87.025,5.125,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9003,85.0,85.0,8.75,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,9003,85.0,85.0,8.75,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_high_beta,9003,89.25,88.825,4.5,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,9003,86.125,85.45,7.625,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,9003,86.125,85.225,7.625,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9004,87.125,84.5875,6.625,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,9004,87.125,84.5875,6.625,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_high_beta,9004,83.5,83.5,10.25,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,9004,86.0,85.5,7.75,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,9004,83.5,83.5,10.25,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9005,82.5,82.125,11.25,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,9005,82.5,82.125,11.25,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_high_beta,9005,93.75,87.5,0.0,1,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,9005,82.5,82.125,11.25,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,9005,82.5,82.125,11.25,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9006,90.625,90.625,3.125,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,9006,90.625,90.625,3.125,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_high_beta,9006,90.625,90.625,3.125,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,9006,90.625,90.625,3.125,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,9006,90.625,90.625,3.125,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9007,91.25,83.5875,2.5,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,9007,91.25,83.5875,2.5,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_high_beta,9007,89.625,84.0375,4.125,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,9007,88.25,84.175,5.5,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,9007,91.25,83.5875,2.5,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9008,82.5,82.5,11.25,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,9008,83.375,82.7625,10.375,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_high_beta,9008,82.5,82.5,11.25,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,9008,83.375,82.7625,10.375,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,9008,83.375,82.7625,10.375,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9009,83.75,83.75,10.0,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,9009,83.75,83.75,10.0,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_high_beta,9009,83.75,83.75,10.0,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,9009,83.75,83.75,10.0,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,9009,83.75,83.75,10.0,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9010,83.75,83.75,10.0,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,9010,90.625,88.5625,3.125,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_high_beta,9010,85.0,83.875,8.75,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,9010,92.25,89.85,1.5,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,9010,91.25,84.625,2.5,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9011,88.625,87.725,5.125,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,9011,91.375,88.05,2.375,0,calibration,
real_moleculenet_lipophilicity,llm_evolved_kernel_exploration_patch_high_beta,9011,88.625,87.6125,5.125,0,calibration,
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,9011,91.375,89.6,2.375,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,9011,91.375,88.4375,2.375,0,calibration,
