dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,1800,80.2899,80.2899,19.7101,0,calibration,
real_buchwald_hartwig,gp_ucb,1800,80.2899,80.2899,19.7101,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_conservative_patch_1_refined,1800,80.2899,80.2899,19.7101,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_counter_hypothesis_patch_refined,1800,80.2899,80.2899,19.7101,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_exploration_patch_1_refined,1800,64.0058,57.5848,35.9942,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_high_confidence_patch_refined,1800,80.2899,80.2899,19.7101,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_multi_scale_ensemble_patch_refined,1800,80.2899,80.2899,19.7101,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_safety_anchor_patch_refined,1800,80.2899,80.2899,19.7101,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,1800,57.8728,55.5405,42.1272,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,1800,80.2899,80.2899,19.7101,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,1801,86.4129,86.4129,13.5871,0,calibration,
real_buchwald_hartwig,gp_ucb,1801,86.4129,86.4129,13.5871,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_conservative_patch_1_refined,1801,86.4129,86.4129,13.5871,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_counter_hypothesis_patch_refined,1801,86.4129,86.4129,13.5871,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_exploration_patch_1_refined,1801,86.4129,82.1561,13.5871,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_high_confidence_patch_refined,1801,86.4129,86.4129,13.5871,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_multi_scale_ensemble_patch_refined,1801,86.4129,86.4129,13.5871,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_safety_anchor_patch_refined,1801,86.4129,86.4129,13.5871,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,1801,86.4129,86.4129,13.5871,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,1801,86.4129,86.4129,13.5871,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,1802,65.9902,65.9902,34.0098,0,calibration,
real_buchwald_hartwig,gp_ucb,1802,65.9902,65.9902,34.0098,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_conservative_patch_1_refined,1802,65.9902,65.9902,34.0098,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_counter_hypothesis_patch_refined,1802,65.9902,65.9902,34.0098,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_exploration_patch_1_refined,1802,65.9902,65.9902,34.0098,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_high_confidence_patch_refined,1802,65.9902,65.9902,34.0098,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_multi_scale_ensemble_patch_refined,1802,65.9902,65.9902,34.0098,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_safety_anchor_patch_refined,1802,65.9902,65.9902,34.0098,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,1802,65.9902,65.9902,34.0098,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,1802,65.9902,65.9902,34.0098,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,1803,89.4195,89.4195,10.5805,0,calibration,
real_buchwald_hartwig,gp_ucb,1803,89.4195,88.7894,10.5805,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_conservative_patch_1_refined,1803,89.4195,89.4195,10.5805,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_counter_hypothesis_patch_refined,1803,89.4195,88.7894,10.5805,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_exploration_patch_1_refined,1803,89.4195,88.7894,10.5805,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_high_confidence_patch_refined,1803,89.4195,88.1592,10.5805,0,calibration,
