dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9000,74.0097,72.7117,25.9903,0,calibration,
real_buchwald_hartwig,gp_ucb,9000,74.0097,72.7117,25.9903,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_exploration_patch_high_beta,9000,74.0097,72.7117,25.9903,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,9000,74.0097,72.7117,25.9903,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,9000,74.0097,72.7117,25.9903,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9001,93.7486,90.3813,6.2514,0,calibration,
real_buchwald_hartwig,gp_ucb,9001,94.3462,90.6423,5.6538,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_exploration_patch_high_beta,9001,94.3462,83.5293,5.6538,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,9001,93.0326,90.3303,6.9674,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,9001,93.0326,90.3303,6.9674,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9002,98.8492,81.7078,1.1508,1,calibration,
real_buchwald_hartwig,gp_ucb,9002,98.8492,85.8972,1.1508,1,calibration,
real_buchwald_hartwig,llm_evolved_kernel_exploration_patch_high_beta,9002,97.948,84.3189,2.052,1,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,9002,98.8492,74.8879,1.1508,1,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,9002,90.9905,85.9386,9.0095,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9003,98.1771,93.3223,1.8229,1,calibration,
real_buchwald_hartwig,gp_ucb,9003,98.1771,93.8752,1.8229,1,calibration,
real_buchwald_hartwig,llm_evolved_kernel_exploration_patch_high_beta,9003,81.2283,80.9306,18.7717,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,9003,98.1771,93.8752,1.8229,1,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,9003,98.1771,93.8752,1.8229,1,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9004,85.2691,79.1672,14.7309,0,calibration,
real_buchwald_hartwig,gp_ucb,9004,100.0,92.5742,0.0,1,calibration,
real_buchwald_hartwig,llm_evolved_kernel_exploration_patch_high_beta,9004,91.9334,83.0247,8.0666,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,9004,100.0,92.5742,0.0,1,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,9004,100.0,92.5742,0.0,1,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9005,83.3036,81.594,16.6964,0,calibration,
real_buchwald_hartwig,gp_ucb,9005,83.3036,81.594,16.6964,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_exploration_patch_high_beta,9005,81.5694,79.6919,18.4306,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,9005,95.3865,82.8023,4.6135,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,9005,83.3036,81.594,16.6964,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9006,77.0326,48.6109,22.9674,0,calibration,
real_buchwald_hartwig,gp_ucb,9006,84.5566,68.7614,15.4434,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_exploration_patch_high_beta,9006,93.1012,66.5526,6.8988,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,9006,93.4211,71.8109,6.5789,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,9006,94.501,72.2379,5.499,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9007,99.6191,99.6191,0.3809,1,calibration,
real_buchwald_hartwig,gp_ucb,9007,99.6191,99.6191,0.3809,1,calibration,
real_buchwald_hartwig,llm_evolved_kernel_exploration_patch_high_beta,9007,99.6191,90.2362,0.3809,1,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,9007,99.6191,99.6191,0.3809,1,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,9007,100.0,99.8096,0.0,1,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9008,100.0,94.4864,0.0,1,calibration,
real_buchwald_hartwig,gp_ucb,9008,100.0,96.0326,0.0,1,calibration,
real_buchwald_hartwig,llm_evolved_kernel_exploration_patch_high_beta,9008,98.8492,91.2089,1.1508,1,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,9008,100.0,95.3031,0.0,1,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,9008,100.0,94.1949,0.0,1,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9009,92.3538,90.9756,7.6462,0,calibration,
real_buchwald_hartwig,gp_ucb,9009,92.904,90.4721,7.096,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_exploration_patch_high_beta,9009,89.1299,85.7312,10.8701,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,9009,97.948,90.1791,2.052,1,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,9009,92.3538,89.331,7.6462,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9010,93.4211,89.4271,6.5789,0,calibration,
real_buchwald_hartwig,gp_ucb,9010,93.4211,89.4271,6.5789,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_exploration_patch_high_beta,9010,94.501,86.6268,5.499,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,9010,93.4211,88.9126,6.5789,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,9010,86.1982,83.0009,13.8018,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9011,98.7313,83.4452,1.2687,1,calibration,
real_buchwald_hartwig,gp_ucb,9011,97.2929,76.0814,2.7071,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_exploration_patch_high_beta,9011,92.7237,84.6581,7.2763,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,9011,98.7313,86.9601,1.2687,1,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,9011,97.2929,76.0814,2.7071,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9012,97.948,91.5425,2.052,1,calibration,
real_buchwald_hartwig,gp_ucb,9012,97.948,90.7826,2.052,1,calibration,
real_buchwald_hartwig,llm_evolved_kernel_exploration_patch_high_beta,9012,94.1485,87.8932,5.8515,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,9012,97.948,90.7826,2.052,1,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,9012,97.948,90.7826,2.052,1,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9013,93.7486,91.3236,6.2514,0,calibration,
real_buchwald_hartwig,gp_ucb,9013,93.7486,88.8986,6.2514,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_exploration_patch_high_beta,9013,93.7486,90.1111,6.2514,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,9013,93.7486,91.3236,6.2514,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,9013,93.7486,88.8986,6.2514,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9014,90.9905,90.9905,9.0095,0,calibration,
real_buchwald_hartwig,gp_ucb,9014,90.9905,90.9905,9.0095,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_exploration_patch_high_beta,9014,90.9905,90.9905,9.0095,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,9014,90.9905,90.9905,9.0095,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,9014,90.9905,90.9905,9.0095,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9015,83.9394,83.9394,16.0606,0,calibration,
real_buchwald_hartwig,gp_ucb,9015,93.5878,85.8772,6.4122,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_exploration_patch_high_beta,9015,90.7313,88.6937,9.2687,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,9015,83.9394,83.9394,16.0606,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,9015,87.2375,86.1591,12.7625,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9016,95.3865,80.3125,4.6135,0,calibration,
real_buchwald_hartwig,gp_ucb,9016,95.3865,82.9304,4.6135,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_exploration_patch_high_beta,9016,100.0,86.4139,0.0,1,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,9016,97.5685,82.0316,2.4315,1,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,9016,95.3865,81.9912,4.6135,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9017,93.5641,85.5933,6.4359,0,calibration,
real_buchwald_hartwig,gp_ucb,9017,89.4195,81.109,10.5805,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_exploration_patch_high_beta,9017,67.9915,64.6271,32.0085,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,9017,87.5291,79.7886,12.4709,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,9017,89.4195,80.3558,10.5805,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9018,93.4211,93.3181,6.5789,0,calibration,
real_buchwald_hartwig,gp_ucb,9018,93.4211,93.3181,6.5789,0,calibration,
real_buchwald_hartwig,llm_evolved_kernel_exploration_patch_high_beta,9018,93.4211,93.3181,6.5789,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,9018,93.4211,93.3181,6.5789,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,9018,93.4211,93.3181,6.5789,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9019,85.8947,85.6949,14.1053,0,calibration,
