dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,2500,87.57,28.326,12.43,0,calibration,
real_chemlex_acidamine,gp_ucb,2500,87.57,28.326,12.43,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_amine_countertest,2500,91.64,31.075,8.36,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_anchored_multiscale,2500,87.57,28.326,12.43,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_balanced_evidence,2500,87.57,28.326,12.43,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_conservative_anchor,2500,91.64,33.791,8.36,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_explore_then_focus,2500,87.57,28.326,12.43,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_identity_stress_test,2500,64.15,25.984,35.85,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_reagent_bottleneck,2500,87.57,28.326,12.43,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_top_roles_focus,2500,87.57,28.326,12.43,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,2500,91.64,39.12,8.36,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,2500,91.31,39.309,8.69,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,2501,97.63,90.806,2.37,0,calibration,
real_chemlex_acidamine,gp_ucb,2501,97.63,90.806,2.37,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_amine_countertest,2501,97.63,91.297,2.37,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_anchored_multiscale,2501,97.63,90.806,2.37,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_balanced_evidence,2501,97.63,90.315,2.37,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_conservative_anchor,2501,97.63,90.806,2.37,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_explore_then_focus,2501,97.63,91.297,2.37,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_identity_stress_test,2501,97.63,90.315,2.37,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_reagent_bottleneck,2501,97.63,91.678,2.37,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_top_roles_focus,2501,95.81,91.473,4.19,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,2501,97.63,90.806,2.37,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,2501,97.63,90.806,2.37,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,2502,95.76,94.934,4.24,0,calibration,
real_chemlex_acidamine,gp_ucb,2502,95.76,94.559,4.24,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_amine_countertest,2502,92.86,92.842,7.14,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_anchored_multiscale,2502,95.76,94.635,4.24,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_balanced_evidence,2502,95.76,94.635,4.24,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_conservative_anchor,2502,95.76,94.635,4.24,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_explore_then_focus,2502,95.76,94.336,4.24,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_identity_stress_test,2502,95.76,94.635,4.24,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_reagent_bottleneck,2502,97.46,95.115,2.54,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_top_roles_focus,2502,92.86,92.806,7.14,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,2502,96.6,94.406,3.4,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,2502,92.77,92.77,7.23,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,2503,92.84,91.079,7.16,0,calibration,
real_chemlex_acidamine,gp_ucb,2503,86.97,86.97,13.03,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_amine_countertest,2503,100.0,96.091,0.0,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_anchored_multiscale,2503,100.0,96.091,0.0,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_balanced_evidence,2503,100.0,96.091,0.0,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_conservative_anchor,2503,92.84,91.666,7.16,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_explore_then_focus,2503,100.0,96.091,0.0,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_identity_stress_test,2503,86.97,86.97,13.03,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_reagent_bottleneck,2503,100.0,96.091,0.0,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_top_roles_focus,2503,100.0,96.091,0.0,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,2503,100.0,94.788,0.0,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,2503,100.0,93.485,0.0,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,2504,19.66,19.66,80.34,0,calibration,
real_chemlex_acidamine,gp_ucb,2504,19.66,19.66,80.34,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_amine_countertest,2504,19.66,19.66,80.34,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_anchored_multiscale,2504,19.66,19.66,80.34,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_balanced_evidence,2504,19.66,19.66,80.34,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_conservative_anchor,2504,19.66,19.66,80.34,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_explore_then_focus,2504,19.66,19.66,80.34,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_identity_stress_test,2504,19.66,19.66,80.34,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_reagent_bottleneck,2504,19.66,19.66,80.34,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_top_roles_focus,2504,19.66,19.66,80.34,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,2504,19.66,19.66,80.34,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,2504,19.66,19.66,80.34,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,2505,95.37,60.884,4.63,0,calibration,
real_chemlex_acidamine,gp_ucb,2505,95.37,80.009,4.63,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_amine_countertest,2505,57.06,53.241,42.94,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_anchored_multiscale,2505,57.06,55.224,42.94,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_balanced_evidence,2505,57.06,55.224,42.94,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_conservative_anchor,2505,95.9,88.069,4.1,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_explore_then_focus,2505,100.0,78.186,0.0,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_identity_stress_test,2505,95.95,90.557,4.05,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_reagent_bottleneck,2505,83.94,69.857,16.06,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_top_roles_focus,2505,57.06,54.783,42.94,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,2505,95.37,79.328,4.63,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,2505,95.37,83.048,4.63,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,2506,100.0,100.0,0.0,0,calibration,
real_chemlex_acidamine,gp_ucb,2506,100.0,100.0,0.0,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_amine_countertest,2506,100.0,100.0,0.0,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_anchored_multiscale,2506,100.0,100.0,0.0,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_balanced_evidence,2506,100.0,100.0,0.0,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_conservative_anchor,2506,100.0,100.0,0.0,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_explore_then_focus,2506,100.0,100.0,0.0,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_identity_stress_test,2506,100.0,100.0,0.0,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_reagent_bottleneck,2506,100.0,100.0,0.0,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_top_roles_focus,2506,100.0,100.0,0.0,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,2506,100.0,100.0,0.0,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,2506,100.0,100.0,0.0,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,2507,20.2,20.2,79.8,0,calibration,
real_chemlex_acidamine,gp_ucb,2507,20.2,20.2,79.8,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_amine_countertest,2507,20.2,20.2,79.8,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_anchored_multiscale,2507,37.79,30.754,62.21,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_balanced_evidence,2507,37.79,30.754,62.21,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_conservative_anchor,2507,34.75,28.93,65.25,0,calibration,
