dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9000,81.79,79.666,18.21,0,calibration,
real_chemlex_acidamine,gp_ucb,9000,98.59,92.488,1.41,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_exploration_patch_high_beta,9000,98.59,92.488,1.41,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,9000,98.59,92.488,1.41,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,9000,98.59,92.488,1.41,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9001,84.71,77.873,15.29,0,calibration,
real_chemlex_acidamine,gp_ucb,9001,93.43,80.887,6.57,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_exploration_patch_high_beta,9001,84.47,82.705,15.53,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,9001,96.13,82.945,3.87,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,9001,83.11,79.39,16.89,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9002,47.96,20.602,52.04,0,calibration,
real_chemlex_acidamine,gp_ucb,9002,47.96,20.602,52.04,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_exploration_patch_high_beta,9002,47.96,20.602,52.04,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,9002,47.96,20.602,52.04,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,9002,47.96,20.602,52.04,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9003,85.75,79.918,14.25,0,calibration,
real_chemlex_acidamine,gp_ucb,9003,90.29,81.185,9.71,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_exploration_patch_high_beta,9003,85.86,71.444,14.14,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,9003,97.66,82.915,2.34,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,9003,86.56,70.511,13.44,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9004,94.84,84.668,5.16,0,calibration,
real_chemlex_acidamine,gp_ucb,9004,94.84,84.668,5.16,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_exploration_patch_high_beta,9004,97.97,95.165,2.03,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,9004,97.97,95.165,2.03,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,9004,97.97,95.165,2.03,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9005,94.4,91.04,5.6,0,calibration,
real_chemlex_acidamine,gp_ucb,9005,94.4,92.16,5.6,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_exploration_patch_high_beta,9005,94.4,92.16,5.6,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,9005,94.4,90.522,5.6,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,9005,95.99,90.957,4.01,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9006,94.41,91.88,5.59,0,calibration,
real_chemlex_acidamine,gp_ucb,9006,94.57,91.896,5.43,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_exploration_patch_high_beta,9006,94.57,91.822,5.43,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,9006,94.41,91.88,5.59,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,9006,94.41,91.88,5.59,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9007,95.49,22.218,4.51,0,calibration,
real_chemlex_acidamine,gp_ucb,9007,6.24,4.368,93.76,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_exploration_patch_high_beta,9007,6.24,4.368,93.76,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,9007,6.24,4.368,93.76,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,9007,95.49,22.218,4.51,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9008,97.43,62.051,2.57,0,calibration,
real_chemlex_acidamine,gp_ucb,9008,69.39,31.478,30.61,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_exploration_patch_high_beta,9008,78.82,78.82,21.18,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,9008,100.0,63.192,0.0,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,9008,83.73,50.343,16.27,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9009,94.16,94.015,5.84,0,calibration,
real_chemlex_acidamine,gp_ucb,9009,100.0,97.777,0.0,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_exploration_patch_high_beta,9009,95.57,95.57,4.43,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,9009,100.0,96.935,0.0,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,9009,100.0,95.096,0.0,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9010,96.01,92.736,3.99,0,calibration,
real_chemlex_acidamine,gp_ucb,9010,92.51,92.006,7.49,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_exploration_patch_high_beta,9010,95.17,90.314,4.83,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,9010,96.01,93.434,3.99,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,9010,96.01,93.434,3.99,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9011,93.19,89.027,6.81,0,calibration,
real_chemlex_acidamine,gp_ucb,9011,87.13,87.13,12.87,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_exploration_patch_high_beta,9011,93.19,87.751,6.81,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,9011,93.19,90.303,6.81,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,9011,100.0,94.724,0.0,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9012,90.73,86.887,9.27,0,calibration,
real_chemlex_acidamine,gp_ucb,9012,100.0,87.814,0.0,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_exploration_patch_high_beta,9012,97.43,95.479,2.57,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,9012,97.43,93.528,2.57,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,9012,100.0,91.168,0.0,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9013,100.0,12.6,0.0,0,calibration,
real_chemlex_acidamine,gp_ucb,9013,100.0,12.6,0.0,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_exploration_patch_high_beta,9013,100.0,12.6,0.0,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,9013,100.0,12.6,0.0,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,9013,100.0,12.6,0.0,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9014,50.19,49.059,49.81,0,calibration,
real_chemlex_acidamine,gp_ucb,9014,81.09,56.417,18.91,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_exploration_patch_high_beta,9014,81.09,72.648,18.91,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,9014,81.09,72.648,18.91,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,9014,81.09,68.427,18.91,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9015,28.23,19.776,71.77,0,calibration,
real_chemlex_acidamine,gp_ucb,9015,100.0,49.132,0.0,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_exploration_patch_high_beta,9015,100.0,18.862,0.0,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,9015,77.71,42.781,22.29,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,9015,100.0,76.574,0.0,0,calibration,
real_chemlex_acidamine,fixed_scale_ensemble_0p5_1_1p5_2_3_4,9016,100.0,43.081,0.0,0,calibration,
real_chemlex_acidamine,gp_ucb,9016,100.0,36.574,0.0,0,calibration,
real_chemlex_acidamine,llm_evolved_kernel_exploration_patch_high_beta,9016,100.0,36.574,0.0,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,9016,100.0,36.574,0.0,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,9016,100.0,36.574,0.0,0,calibration,
