dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_chemlex_acidamine,gp_ucb,27000,97.32,97.32,2.68,0,calibration,
real_chemlex_acidamine,llambo_warmstart_minimize_nitrogen_content_in_acid_to_reduce_side_reactions,27000,73.08,39.808,26.92,0,calibration,
real_chemlex_acidamine,llm_direct_prior_minimize_nitrogen_content_in_acid_to_reduce_side_reactions,27000,97.32,97.32,2.68,0,calibration,
real_chemlex_acidamine,llm_semantic_minimize_nitrogen_content_in_acid_to_reduce_side_reactions,27000,97.32,97.32,2.68,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,27000,100.0,98.66,0.0,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,27000,97.32,97.32,2.68,0,calibration,
real_chemlex_acidamine,gp_ucb,27001,93.5,86.57,6.5,0,calibration,
real_chemlex_acidamine,llambo_warmstart_minimize_nitrogen_content_in_acid_to_reduce_side_reactions,27001,87.65,83.302,12.35,0,calibration,
real_chemlex_acidamine,llm_direct_prior_minimize_nitrogen_content_in_acid_to_reduce_side_reactions,27001,71.77,71.77,28.23,0,calibration,
real_chemlex_acidamine,llm_semantic_minimize_nitrogen_content_in_acid_to_reduce_side_reactions,27001,87.4,76.687,12.6,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,27001,87.55,75.406,12.45,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,27001,96.24,77.064,3.76,0,calibration,
real_chemlex_acidamine,gp_ucb,27002,69.1,63.063,30.9,0,calibration,
real_chemlex_acidamine,llambo_warmstart_minimize_nitrogen_content_in_acid_to_reduce_side_reactions,27002,88.93,88.93,11.07,0,calibration,
real_chemlex_acidamine,llm_direct_prior_minimize_nitrogen_content_in_acid_to_reduce_side_reactions,27002,81.36,70.326,18.64,0,calibration,
real_chemlex_acidamine,llm_semantic_minimize_nitrogen_content_in_acid_to_reduce_side_reactions,27002,28.77,16.746,71.23,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,27002,69.1,63.063,30.9,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,27002,69.1,63.063,30.9,0,calibration,
real_chemlex_acidamine,gp_ucb,27003,100.0,100.0,0.0,1,calibration,
real_chemlex_acidamine,llambo_warmstart_minimize_nitrogen_content_in_acid_to_reduce_side_reactions,27003,79.2,79.2,20.8,0,calibration,
real_chemlex_acidamine,llm_direct_prior_minimize_nitrogen_content_in_acid_to_reduce_side_reactions,27003,100.0,100.0,0.0,1,calibration,
real_chemlex_acidamine,llm_semantic_minimize_nitrogen_content_in_acid_to_reduce_side_reactions,27003,100.0,100.0,0.0,1,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,27003,100.0,100.0,0.0,1,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,27003,100.0,100.0,0.0,1,calibration,
real_chemlex_acidamine,gp_ucb,27004,100.0,93.384,0.0,0,calibration,
real_chemlex_acidamine,llambo_warmstart_minimize_nitrogen_content_in_acid_to_reduce_side_reactions,27004,100.0,100.0,0.0,0,calibration,
real_chemlex_acidamine,llm_direct_prior_minimize_nitrogen_content_in_acid_to_reduce_side_reactions,27004,93.19,93.19,6.81,0,calibration,
real_chemlex_acidamine,llm_semantic_minimize_nitrogen_content_in_acid_to_reduce_side_reactions,27004,100.0,91.1,0.0,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,27004,100.0,91.604,0.0,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,27004,95.0,87.824,5.0,0,calibration,
real_chemlex_acidamine,gp_ucb,27005,87.21,87.21,12.79,0,calibration,
real_chemlex_acidamine,llambo_warmstart_minimize_nitrogen_content_in_acid_to_reduce_side_reactions,27005,100.0,100.0,0.0,0,calibration,
real_chemlex_acidamine,llm_direct_prior_minimize_nitrogen_content_in_acid_to_reduce_side_reactions,27005,95.13,92.094,4.87,0,calibration,
real_chemlex_acidamine,llm_semantic_minimize_nitrogen_content_in_acid_to_reduce_side_reactions,27005,89.7,87.957,10.3,0,calibration,
real_chemlex_acidamine,mixed_kernel_gp_ei,27005,95.01,88.205,4.99,0,calibration,
real_chemlex_acidamine,target_acquisition_portfolio,27005,95.01,88.205,4.99,0,calibration,
real_chemlex_acidamine,gp_ucb,27006,87.65,86.06,12.35,0,calibration,
