dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_moleculenet_esol,gp_ucb,32000,95.2857,94.7428,1.7143,1,calibration,
real_moleculenet_esol,llambo_warmstart_counter_hypothesis_low_hbond_donors_conservative,32000,96.9286,87.5429,0.0714,1,calibration,
real_moleculenet_esol,llm_direct_prior_counter_hypothesis_low_hbond_donors_conservative,32000,96.9286,93.9143,0.0714,1,calibration,
real_moleculenet_esol,llm_semantic_counter_hypothesis_low_hbond_donors_conservative,32000,93.7143,92.8,3.2857,1,calibration,
real_moleculenet_esol,mixed_kernel_gp_ei,32000,93.7143,93.3714,3.2857,1,calibration,
real_moleculenet_esol,target_acquisition_portfolio,32000,93.7143,93.3714,3.2857,1,calibration,
real_moleculenet_esol,gp_ucb,32001,93.7143,93.1729,3.2857,1,calibration,
real_moleculenet_esol,llambo_warmstart_counter_hypothesis_low_hbond_donors_conservative,32001,91.3571,84.4857,5.6429,0,calibration,
real_moleculenet_esol,llm_direct_prior_counter_hypothesis_low_hbond_donors_conservative,32001,96.9286,91.0143,0.0714,1,calibration,
real_moleculenet_esol,llm_semantic_counter_hypothesis_low_hbond_donors_conservative,32001,93.7143,93.0586,3.2857,1,calibration,
real_moleculenet_esol,mixed_kernel_gp_ei,32001,93.7143,93.1729,3.2857,1,calibration,
real_moleculenet_esol,target_acquisition_portfolio,32001,93.7143,93.1729,3.2857,1,calibration,
real_moleculenet_esol,gp_ucb,32002,95.2857,95.2857,1.7143,1,calibration,
real_moleculenet_esol,llambo_warmstart_counter_hypothesis_low_hbond_donors_conservative,32002,96.9286,95.0286,0.0714,1,calibration,
real_moleculenet_esol,llm_direct_prior_counter_hypothesis_low_hbond_donors_conservative,32002,91.0,87.6714,6.0,0,calibration,
real_moleculenet_esol,llm_semantic_counter_hypothesis_low_hbond_donors_conservative,32002,95.2857,95.2857,1.7143,1,calibration,
real_moleculenet_esol,mixed_kernel_gp_ei,32002,95.2857,95.2857,1.7143,1,calibration,
real_moleculenet_esol,target_acquisition_portfolio,32002,95.2857,95.2857,1.7143,1,calibration,
real_moleculenet_esol,gp_ucb,32003,97.0,95.4571,0.0,1,calibration,
real_moleculenet_esol,llambo_warmstart_counter_hypothesis_low_hbond_donors_conservative,32003,93.7143,93.1357,3.2857,1,calibration,
real_moleculenet_esol,llm_direct_prior_counter_hypothesis_low_hbond_donors_conservative,32003,95.2857,93.9357,1.7143,1,calibration,
real_moleculenet_esol,llm_semantic_counter_hypothesis_low_hbond_donors_conservative,32003,96.9286,96.9286,0.0714,1,calibration,
