dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_buchwald_hartwig,gp_ucb,28000,97.5685,86.8757,2.4315,1,calibration,
real_buchwald_hartwig,llambo_warmstart_counter_source_acid_halide_reversal_noprior,28000,89.6142,78.5836,10.3858,0,calibration,
real_buchwald_hartwig,llm_direct_prior_counter_source_acid_halide_reversal_noprior,28000,97.5685,92.7547,2.4315,1,calibration,
real_buchwald_hartwig,llm_semantic_counter_source_acid_halide_reversal_noprior,28000,100.0,97.1068,0.0,1,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,28000,100.0,87.1189,0.0,1,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,28000,97.5685,89.1905,2.4315,1,calibration,
real_buchwald_hartwig,gp_ucb,28001,93.0995,73.3012,6.9005,0,calibration,
real_buchwald_hartwig,llambo_warmstart_counter_source_acid_halide_reversal_noprior,28001,89.6142,81.9575,10.3858,0,calibration,
real_buchwald_hartwig,llm_direct_prior_counter_source_acid_halide_reversal_noprior,28001,98.7313,98.7313,1.2687,1,calibration,
real_buchwald_hartwig,llm_semantic_counter_source_acid_halide_reversal_noprior,28001,93.4211,74.2202,6.5789,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,28001,93.0995,76.1949,6.9005,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,28001,93.0995,67.381,6.9005,0,calibration,
real_buchwald_hartwig,gp_ucb,28002,68.765,63.5581,31.235,0,calibration,
real_buchwald_hartwig,llambo_warmstart_counter_source_acid_halide_reversal_noprior,28002,100.0,94.3129,0.0,1,calibration,
real_buchwald_hartwig,llm_direct_prior_counter_source_acid_halide_reversal_noprior,28002,100.0,91.8882,0.0,1,calibration,
real_buchwald_hartwig,llm_semantic_counter_source_acid_halide_reversal_noprior,28002,77.6669,73.0434,22.3331,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,28002,91.3906,60.1513,8.6094,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,28002,86.6896,63.0455,13.3104,0,calibration,
real_buchwald_hartwig,gp_ucb,28003,91.3733,85.0004,8.6267,0,calibration,
real_buchwald_hartwig,llambo_warmstart_counter_source_acid_halide_reversal_noprior,28003,99.6191,94.4105,0.3809,1,calibration,
real_buchwald_hartwig,llm_direct_prior_counter_source_acid_halide_reversal_noprior,28003,100.0,89.3105,0.0,1,calibration,
real_buchwald_hartwig,llm_semantic_counter_source_acid_halide_reversal_noprior,28003,83.3036,72.8693,16.6964,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,28003,94.2969,85.8774,5.7031,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,28003,91.3733,84.1094,8.6267,0,calibration,
real_buchwald_hartwig,gp_ucb,28004,89.9742,81.4404,10.0258,0,calibration,
real_buchwald_hartwig,llambo_warmstart_counter_source_acid_halide_reversal_noprior,28004,94.8799,94.5063,5.1201,0,calibration,
real_buchwald_hartwig,llm_direct_prior_counter_source_acid_halide_reversal_noprior,28004,88.5139,74.9961,11.4861,0,calibration,
real_buchwald_hartwig,llm_semantic_counter_source_acid_halide_reversal_noprior,28004,83.9556,74.4298,16.0444,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,28004,89.9742,75.1219,10.0258,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,28004,89.9742,79.4788,10.0258,0,calibration,
real_buchwald_hartwig,gp_ucb,28005,93.5878,83.3823,6.4122,0,calibration,
real_buchwald_hartwig,llambo_warmstart_counter_source_acid_halide_reversal_noprior,28005,98.7313,88.3658,1.2687,1,calibration,
real_buchwald_hartwig,llm_direct_prior_counter_source_acid_halide_reversal_noprior,28005,93.4211,76.8614,6.5789,0,calibration,
real_buchwald_hartwig,llm_semantic_counter_source_acid_halide_reversal_noprior,28005,93.0289,72.7957,6.9711,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,28005,93.5878,83.3823,6.4122,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,28005,93.5878,83.3823,6.4122,0,calibration,
real_buchwald_hartwig,gp_ucb,28006,98.8492,95.6626,1.1508,1,calibration,
real_buchwald_hartwig,llambo_warmstart_counter_source_acid_halide_reversal_noprior,28006,93.5878,91.451,6.4122,0,calibration,
real_buchwald_hartwig,llm_direct_prior_counter_source_acid_halide_reversal_noprior,28006,94.2969,94.2969,5.7031,0,calibration,
real_buchwald_hartwig,llm_semantic_counter_source_acid_halide_reversal_noprior,28006,94.2969,94.2969,5.7031,0,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,28006,98.8492,95.6626,1.1508,1,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,28006,98.8492,95.6626,1.1508,1,calibration,
real_buchwald_hartwig,gp_ucb,28007,90.9905,90.9905,9.0095,0,calibration,
real_buchwald_hartwig,llambo_warmstart_counter_source_acid_halide_reversal_noprior,28007,85.1332,85.1332,14.8668,0,calibration,
real_buchwald_hartwig,llm_direct_prior_counter_source_acid_halide_reversal_noprior,28007,97.5685,97.5685,2.4315,1,calibration,
real_buchwald_hartwig,llm_semantic_counter_source_acid_halide_reversal_noprior,28007,97.5685,90.3973,2.4315,1,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,28007,90.9905,90.9905,9.0095,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,28007,90.9905,90.9905,9.0095,0,calibration,
real_buchwald_hartwig,gp_ucb,28008,95.7526,83.3232,4.2474,0,calibration,
real_buchwald_hartwig,llambo_warmstart_counter_source_acid_halide_reversal_noprior,28008,98.1771,96.7818,1.8229,1,calibration,
real_buchwald_hartwig,llm_direct_prior_counter_source_acid_halide_reversal_noprior,28008,88.5139,78.4776,11.4861,0,calibration,
real_buchwald_hartwig,llm_semantic_counter_source_acid_halide_reversal_noprior,28008,100.0,86.2758,0.0,1,calibration,
real_buchwald_hartwig,mixed_kernel_gp_ei,28008,95.7526,83.3232,4.2474,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,28008,95.7526,83.3232,4.2474,0,calibration,
