dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_buchwald_hartwig,gp_ucb,27000,78.224,72.2506,21.776,0,calibration,
real_buchwald_hartwig,llambo_warmstart_base_strength_solvent_polarity_domain,27000,92.659,84.319,7.341,0,calibration,
real_buchwald_hartwig,llambo_warmstart_base_strength_solvent_polarity_domain_conservative,27000,92.659,84.319,7.341,0,calibration,
real_buchwald_hartwig,llambo_warmstart_base_strength_solvent_polarity_domain_noprior,27000,92.659,84.319,7.341,0,calibration,
real_buchwald_hartwig,llambo_warmstart_counter_source_acid_halide_reversal,27000,99.6191,99.6191,0.3809,1,calibration,
real_buchwald_hartwig,llambo_warmstart_counter_source_acid_halide_reversal_conservative,27000,99.6191,99.6191,0.3809,1,calibration,
real_buchwald_hartwig,llambo_warmstart_counter_source_acid_halide_reversal_noprior,27000,99.6191,99.6191,0.3809,1,calibration,
real_buchwald_hartwig,llambo_warmstart_cross_skill_rule_bank,27000,97.2929,97.2929,2.7071,0,calibration,
real_buchwald_hartwig,llambo_warmstart_halide_reactivity_additive_suppression,27000,97.5685,82.635,2.4315,1,calibration,
real_buchwald_hartwig,llambo_warmstart_halide_reactivity_additive_suppression_conservative,27000,97.5685,82.635,2.4315,1,calibration,
real_buchwald_hartwig,llambo_warmstart_halide_reactivity_additive_suppression_noprior,27000,97.5685,82.635,2.4315,1,calibration,
real_buchwald_hartwig,llambo_warmstart_low_semantic_mass_anchor_heavy,27000,98.2872,65.4821,1.7128,1,calibration,
real_buchwald_hartwig,llambo_warmstart_low_semantic_mass_anchor_heavy_conservative,27000,98.2872,65.4821,1.7128,1,calibration,
real_buchwald_hartwig,llambo_warmstart_low_semantic_mass_anchor_heavy_noprior,27000,98.2872,65.4821,1.7128,1,calibration,
real_buchwald_hartwig,llambo_warmstart_mechanistic_heteroaromatic_halide_synergy,27000,92.1372,90.7935,7.8628,0,calibration,
real_buchwald_hartwig,llambo_warmstart_mechanistic_heteroaromatic_halide_synergy_conservative,27000,92.1372,90.7935,7.8628,0,calibration,
real_buchwald_hartwig,llambo_warmstart_mechanistic_heteroaromatic_halide_synergy_noprior,27000,92.1372,90.7935,7.8628,0,calibration,
