dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_matbench_dielectric,gp_ucb,27000,49.2242,48.8191,50.4212,0,calibration,
real_matbench_dielectric,llambo_warmstart_balanced_composition_high_mean_z,27000,46.5239,43.0784,53.1215,0,calibration,
real_matbench_dielectric,llambo_warmstart_balanced_composition_high_mean_z_conservative,27000,46.5239,43.0784,53.1215,0,calibration,
real_matbench_dielectric,llambo_warmstart_balanced_composition_high_mean_z_noprior,27000,46.5239,43.0784,53.1215,0,calibration,
real_matbench_dielectric,llambo_warmstart_complex_anion_mix_high_element_count,27000,49.8471,49.2037,49.7983,0,calibration,
real_matbench_dielectric,llambo_warmstart_complex_anion_mix_high_element_count_conservative,27000,49.8471,49.2037,49.7983,0,calibration,
real_matbench_dielectric,llambo_warmstart_complex_anion_mix_high_element_count_noprior,27000,49.8471,49.2037,49.7983,0,calibration,
real_matbench_dielectric,llambo_warmstart_concentrated_chalcogenide_no_lanthanide,27000,56.4702,47.2856,43.1752,0,calibration,
real_matbench_dielectric,llambo_warmstart_concentrated_chalcogenide_no_lanthanide_conservative,27000,56.4702,47.2856,43.1752,0,calibration,
real_matbench_dielectric,llambo_warmstart_concentrated_chalcogenide_no_lanthanide_noprior,27000,56.4702,47.2856,43.1752,0,calibration,
real_matbench_dielectric,llambo_warmstart_counter_hypothesis_transition_metal_beneficial,27000,85.1192,74.8683,14.5262,1,calibration,
real_matbench_dielectric,llambo_warmstart_counter_hypothesis_transition_metal_beneficial_conservative,27000,85.1192,74.8683,14.5262,1,calibration,
real_matbench_dielectric,llambo_warmstart_counter_hypothesis_transition_metal_beneficial_noprior,27000,85.1192,74.8683,14.5262,1,calibration,
real_matbench_dielectric,llambo_warmstart_cross_skill_rule_bank,27000,48.9279,44.4612,50.7175,0,calibration,
real_matbench_dielectric,llambo_warmstart_domain_knowledge_electron_density_optimization,27000,46.4276,45.9905,53.2178,0,calibration,
real_matbench_dielectric,llambo_warmstart_domain_knowledge_electron_density_optimization_conservative,27000,46.4276,45.9905,53.2178,0,calibration,
real_matbench_dielectric,llambo_warmstart_domain_knowledge_electron_density_optimization_noprior,27000,46.4276,45.9905,53.2178,0,calibration,
real_matbench_dielectric,llambo_warmstart_halide_pnictide_risk_low_index,27000,56.4702,56.4702,43.1752,0,calibration,
real_matbench_dielectric,llambo_warmstart_halide_pnictide_risk_low_index_conservative,27000,56.4702,56.4702,43.1752,0,calibration,
real_matbench_dielectric,llambo_warmstart_halide_pnictide_risk_low_index_noprior,27000,56.4702,56.4702,43.1752,0,calibration,
real_matbench_dielectric,llambo_warmstart_low_semantic_mass_conservative_anchor,27000,46.403,44.6122,53.2424,0,calibration,
real_matbench_dielectric,llambo_warmstart_low_semantic_mass_conservative_anchor_conservative,27000,46.403,44.6122,53.2424,0,calibration,
real_matbench_dielectric,llambo_warmstart_low_semantic_mass_conservative_anchor_noprior,27000,46.403,44.6122,53.2424,0,calibration,
real_matbench_dielectric,llambo_warmstart_oxide_chalcogen_favor_high_refractive_index,27000,66.6854,52.8967,32.96,0,calibration,
real_matbench_dielectric,llambo_warmstart_oxide_chalcogen_favor_high_refractive_index_conservative,27000,66.6854,52.8967,32.96,0,calibration,
real_matbench_dielectric,llambo_warmstart_oxide_chalcogen_favor_high_refractive_index_noprior,27000,66.6854,52.8967,32.96,0,calibration,
real_matbench_dielectric,llm_direct_prior_balanced_composition_high_mean_z,27000,45.1736,45.1736,54.4718,0,calibration,
real_matbench_dielectric,llm_direct_prior_balanced_composition_high_mean_z_conservative,27000,46.5239,45.5787,53.1215,0,calibration,
real_matbench_dielectric,llm_direct_prior_balanced_composition_high_mean_z_noprior,27000,45.1736,45.1736,54.4718,0,calibration,
real_matbench_dielectric,llm_direct_prior_complex_anion_mix_high_element_count,27000,46.5569,45.4503,53.0885,0,calibration,
real_matbench_dielectric,llm_direct_prior_complex_anion_mix_high_element_count_conservative,27000,46.5569,45.7269,53.0885,0,calibration,
real_matbench_dielectric,llm_direct_prior_complex_anion_mix_high_element_count_noprior,27000,46.5569,45.4503,53.0885,0,calibration,
real_matbench_dielectric,llm_direct_prior_concentrated_chalcogenide_no_lanthanide,27000,45.1736,45.1736,54.4718,0,calibration,
real_matbench_dielectric,llm_direct_prior_concentrated_chalcogenide_no_lanthanide_conservative,27000,49.8471,47.043,49.7983,0,calibration,
real_matbench_dielectric,llm_direct_prior_concentrated_chalcogenide_no_lanthanide_noprior,27000,45.1736,45.1736,54.4718,0,calibration,
real_matbench_dielectric,llm_direct_prior_counter_hypothesis_transition_metal_beneficial,27000,47.6541,47.6541,51.9913,0,calibration,
real_matbench_dielectric,llm_direct_prior_counter_hypothesis_transition_metal_beneficial_conservative,27000,54.8245,49.034,44.8209,0,calibration,
real_matbench_dielectric,llm_direct_prior_counter_hypothesis_transition_metal_beneficial_noprior,27000,47.6541,47.6541,51.9913,0,calibration,
real_matbench_dielectric,llm_direct_prior_cross_skill_rule_bank,27000,45.5754,45.5352,54.07,0,calibration,
real_matbench_dielectric,llm_direct_prior_domain_knowledge_electron_density_optimization,27000,46.5569,45.7269,53.0885,0,calibration,
real_matbench_dielectric,llm_direct_prior_domain_knowledge_electron_density_optimization_conservative,27000,46.5569,46.5569,53.0885,0,calibration,
real_matbench_dielectric,llm_direct_prior_domain_knowledge_electron_density_optimization_noprior,27000,46.5569,45.7269,53.0885,0,calibration,
real_matbench_dielectric,llm_direct_prior_halide_pnictide_risk_low_index,27000,46.5569,45.5886,53.0885,0,calibration,
real_matbench_dielectric,llm_direct_prior_halide_pnictide_risk_low_index_conservative,27000,46.5569,45.4503,53.0885,0,calibration,
real_matbench_dielectric,llm_direct_prior_halide_pnictide_risk_low_index_noprior,27000,46.5569,45.5886,53.0885,0,calibration,
real_matbench_dielectric,llm_direct_prior_low_semantic_mass_conservative_anchor,27000,45.1736,45.1736,54.4718,0,calibration,
real_matbench_dielectric,llm_direct_prior_low_semantic_mass_conservative_anchor_conservative,27000,45.1736,45.1736,54.4718,0,calibration,
real_matbench_dielectric,llm_direct_prior_low_semantic_mass_conservative_anchor_noprior,27000,45.1736,45.1736,54.4718,0,calibration,
real_matbench_dielectric,llm_direct_prior_oxide_chalcogen_favor_high_refractive_index,27000,45.1736,45.1736,54.4718,0,calibration,
