dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_moleculenet_freesolv,gp_ucb,28000,76.8667,68.46,23.1333,1,calibration,
real_moleculenet_freesolv,llambo_warmstart_balanced_feature_interaction_noprior,28000,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,llm_direct_prior_balanced_feature_interaction_noprior,28000,48.1667,48.1667,51.8333,0,calibration,
real_moleculenet_freesolv,llm_semantic_balanced_feature_interaction_noprior,28000,71.4333,55.3333,28.5667,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,28000,76.8667,68.46,23.1333,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,28000,71.4333,67.2866,28.5667,1,calibration,
real_moleculenet_freesolv,gp_ucb,28001,50.0,50.0,50.0,0,calibration,
real_moleculenet_freesolv,llambo_warmstart_balanced_feature_interaction_noprior,28001,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,llm_direct_prior_balanced_feature_interaction_noprior,28001,50.0,50.0,50.0,0,calibration,
real_moleculenet_freesolv,llm_semantic_balanced_feature_interaction_noprior,28001,50.0,50.0,50.0,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,28001,50.0,50.0,50.0,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,28001,50.0,50.0,50.0,0,calibration,
real_moleculenet_freesolv,gp_ucb,28002,53.3333,48.64,46.6667,0,calibration,
real_moleculenet_freesolv,llambo_warmstart_balanced_feature_interaction_noprior,28002,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,llm_direct_prior_balanced_feature_interaction_noprior,28002,47.6333,43.8233,52.3667,0,calibration,
real_moleculenet_freesolv,llm_semantic_balanced_feature_interaction_noprior,28002,52.1333,48.0833,47.8667,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,28002,53.3333,48.64,46.6667,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,28002,100.0,48.98,0.0,1,calibration,
real_moleculenet_freesolv,gp_ucb,28003,56.1667,47.3467,43.8333,0,calibration,
real_moleculenet_freesolv,llambo_warmstart_balanced_feature_interaction_noprior,28003,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,llm_direct_prior_balanced_feature_interaction_noprior,28003,42.5667,41.5534,57.4333,0,calibration,
real_moleculenet_freesolv,llm_semantic_balanced_feature_interaction_noprior,28003,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,28003,64.0333,49.5633,35.9667,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,28003,64.0333,49.5633,35.9667,0,calibration,
real_moleculenet_freesolv,gp_ucb,28004,71.4333,52.69,28.5667,1,calibration,
real_moleculenet_freesolv,llambo_warmstart_balanced_feature_interaction_noprior,28004,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,llm_direct_prior_balanced_feature_interaction_noprior,28004,47.6667,43.8767,52.3333,0,calibration,
real_moleculenet_freesolv,llm_semantic_balanced_feature_interaction_noprior,28004,52.1333,46.7833,47.8667,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,28004,49.2,49.2,50.8,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,28004,71.4333,59.9833,28.5667,1,calibration,
real_moleculenet_freesolv,gp_ucb,28005,45.6667,39.5133,54.3333,0,calibration,
real_moleculenet_freesolv,llambo_warmstart_balanced_feature_interaction_noprior,28005,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,llm_direct_prior_balanced_feature_interaction_noprior,28005,42.5667,39.3967,57.4333,0,calibration,
real_moleculenet_freesolv,llm_semantic_balanced_feature_interaction_noprior,28005,47.6667,45.7933,52.3333,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,28005,50.7333,39.6733,49.2667,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,28005,48.3667,39.4367,51.6333,0,calibration,
real_moleculenet_freesolv,gp_ucb,28006,52.1333,48.84,47.8667,0,calibration,
real_moleculenet_freesolv,llambo_warmstart_balanced_feature_interaction_noprior,28006,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,llm_direct_prior_balanced_feature_interaction_noprior,28006,47.6333,43.8867,52.3667,0,calibration,
real_moleculenet_freesolv,llm_semantic_balanced_feature_interaction_noprior,28006,47.9,43.1,52.1,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,28006,69.4333,54.86,30.5667,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,28006,79.0667,56.5767,20.9333,1,calibration,
