dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_moleculenet_freesolv,gp_ucb,28000,76.8667,68.46,23.1333,1,calibration,
real_moleculenet_freesolv,llambo_warmstart_polar_surface_optimizer_noprior,28000,64.0333,61.2466,35.9667,0,calibration,
real_moleculenet_freesolv,llm_direct_prior_polar_surface_optimizer_noprior,28000,77.2333,75.0967,22.7667,1,calibration,
real_moleculenet_freesolv,llm_semantic_polar_surface_optimizer_noprior,28000,58.8,55.61,41.2,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,28000,76.8667,68.46,23.1333,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,28000,71.4333,67.2866,28.5667,1,calibration,
real_moleculenet_freesolv,gp_ucb,28001,50.0,50.0,50.0,0,calibration,
real_moleculenet_freesolv,llambo_warmstart_polar_surface_optimizer_noprior,28001,64.0333,61.2466,35.9667,0,calibration,
real_moleculenet_freesolv,llm_direct_prior_polar_surface_optimizer_noprior,28001,50.0,50.0,50.0,0,calibration,
real_moleculenet_freesolv,llm_semantic_polar_surface_optimizer_noprior,28001,50.0,50.0,50.0,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,28001,50.0,50.0,50.0,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,28001,50.0,50.0,50.0,0,calibration,
real_moleculenet_freesolv,gp_ucb,28002,53.3333,48.64,46.6667,0,calibration,
real_moleculenet_freesolv,llambo_warmstart_polar_surface_optimizer_noprior,28002,76.8667,76.8667,23.1333,1,calibration,
real_moleculenet_freesolv,llm_direct_prior_polar_surface_optimizer_noprior,28002,100.0,81.73,0.0,1,calibration,
real_moleculenet_freesolv,llm_semantic_polar_surface_optimizer_noprior,28002,100.0,81.04,0.0,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,28002,53.3333,48.64,46.6667,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,28002,100.0,48.98,0.0,1,calibration,
real_moleculenet_freesolv,gp_ucb,28003,56.1667,47.3467,43.8333,0,calibration,
real_moleculenet_freesolv,llambo_warmstart_polar_surface_optimizer_noprior,28003,64.0333,61.49,35.9667,0,calibration,
real_moleculenet_freesolv,llm_direct_prior_polar_surface_optimizer_noprior,28003,59.1333,56.98,40.8667,0,calibration,
real_moleculenet_freesolv,llm_semantic_polar_surface_optimizer_noprior,28003,100.0,87.7867,0.0,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,28003,64.0333,49.5633,35.9667,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,28003,64.0333,49.5633,35.9667,0,calibration,
real_moleculenet_freesolv,gp_ucb,28004,71.4333,52.69,28.5667,1,calibration,
real_moleculenet_freesolv,llambo_warmstart_polar_surface_optimizer_noprior,28004,71.4333,63.0866,28.5667,1,calibration,
real_moleculenet_freesolv,llm_direct_prior_polar_surface_optimizer_noprior,28004,100.0,61.8433,0.0,1,calibration,
real_moleculenet_freesolv,llm_semantic_polar_surface_optimizer_noprior,28004,50.1,49.8933,49.9,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,28004,49.2,49.2,50.8,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,28004,71.4333,59.9833,28.5667,1,calibration,
real_moleculenet_freesolv,gp_ucb,28005,45.6667,39.5133,54.3333,0,calibration,
real_moleculenet_freesolv,llambo_warmstart_polar_surface_optimizer_noprior,28005,64.0333,63.51,35.9667,0,calibration,
real_moleculenet_freesolv,llm_direct_prior_polar_surface_optimizer_noprior,28005,58.8,42.95,41.2,0,calibration,
real_moleculenet_freesolv,llm_semantic_polar_surface_optimizer_noprior,28005,50.1,42.7633,49.9,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,28005,50.7333,39.6733,49.2667,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,28005,48.3667,39.4367,51.6333,0,calibration,
real_moleculenet_freesolv,gp_ucb,28006,52.1333,48.84,47.8667,0,calibration,
real_moleculenet_freesolv,llambo_warmstart_polar_surface_optimizer_noprior,28006,53.8,51.7033,46.2,0,calibration,
real_moleculenet_freesolv,llm_direct_prior_polar_surface_optimizer_noprior,28006,53.3667,46.2367,46.6333,0,calibration,
real_moleculenet_freesolv,llm_semantic_polar_surface_optimizer_noprior,28006,71.4333,61.1867,28.5667,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,28006,69.4333,54.86,30.5667,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,28006,79.0667,56.5767,20.9333,1,calibration,
real_moleculenet_freesolv,gp_ucb,28007,42.1,41.3133,57.9,0,calibration,
real_moleculenet_freesolv,llambo_warmstart_polar_surface_optimizer_noprior,28007,69.4333,65.6,30.5667,1,calibration,
real_moleculenet_freesolv,llm_direct_prior_polar_surface_optimizer_noprior,28007,76.8667,76.8667,23.1333,1,calibration,
real_moleculenet_freesolv,llm_semantic_polar_surface_optimizer_noprior,28007,71.4333,59.7733,28.5667,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,28007,42.1,41.3133,57.9,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,28007,50.7,44.7533,49.3,0,calibration,
real_moleculenet_freesolv,gp_ucb,28008,75.8,56.67,24.2,1,calibration,
real_moleculenet_freesolv,llambo_warmstart_polar_surface_optimizer_noprior,28008,50.0,50.0,50.0,0,calibration,
real_moleculenet_freesolv,llm_direct_prior_polar_surface_optimizer_noprior,28008,100.0,79.4,0.0,1,calibration,
real_moleculenet_freesolv,llm_semantic_polar_surface_optimizer_noprior,28008,58.8,57.13,41.2,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,28008,42.1,42.1,57.9,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,28008,42.1,42.1,57.9,0,calibration,
real_moleculenet_freesolv,gp_ucb,28009,40.9667,40.1367,59.0333,0,calibration,
real_moleculenet_freesolv,llambo_warmstart_polar_surface_optimizer_noprior,28009,79.0667,71.8467,20.9333,1,calibration,
real_moleculenet_freesolv,llm_direct_prior_polar_surface_optimizer_noprior,28009,100.0,98.62,0.0,1,calibration,
real_moleculenet_freesolv,llm_semantic_polar_surface_optimizer_noprior,28009,100.0,76.28,0.0,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,28009,40.9667,40.1367,59.0333,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,28009,43.2667,39.81,56.7333,0,calibration,
real_moleculenet_freesolv,gp_ucb,28010,71.4333,67.2866,28.5667,1,calibration,
real_moleculenet_freesolv,llambo_warmstart_polar_surface_optimizer_noprior,28010,64.0333,61.2466,35.9667,0,calibration,
real_moleculenet_freesolv,llm_direct_prior_polar_surface_optimizer_noprior,28010,100.0,79.4,0.0,1,calibration,
real_moleculenet_freesolv,llm_semantic_polar_surface_optimizer_noprior,28010,58.8,57.7633,41.2,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,28010,71.4333,67.2866,28.5667,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,28010,71.4333,67.2866,28.5667,1,calibration,
real_moleculenet_freesolv,gp_ucb,28011,100.0,91.55,0.0,1,calibration,
real_moleculenet_freesolv,llambo_warmstart_polar_surface_optimizer_noprior,28011,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,llm_direct_prior_polar_surface_optimizer_noprior,28011,100.0,98.62,0.0,1,calibration,
real_moleculenet_freesolv,llm_semantic_polar_surface_optimizer_noprior,28011,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,28011,100.0,91.55,0.0,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,28011,100.0,91.55,0.0,1,calibration,
real_moleculenet_freesolv,gp_ucb,28012,100.0,59.0134,0.0,1,calibration,
real_moleculenet_freesolv,llambo_warmstart_polar_surface_optimizer_noprior,28012,59.1333,59.1333,40.8667,0,calibration,
real_moleculenet_freesolv,llm_direct_prior_polar_surface_optimizer_noprior,28012,76.8667,76.8667,23.1333,1,calibration,
real_moleculenet_freesolv,llm_semantic_polar_surface_optimizer_noprior,28012,100.0,59.8,0.0,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,28012,100.0,53.89,0.0,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,28012,77.2333,54.27,22.7667,1,calibration,
real_moleculenet_freesolv,gp_ucb,28013,50.2667,50.2667,49.7333,0,calibration,
real_moleculenet_freesolv,llambo_warmstart_polar_surface_optimizer_noprior,28013,79.0667,67.74,20.9333,1,calibration,
real_moleculenet_freesolv,llm_direct_prior_polar_surface_optimizer_noprior,28013,100.0,56.0934,0.0,1,calibration,
real_moleculenet_freesolv,llm_semantic_polar_surface_optimizer_noprior,28013,59.1333,55.5867,40.8667,0,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,28013,50.2667,50.2667,49.7333,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,28013,50.2667,50.2667,49.7333,0,calibration,
real_moleculenet_freesolv,gp_ucb,28014,73.0667,48.7334,26.9333,1,calibration,
real_moleculenet_freesolv,llambo_warmstart_polar_surface_optimizer_noprior,28014,64.0333,61.2466,35.9667,0,calibration,
real_moleculenet_freesolv,llm_direct_prior_polar_surface_optimizer_noprior,28014,100.0,48.65,0.0,1,calibration,
real_moleculenet_freesolv,llm_semantic_polar_surface_optimizer_noprior,28014,69.4333,47.15,30.5667,1,calibration,
real_moleculenet_freesolv,mixed_kernel_gp_ei,28014,42.1,41.22,57.9,0,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,28014,42.1,41.22,57.9,0,calibration,
