dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40000,65.5909,63.3874,34.4091,0,calibration,
real_buchwald_hartwig,gp_ucb,40000,89.3231,65.9254,10.6769,0,calibration,
real_buchwald_hartwig,llm_transfer_router,40000,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,matched_target_only_llm,40000,89.3231,65.9254,10.6769,0,calibration,gp_ucb
real_buchwald_hartwig,mixed_kernel_gp_ei,40000,88.5139,65.7356,11.4861,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,40000,84.6498,71.1232,15.3502,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40001,93.4211,92.3786,6.5789,0,calibration,
real_buchwald_hartwig,gp_ucb,40001,97.2929,95.2835,2.7071,0,calibration,
real_buchwald_hartwig,llm_transfer_router,40001,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,matched_target_only_llm,40001,97.2929,95.2835,2.7071,0,calibration,gp_ucb
real_buchwald_hartwig,mixed_kernel_gp_ei,40001,94.5498,84.0606,5.4502,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,40001,94.6911,83.6074,5.3089,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40002,87.2375,51.4143,12.7625,0,calibration,
real_buchwald_hartwig,gp_ucb,40002,86.7621,48.4343,13.2379,0,calibration,
real_buchwald_hartwig,llm_transfer_router,40002,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,matched_target_only_llm,40002,86.7621,48.4343,13.2379,0,calibration,gp_ucb
real_buchwald_hartwig,mixed_kernel_gp_ei,40002,86.7621,53.1324,13.2379,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,40002,64.6404,37.7273,35.3596,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40003,97.2929,82.653,2.7071,0,calibration,
real_buchwald_hartwig,gp_ucb,40003,93.3108,83.3458,6.6892,0,calibration,
real_buchwald_hartwig,llm_transfer_router,40003,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,matched_target_only_llm,40003,93.3108,83.3458,6.6892,0,calibration,gp_ucb
real_buchwald_hartwig,mixed_kernel_gp_ei,40003,89.5866,79.8355,10.4134,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,40003,95.129,82.7062,4.871,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40004,94.8799,76.2931,5.1201,0,calibration,
real_buchwald_hartwig,gp_ucb,40004,95.129,68.1004,4.871,0,calibration,
real_buchwald_hartwig,llm_transfer_router,40004,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,matched_target_only_llm,40004,95.129,68.1004,4.871,0,calibration,gp_ucb
real_buchwald_hartwig,mixed_kernel_gp_ei,40004,93.1012,86.1193,6.8988,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,40004,94.3462,57.7639,5.6538,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40005,86.5976,63.9911,13.4024,0,calibration,
real_buchwald_hartwig,gp_ucb,40005,99.0345,71.149,0.9655,1,calibration,
real_buchwald_hartwig,llm_transfer_router,40005,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,matched_target_only_llm,40005,99.0345,71.149,0.9655,1,calibration,gp_ucb
real_buchwald_hartwig,mixed_kernel_gp_ei,40005,79.7398,57.3178,20.2602,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,40005,97.948,76.3195,2.052,1,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40006,92.2093,87.3426,7.7907,0,calibration,
real_buchwald_hartwig,gp_ucb,40006,89.9742,88.0727,10.0258,0,calibration,
real_buchwald_hartwig,llm_transfer_router,40006,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,matched_target_only_llm,40006,89.9742,88.0727,10.0258,0,calibration,gp_ucb
real_buchwald_hartwig,mixed_kernel_gp_ei,40006,93.5641,88.2168,6.4359,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,40006,92.127,88.773,7.873,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40007,98.1771,92.0508,1.8229,1,calibration,
real_buchwald_hartwig,gp_ucb,40007,90.3173,82.9375,9.6827,0,calibration,
real_buchwald_hartwig,llm_transfer_router,40007,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,matched_target_only_llm,40007,90.3173,82.9375,9.6827,0,calibration,gp_ucb
real_buchwald_hartwig,mixed_kernel_gp_ei,40007,99.6191,94.7012,0.3809,1,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,40007,100.0,84.284,0.0,1,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40008,98.8492,73.5522,1.1508,1,calibration,
real_buchwald_hartwig,gp_ucb,40008,89.3231,83.8387,10.6769,0,calibration,
real_buchwald_hartwig,llm_transfer_router,40008,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,matched_target_only_llm,40008,89.3231,83.8387,10.6769,0,calibration,gp_ucb
real_buchwald_hartwig,mixed_kernel_gp_ei,40008,89.5592,81.5496,10.4408,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,40008,88.4449,66.403,11.5551,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40009,93.0289,79.8312,6.9711,0,calibration,
real_buchwald_hartwig,gp_ucb,40009,98.7313,80.6067,1.2687,1,calibration,
real_buchwald_hartwig,llm_transfer_router,40009,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,matched_target_only_llm,40009,98.7313,80.6067,1.2687,1,calibration,gp_ucb
real_buchwald_hartwig,mixed_kernel_gp_ei,40009,98.7313,80.6067,1.2687,1,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,40009,98.7313,83.779,1.2687,1,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40010,93.5878,78.2455,6.4122,0,calibration,
real_buchwald_hartwig,gp_ucb,40010,93.5878,86.4136,6.4122,0,calibration,
real_buchwald_hartwig,llm_transfer_router,40010,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,matched_target_only_llm,40010,93.5878,86.4136,6.4122,0,calibration,gp_ucb
real_buchwald_hartwig,mixed_kernel_gp_ei,40010,93.5878,81.6353,6.4122,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,40010,93.5878,68.9772,6.4122,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40011,93.5641,60.8806,6.4359,0,calibration,
real_buchwald_hartwig,gp_ucb,40011,62.5387,60.6101,37.4613,0,calibration,
real_buchwald_hartwig,llm_transfer_router,40011,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,matched_target_only_llm,40011,62.5387,60.6101,37.4613,0,calibration,gp_ucb
real_buchwald_hartwig,mixed_kernel_gp_ei,40011,86.8997,59.9187,13.1003,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,40011,62.4073,46.5072,37.5927,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40012,98.8492,72.3909,1.1508,1,calibration,
real_buchwald_hartwig,gp_ucb,40012,95.3865,77.7709,4.6135,0,calibration,
real_buchwald_hartwig,llm_transfer_router,40012,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,matched_target_only_llm,40012,95.3865,77.7709,4.6135,0,calibration,gp_ucb
real_buchwald_hartwig,mixed_kernel_gp_ei,40012,95.3865,78.5066,4.6135,0,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,40012,95.3865,79.7906,4.6135,0,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40013,88.1675,58.6221,11.8325,0,calibration,
real_buchwald_hartwig,gp_ucb,40013,98.2872,66.0841,1.7128,1,calibration,
real_buchwald_hartwig,llm_transfer_router,40013,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,matched_target_only_llm,40013,98.2872,66.0841,1.7128,1,calibration,gp_ucb
real_buchwald_hartwig,mixed_kernel_gp_ei,40013,98.2872,63.5972,1.7128,1,calibration,
