dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40000,46.0,33.7692,54.0,0,calibration,
real_matbench_expt_gap,gp_ucb,40000,70.625,57.125,29.375,0,calibration,
real_matbench_expt_gap,llm_transfer_router,40000,100.0,98.8462,0.0,1,calibration,
real_matbench_expt_gap,matched_target_only_llm,40000,100.0,95.9615,0.0,1,calibration,llm_semantic_high_element_count
real_matbench_expt_gap,mixed_kernel_gp_ei,40000,46.0,33.7692,54.0,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,40000,70.625,57.125,29.375,0,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40001,100.0,24.7596,0.0,1,calibration,
real_matbench_expt_gap,gp_ucb,40001,63.75,32.5673,36.25,0,calibration,
real_matbench_expt_gap,llm_transfer_router,40001,100.0,98.8462,0.0,1,calibration,
real_matbench_expt_gap,matched_target_only_llm,40001,63.75,32.6923,36.25,0,calibration,llm_semantic_high_element_count
real_matbench_expt_gap,mixed_kernel_gp_ei,40001,63.75,33.8173,36.25,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,40001,52.5,27.7596,47.5,0,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40002,40.75,40.2885,59.25,0,calibration,
real_matbench_expt_gap,gp_ucb,40002,75.0,54.6827,25.0,0,calibration,
real_matbench_expt_gap,llm_transfer_router,40002,100.0,98.8462,0.0,1,calibration,
real_matbench_expt_gap,matched_target_only_llm,40002,100.0,100.0,0.0,1,calibration,llm_semantic_high_element_count
real_matbench_expt_gap,mixed_kernel_gp_ei,40002,100.0,62.375,0.0,1,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,40002,100.0,62.375,0.0,1,calibration,
