dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40000,43.4727,41.9349,56.1727,0,calibration,
real_matbench_dielectric,gp_ucb,40000,48.7857,41.8492,50.8597,0,calibration,
real_matbench_dielectric,llm_transfer_router,40000,49.2688,49.2688,50.3766,0,calibration,
real_matbench_dielectric,matched_target_only_llm,40000,42.9941,42.1867,56.6513,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,40000,48.7857,40.6399,50.8597,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,40000,48.7857,45.5052,50.8597,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40001,40.6927,38.2736,58.9527,0,calibration,
real_matbench_dielectric,gp_ucb,40001,40.3426,38.2366,59.3028,0,calibration,
real_matbench_dielectric,llm_transfer_router,40001,79.1231,46.6377,20.5223,1,calibration,
real_matbench_dielectric,matched_target_only_llm,40001,79.1231,56.2654,20.5223,1,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,40001,40.6927,38.2736,58.9527,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,40001,40.6927,38.2056,58.9527,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40002,48.9279,44.6129,50.7175,0,calibration,
real_matbench_dielectric,gp_ucb,40002,53.6503,51.6271,45.9951,0,calibration,
real_matbench_dielectric,llm_transfer_router,40002,61.1299,59.3703,38.5155,0,calibration,
real_matbench_dielectric,matched_target_only_llm,40002,44.0772,43.5885,55.5682,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,40002,56.4702,53.4847,43.1752,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,40002,56.4702,50.0022,43.1752,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40003,48.7857,41.2484,50.8597,0,calibration,
real_matbench_dielectric,gp_ucb,40003,38.2578,36.1992,61.3876,0,calibration,
real_matbench_dielectric,llm_transfer_router,40003,43.4145,43.1261,56.2309,0,calibration,
real_matbench_dielectric,matched_target_only_llm,40003,43.4145,43.1261,56.2309,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,40003,34.2723,34.1537,65.3731,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,40003,59.5114,38.1026,40.134,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40004,48.7857,47.1178,50.8597,0,calibration,
real_matbench_dielectric,gp_ucb,40004,48.7857,46.6413,50.8597,0,calibration,
real_matbench_dielectric,llm_transfer_router,40004,46.403,46.403,53.2424,0,calibration,
real_matbench_dielectric,matched_target_only_llm,40004,47.6541,46.7783,51.9913,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,40004,48.7857,47.1178,50.8597,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,40004,48.7857,47.1178,50.8597,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40005,79.1231,69.1404,20.5223,1,calibration,
real_matbench_dielectric,gp_ucb,40005,46.403,46.0141,53.2424,0,calibration,
real_matbench_dielectric,llm_transfer_router,40005,43.1496,43.0776,56.4958,0,calibration,
real_matbench_dielectric,matched_target_only_llm,40005,43.1496,43.0956,56.4958,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,40005,46.403,46.0141,53.2424,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,40005,79.1231,72.468,20.5223,1,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40006,47.6419,46.9464,52.0035,0,calibration,
real_matbench_dielectric,gp_ucb,40006,60.176,47.334,39.4694,0,calibration,
real_matbench_dielectric,llm_transfer_router,40006,43.1496,43.0403,56.4958,0,calibration,
real_matbench_dielectric,matched_target_only_llm,40006,43.1496,43.0403,56.4958,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,40006,60.176,47.334,39.4694,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,40006,60.176,47.334,39.4694,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40007,60.1781,60.1781,39.4673,0,calibration,
real_matbench_dielectric,gp_ucb,40007,60.1781,60.1781,39.4673,0,calibration,
real_matbench_dielectric,llm_transfer_router,40007,42.4533,42.4533,57.1921,0,calibration,
real_matbench_dielectric,matched_target_only_llm,40007,60.1781,60.1781,39.4673,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,40007,60.1781,60.1781,39.4673,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,40007,60.1781,60.1781,39.4673,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,40008,48.9279,42.9294,50.7175,0,calibration,
real_matbench_dielectric,gp_ucb,40008,46.403,41.3708,53.2424,0,calibration,
real_matbench_dielectric,llm_transfer_router,40008,42.2441,40.7015,57.4013,0,calibration,
real_matbench_dielectric,matched_target_only_llm,40008,42.2441,40.8109,57.4013,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,40008,44.4763,40.0909,55.1691,0,calibration,
