best_so_far_auc,dataset,final_best,mode,seed,simple_regret,top10_hit
58.6173,real_moleculenet_freesolv_continuous,61.254,gp_ucb,44000,37.1061,0
73.4836,real_moleculenet_freesolv_continuous,76.888,llm_direct_prior_branching_effect_on_solubility,44000,21.4721,0
72.4283,real_moleculenet_freesolv_continuous,76.888,llm_direct_prior_double_bond_restriction,44000,21.4721,0
73.4836,real_moleculenet_freesolv_continuous,76.888,llm_direct_prior_hydrogen_bonding_effect,44000,21.4721,0
74.0311,real_moleculenet_freesolv_continuous,89.7154,llm_direct_prior_random_rule_r1_branching_effect_on_solubility,44000,8.6447,1
72.4283,real_moleculenet_freesolv_continuous,76.888,llm_direct_prior_random_rule_r1_double_bond_restriction,44000,21.4721,0
72.4283,real_moleculenet_freesolv_continuous,76.888,llm_direct_prior_random_rule_r1_hydrogen_bonding_effect,44000,21.4721,0
73.4836,real_moleculenet_freesolv_continuous,76.888,llm_direct_prior_random_rule_r1_ring_structure_influence,44000,21.4721,0
73.4836,real_moleculenet_freesolv_continuous,76.888,llm_direct_prior_random_rule_r2_branching_effect_on_solubility,44000,21.4721,0
63.7895,real_moleculenet_freesolv_continuous,71.7075,llm_direct_prior_random_rule_r2_double_bond_restriction,44000,26.6526,0
73.4836,real_moleculenet_freesolv_continuous,76.888,llm_direct_prior_random_rule_r2_hydrogen_bonding_effect,44000,21.4721,0
70.9274,real_moleculenet_freesolv_continuous,76.888,llm_direct_prior_random_rule_r2_ring_structure_influence,44000,21.4721,0
72.4283,real_moleculenet_freesolv_continuous,76.888,llm_direct_prior_random_rule_r3_branching_effect_on_solubility,44000,21.4721,0
72.4283,real_moleculenet_freesolv_continuous,76.888,llm_direct_prior_random_rule_r3_double_bond_restriction,44000,21.4721,0
72.4283,real_moleculenet_freesolv_continuous,76.888,llm_direct_prior_random_rule_r3_hydrogen_bonding_effect,44000,21.4721,0
66.7041,real_moleculenet_freesolv_continuous,76.888,llm_direct_prior_random_rule_r3_ring_structure_influence,44000,21.4721,0
73.4836,real_moleculenet_freesolv_continuous,76.888,llm_direct_prior_ring_structure_influence,44000,21.4721,0
55.7413,real_moleculenet_freesolv_continuous,64.4741,mixed_kernel_gp_ei,44000,33.886,0
89.0123,real_moleculenet_freesolv_continuous,89.0123,gp_ucb,44001,9.3478,0
89.6719,real_moleculenet_freesolv_continuous,90.7711,llm_direct_prior_branching_effect_on_solubility,44001,7.589,1
90.1116,real_moleculenet_freesolv_continuous,90.7711,llm_direct_prior_double_bond_restriction,44001,7.589,1
92.7656,real_moleculenet_freesolv_continuous,93.3018,llm_direct_prior_hydrogen_bonding_effect,44001,5.0583,1
89.7154,real_moleculenet_freesolv_continuous,89.7154,llm_direct_prior_random_rule_r1_branching_effect_on_solubility,44001,8.6447,1
