best_so_far_auc,dataset,final_best,mode,seed,simple_regret,top10_hit
81.9062,real_moleculenet_lipophilicity,88.625,gp_ucb,45000,5.125,0
79.875,real_moleculenet_lipophilicity,79.875,llm_direct_prior_branching_effect_on_lipophilicity,45000,13.875,0
81.5156,real_moleculenet_lipophilicity,81.75,llm_direct_prior_counter_hypothesis_on_heteroatom_influence,45000,12.0,0
79.875,real_moleculenet_lipophilicity,79.875,llm_direct_prior_domain_knowledge_on_ring_structure_effects,45000,13.875,0
85.7188,real_moleculenet_lipophilicity,87.375,llm_direct_prior_impact_of_halogen_substitution_on_lipophilicity,45000,6.375,0
83.6875,real_moleculenet_lipophilicity,87.5,llm_direct_prior_lipophilicity_influence_of_aromatic_structure,45000,6.25,0
85.625,real_moleculenet_lipophilicity,93.75,llm_direct_prior_random_rule_r1_branching_effect_on_lipophilicity,45000,0.0,1
84.6406,real_moleculenet_lipophilicity,93.75,llm_direct_prior_random_rule_r1_counter_hypothesis_on_heteroatom_influence,45000,0.0,1
79.875,real_moleculenet_lipophilicity,79.875,llm_direct_prior_random_rule_r1_domain_knowledge_on_ring_structure_effects,45000,13.875,0
85.7188,real_moleculenet_lipophilicity,87.375,llm_direct_prior_random_rule_r1_impact_of_halogen_substitution_on_lipophilicity,45000,6.375,0
81.5156,real_moleculenet_lipophilicity,81.75,llm_direct_prior_random_rule_r1_lipophilicity_influence_of_aromatic_structure,45000,12.0,0
81.5156,real_moleculenet_lipophilicity,81.75,llm_direct_prior_random_rule_r2_branching_effect_on_lipophilicity,45000,12.0,0
81.4375,real_moleculenet_lipophilicity,86.125,llm_direct_prior_random_rule_r2_counter_hypothesis_on_heteroatom_influence,45000,7.625,0
81.5156,real_moleculenet_lipophilicity,81.75,llm_direct_prior_random_rule_r2_domain_knowledge_on_ring_structure_effects,45000,12.0,0
85.7188,real_moleculenet_lipophilicity,87.375,llm_direct_prior_random_rule_r2_impact_of_halogen_substitution_on_lipophilicity,45000,6.375,0
81.5156,real_moleculenet_lipophilicity,81.75,llm_direct_prior_random_rule_r2_lipophilicity_influence_of_aromatic_structure,45000,12.0,0
85.625,real_moleculenet_lipophilicity,93.75,llm_direct_prior_random_rule_r3_branching_effect_on_lipophilicity,45000,0.0,1
81.4375,real_moleculenet_lipophilicity,86.125,llm_direct_prior_random_rule_r3_counter_hypothesis_on_heteroatom_influence,45000,7.625,0
81.5156,real_moleculenet_lipophilicity,81.75,llm_direct_prior_random_rule_r3_domain_knowledge_on_ring_structure_effects,45000,12.0,0
85.7812,real_moleculenet_lipophilicity,93.75,llm_direct_prior_random_rule_r3_impact_of_halogen_substitution_on_lipophilicity,45000,0.0,1
79.6875,real_moleculenet_lipophilicity,82.5,llm_direct_prior_random_rule_r3_lipophilicity_influence_of_aromatic_structure,45000,11.25,0
81.0312,real_moleculenet_lipophilicity,88.25,mixed_kernel_gp_ei,45000,5.5,0
86.4688,real_moleculenet_lipophilicity,88.75,gp_ucb,45001,5.0,0
83.3281,real_moleculenet_lipophilicity,87.75,llm_direct_prior_branching_effect_on_lipophilicity,45001,6.0,0
84.0156,real_moleculenet_lipophilicity,87.75,llm_direct_prior_counter_hypothesis_on_heteroatom_influence,45001,6.0,0
81.2188,real_moleculenet_lipophilicity,81.75,llm_direct_prior_domain_knowledge_on_ring_structure_effects,45001,12.0,0
84.0156,real_moleculenet_lipophilicity,87.75,llm_direct_prior_impact_of_halogen_substitution_on_lipophilicity,45001,6.0,0
83.6562,real_moleculenet_lipophilicity,87.75,llm_direct_prior_lipophilicity_influence_of_aromatic_structure,45001,6.0,0
88.7969,real_moleculenet_lipophilicity,93.75,llm_direct_prior_random_rule_r1_branching_effect_on_lipophilicity,45001,0.0,1
81.5938,real_moleculenet_lipophilicity,82.25,llm_direct_prior_random_rule_r1_counter_hypothesis_on_heteroatom_influence,45001,11.5,0
79.625,real_moleculenet_lipophilicity,79.625,llm_direct_prior_random_rule_r1_domain_knowledge_on_ring_structure_effects,45001,14.125,0
84.0156,real_moleculenet_lipophilicity,87.75,llm_direct_prior_random_rule_r1_impact_of_halogen_substitution_on_lipophilicity,45001,6.0,0
84.0156,real_moleculenet_lipophilicity,87.75,llm_direct_prior_random_rule_r1_lipophilicity_influence_of_aromatic_structure,45001,6.0,0
84.0156,real_moleculenet_lipophilicity,87.75,llm_direct_prior_random_rule_r2_branching_effect_on_lipophilicity,45001,6.0,0
84.3438,real_moleculenet_lipophilicity,87.75,llm_direct_prior_random_rule_r2_counter_hypothesis_on_heteroatom_influence,45001,6.0,0
84.0156,real_moleculenet_lipophilicity,87.75,llm_direct_prior_random_rule_r2_domain_knowledge_on_ring_structure_effects,45001,6.0,0
84.0156,real_moleculenet_lipophilicity,87.75,llm_direct_prior_random_rule_r2_impact_of_halogen_substitution_on_lipophilicity,45001,6.0,0
84.0156,real_moleculenet_lipophilicity,87.75,llm_direct_prior_random_rule_r2_lipophilicity_influence_of_aromatic_structure,45001,6.0,0
88.7969,real_moleculenet_lipophilicity,93.75,llm_direct_prior_random_rule_r3_branching_effect_on_lipophilicity,45001,0.0,1
84.3438,real_moleculenet_lipophilicity,87.75,llm_direct_prior_random_rule_r3_counter_hypothesis_on_heteroatom_influence,45001,6.0,0
84.0156,real_moleculenet_lipophilicity,87.75,llm_direct_prior_random_rule_r3_domain_knowledge_on_ring_structure_effects,45001,6.0,0
88.4531,real_moleculenet_lipophilicity,93.75,llm_direct_prior_random_rule_r3_impact_of_halogen_substitution_on_lipophilicity,45001,0.0,1
80.1406,real_moleculenet_lipophilicity,83.75,llm_direct_prior_random_rule_r3_lipophilicity_influence_of_aromatic_structure,45001,10.0,0
86.4688,real_moleculenet_lipophilicity,88.75,mixed_kernel_gp_ei,45001,5.0,0
80.6875,real_moleculenet_lipophilicity,81.25,gp_ucb,45002,12.5,0
84.625,real_moleculenet_lipophilicity,91.25,llm_direct_prior_branching_effect_on_lipophilicity,45002,2.5,0
87.2188,real_moleculenet_lipophilicity,93.5,llm_direct_prior_counter_hypothesis_on_heteroatom_influence,45002,0.25,1
82.5625,real_moleculenet_lipophilicity,86.75,llm_direct_prior_domain_knowledge_on_ring_structure_effects,45002,7.0,0
92.8125,real_moleculenet_lipophilicity,93.75,llm_direct_prior_impact_of_halogen_substitution_on_lipophilicity,45002,0.0,1
86.9688,real_moleculenet_lipophilicity,89.75,llm_direct_prior_lipophilicity_influence_of_aromatic_structure,45002,4.0,0
88.2656,real_moleculenet_lipophilicity,93.5,llm_direct_prior_random_rule_r1_branching_effect_on_lipophilicity,45002,0.25,1
82.3594,real_moleculenet_lipophilicity,86.125,llm_direct_prior_random_rule_r1_counter_hypothesis_on_heteroatom_influence,45002,7.625,0
