best_so_far_auc,dataset,final_best,mode,seed,simple_regret,top10_hit
94.2862,real_chemlex_acidamine,96.58,gp_ucb,42000,3.42,0
93.08,real_chemlex_acidamine,96.35,llm_direct_prior_acid_amine_coupling_hypothesis,42000,3.65,0
90.85,real_chemlex_acidamine,96.35,llm_direct_prior_amine_aromatic_interaction_hypothesis,42000,3.65,0
90.85,real_chemlex_acidamine,96.35,llm_direct_prior_amine_branching_effect_hypothesis,42000,3.65,0
88.4925,real_chemlex_acidamine,100.0,llm_direct_prior_aromatic_acid_amine_interaction_hypothesis,42000,0.0,1
90.8438,real_chemlex_acidamine,100.0,llm_direct_prior_random_rule_r1_acid_amine_coupling_hypothesis,42000,0.0,1
90.85,real_chemlex_acidamine,96.35,llm_direct_prior_random_rule_r1_amine_aromatic_interaction_hypothesis,42000,3.65,0
90.85,real_chemlex_acidamine,96.35,llm_direct_prior_random_rule_r1_amine_branching_effect_hypothesis,42000,3.65,0
90.85,real_chemlex_acidamine,96.35,llm_direct_prior_random_rule_r1_aromatic_acid_amine_interaction_hypothesis,42000,3.65,0
95.9788,real_chemlex_acidamine,97.29,llm_direct_prior_random_rule_r1_reagent_effect_on_conversion_hypothesis,42000,2.71,0
85.35,real_chemlex_acidamine,85.35,llm_direct_prior_random_rule_r2_acid_amine_coupling_hypothesis,42000,14.65,0
94.8375,real_chemlex_acidamine,97.14,llm_direct_prior_random_rule_r2_amine_aromatic_interaction_hypothesis,42000,2.86,0
88.7525,real_chemlex_acidamine,100.0,llm_direct_prior_random_rule_r2_amine_branching_effect_hypothesis,42000,0.0,1
96.35,real_chemlex_acidamine,96.35,llm_direct_prior_random_rule_r2_aromatic_acid_amine_interaction_hypothesis,42000,3.65,0
90.85,real_chemlex_acidamine,96.35,llm_direct_prior_random_rule_r2_reagent_effect_on_conversion_hypothesis,42000,3.65,0
85.35,real_chemlex_acidamine,85.35,llm_direct_prior_random_rule_r3_acid_amine_coupling_hypothesis,42000,14.65,0
90.85,real_chemlex_acidamine,96.35,llm_direct_prior_random_rule_r3_amine_aromatic_interaction_hypothesis,42000,3.65,0
90.85,real_chemlex_acidamine,96.35,llm_direct_prior_random_rule_r3_amine_branching_effect_hypothesis,42000,3.65,0
90.8438,real_chemlex_acidamine,100.0,llm_direct_prior_random_rule_r3_aromatic_acid_amine_interaction_hypothesis,42000,0.0,1
89.5438,real_chemlex_acidamine,100.0,llm_direct_prior_random_rule_r3_reagent_effect_on_conversion_hypothesis,42000,0.0,0
90.85,real_chemlex_acidamine,96.35,llm_direct_prior_reagent_effect_on_conversion_hypothesis,42000,3.65,0
94.2862,real_chemlex_acidamine,96.58,mixed_kernel_gp_ei,42000,3.42,0
100.0,real_chemlex_acidamine,100.0,gp_ucb,42001,0.0,0
100.0,real_chemlex_acidamine,100.0,llm_direct_prior_acid_amine_coupling_hypothesis,42001,0.0,0
100.0,real_chemlex_acidamine,100.0,llm_direct_prior_amine_aromatic_interaction_hypothesis,42001,0.0,1
100.0,real_chemlex_acidamine,100.0,llm_direct_prior_amine_branching_effect_hypothesis,42001,0.0,0
100.0,real_chemlex_acidamine,100.0,llm_direct_prior_aromatic_acid_amine_interaction_hypothesis,42001,0.0,0
100.0,real_chemlex_acidamine,100.0,llm_direct_prior_random_rule_r1_acid_amine_coupling_hypothesis,42001,0.0,0
