dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_matbench_expt_gap,gp_ucb,84000,91.25,81.125,8.75,0,calibration,
real_matbench_expt_gap,llm_semantic_counter_transition_metal,84000,91.25,81.125,8.75,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,84000,53.125,47.275,46.875,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,84000,40.75,40.7375,59.25,0,calibration,
real_matbench_expt_gap,gp_ucb,84001,31.0,30.5,69.0,0,calibration,
real_matbench_expt_gap,llm_semantic_counter_transition_metal,84001,86.875,49.2625,13.125,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,84001,31.0,30.5,69.0,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,84001,61.75,43.825,38.25,0,calibration,
real_matbench_expt_gap,gp_ucb,84002,63.75,62.625,36.25,0,calibration,
real_matbench_expt_gap,llm_semantic_counter_transition_metal,84002,100.0,61.75,0.0,1,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,84002,63.75,62.625,36.25,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,84002,63.75,62.625,36.25,0,calibration,
real_matbench_expt_gap,gp_ucb,84003,53.125,52.1625,46.875,0,calibration,
real_matbench_expt_gap,llm_semantic_counter_transition_metal,84003,100.0,61.4,0.0,1,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,84003,51.75,51.75,48.25,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,84003,60.0,52.575,40.0,0,calibration,
real_matbench_expt_gap,gp_ucb,84004,55.875,41.525,44.125,0,calibration,
real_matbench_expt_gap,llm_semantic_counter_transition_metal,84004,46.25,31.625,53.75,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,84004,55.875,41.525,44.125,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,84004,55.875,37.9375,44.125,0,calibration,
real_matbench_expt_gap,gp_ucb,84005,77.375,34.925,22.625,0,calibration,
real_matbench_expt_gap,llm_semantic_counter_transition_metal,84005,46.25,34.125,53.75,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,84005,46.25,32.5375,53.75,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,84005,61.75,34.575,38.25,0,calibration,
real_matbench_expt_gap,gp_ucb,84006,100.0,67.6,0.0,1,calibration,
real_matbench_expt_gap,llm_semantic_counter_transition_metal,84006,100.0,59.3125,0.0,1,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,84006,100.0,63.975,0.0,1,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,84006,100.0,67.6,0.0,1,calibration,
real_matbench_expt_gap,gp_ucb,84007,63.75,46.875,36.25,0,calibration,
real_matbench_expt_gap,llm_semantic_counter_transition_metal,84007,100.0,73.0,0.0,1,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,84007,52.5,36.9125,47.5,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,84007,41.25,41.25,58.75,0,calibration,
real_matbench_expt_gap,gp_ucb,84008,100.0,60.85,0.0,1,calibration,
real_matbench_expt_gap,llm_semantic_counter_transition_metal,84008,28.75,28.75,71.25,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,84008,63.75,53.6,36.25,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,84008,63.75,53.6,36.25,0,calibration,
real_matbench_expt_gap,gp_ucb,84009,100.0,90.775,0.0,1,calibration,
real_matbench_expt_gap,llm_semantic_counter_transition_metal,84009,100.0,96.925,0.0,1,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,84009,100.0,96.925,0.0,1,calibration,
