dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_matbench_expt_gap,gp_ucb,86000,25.625,14.625,74.375,0,calibration,
real_matbench_expt_gap,llm_semantic_balanced_element_fraction,86000,35.0,15.975,65.0,0,calibration,
real_matbench_expt_gap,llm_semantic_counter_transition_metal,86000,100.0,50.0,0.0,1,calibration,
real_matbench_expt_gap,llm_semantic_high_chalcogenide_effect,86000,59.5,28.9625,40.5,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,86000,100.0,80.0,0.0,1,calibration,
real_matbench_expt_gap,llm_semantic_lanthanide_influence,86000,42.5,19.35,57.5,0,calibration,
real_matbench_expt_gap,llm_semantic_low_mean_atomic_number,86000,100.0,50.0,0.0,1,calibration,
real_matbench_expt_gap,llm_semantic_mechanistic_max_element_fraction,86000,46.25,22.8,53.75,0,calibration,
real_matbench_expt_gap,llm_semantic_source_evidence_dominant_family,86000,100.0,48.55,0.0,1,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,86000,25.625,14.625,74.375,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,86000,25.625,14.625,74.375,0,calibration,
real_matbench_expt_gap,gp_ucb,86001,40.75,37.225,59.25,0,calibration,
real_matbench_expt_gap,llm_semantic_balanced_element_fraction,86001,42.625,31.725,57.375,0,calibration,
real_matbench_expt_gap,llm_semantic_counter_transition_metal,86001,29.0,29.0,71.0,0,calibration,
real_matbench_expt_gap,llm_semantic_high_chalcogenide_effect,86001,41.25,31.45,58.75,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,86001,29.0,29.0,71.0,0,calibration,
real_matbench_expt_gap,llm_semantic_lanthanide_influence,86001,41.25,37.575,58.75,0,calibration,
real_matbench_expt_gap,llm_semantic_low_mean_atomic_number,86001,29.0,29.0,71.0,0,calibration,
real_matbench_expt_gap,llm_semantic_mechanistic_max_element_fraction,86001,29.0,29.0,71.0,0,calibration,
real_matbench_expt_gap,llm_semantic_source_evidence_dominant_family,86001,40.75,39.575,59.25,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,86001,40.75,34.875,59.25,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,86001,40.75,37.225,59.25,0,calibration,
real_matbench_expt_gap,gp_ucb,86002,91.25,86.55,8.75,0,calibration,
real_matbench_expt_gap,llm_semantic_balanced_element_fraction,86002,44.25,44.25,55.75,0,calibration,
real_matbench_expt_gap,llm_semantic_counter_transition_metal,86002,44.25,44.25,55.75,0,calibration,
real_matbench_expt_gap,llm_semantic_high_chalcogenide_effect,86002,52.125,47.4,47.875,0,calibration,
real_matbench_expt_gap,llm_semantic_high_element_count,86002,44.25,44.25,55.75,0,calibration,
real_matbench_expt_gap,llm_semantic_lanthanide_influence,86002,82.5,63.625,17.5,0,calibration,
real_matbench_expt_gap,llm_semantic_low_mean_atomic_number,86002,46.625,45.675,53.375,0,calibration,
real_matbench_expt_gap,llm_semantic_mechanistic_max_element_fraction,86002,44.25,44.25,55.75,0,calibration,
real_matbench_expt_gap,llm_semantic_source_evidence_dominant_family,86002,44.25,44.25,55.75,0,calibration,
real_matbench_expt_gap,mixed_kernel_gp_ei,86002,59.5,57.6375,40.5,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,86002,91.25,86.55,8.75,0,calibration,
real_matbench_expt_gap,gp_ucb,86003,25.875,24.7375,74.125,0,calibration,
real_matbench_expt_gap,llm_semantic_balanced_element_fraction,86003,42.625,27.4625,57.375,0,calibration,
real_matbench_expt_gap,llm_semantic_counter_transition_metal,86003,29.375,26.125,70.625,0,calibration,
