dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_matbench_expt_gap,fixed_data_only_transfer,66000,79.75,79.75,20.25,0,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66000,79.75,79.75,20.25,0,calibration,
real_matbench_expt_gap,gp_ucb,66000,79.75,79.75,20.25,0,calibration,
real_matbench_expt_gap,llm_transfer_router,66000,79.75,79.75,20.25,0,calibration,
real_matbench_expt_gap,matched_target_only_llm,66000,79.75,79.75,20.25,0,calibration,llm_semantic_high_element_count
real_matbench_expt_gap,mixed_kernel_gp_ei,66000,79.75,79.75,20.25,0,calibration,
real_matbench_expt_gap,source_warmstart_only,66000,79.75,79.75,20.25,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,66000,79.75,79.75,20.25,0,calibration,
real_matbench_expt_gap,fixed_data_only_transfer,66001,63.75,33.0481,36.25,0,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66001,56.25,35.9135,43.75,0,calibration,
real_matbench_expt_gap,gp_ucb,66001,56.25,35.9135,43.75,0,calibration,
real_matbench_expt_gap,llm_transfer_router,66001,52.5,29.2308,47.5,0,calibration,
real_matbench_expt_gap,matched_target_only_llm,66001,63.75,33.0481,36.25,0,calibration,llm_semantic_high_element_count
real_matbench_expt_gap,mixed_kernel_gp_ei,66001,100.0,59.8462,0.0,1,calibration,
real_matbench_expt_gap,source_warmstart_only,66001,63.75,33.0481,36.25,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,66001,56.25,41.9712,43.75,0,calibration,
real_matbench_expt_gap,fixed_data_only_transfer,66002,44.75,40.5962,55.25,0,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66002,38.25,29.25,61.75,0,calibration,
real_matbench_expt_gap,gp_ucb,66002,46.25,31.8269,53.75,0,calibration,
real_matbench_expt_gap,llm_transfer_router,66002,44.75,40.5962,55.25,0,calibration,
