dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_matbench_dielectric,fixed_data_only_transfer,66000,79.1231,57.5328,20.5223,1,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66000,49.8471,47.7676,49.7983,0,calibration,
real_matbench_dielectric,gp_ucb,66000,46.403,46.403,53.2424,0,calibration,
real_matbench_dielectric,llm_transfer_router,66000,79.1231,57.5328,20.5223,1,calibration,
real_matbench_dielectric,matched_target_only_llm,66000,79.1231,57.5328,20.5223,1,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,66000,48.7857,47.1361,50.8597,0,calibration,
real_matbench_dielectric,source_warmstart_only,66000,79.1231,57.5328,20.5223,1,calibration,
real_matbench_dielectric,target_acquisition_portfolio,66000,48.7857,46.5863,50.8597,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,66001,79.1231,53.0521,20.5223,1,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66001,48.7857,42.0423,50.8597,0,calibration,
real_matbench_dielectric,gp_ucb,66001,48.7857,40.3129,50.8597,0,calibration,
real_matbench_dielectric,llm_transfer_router,66001,79.1231,53.0521,20.5223,1,calibration,
real_matbench_dielectric,matched_target_only_llm,66001,79.1231,53.0521,20.5223,1,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,66001,56.4702,48.0836,43.1752,0,calibration,
real_matbench_dielectric,source_warmstart_only,66001,79.1231,53.0521,20.5223,1,calibration,
real_matbench_dielectric,target_acquisition_portfolio,66001,48.7857,42.0423,50.8597,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,66002,46.5569,42.9768,53.0885,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66002,64.047,39.314,35.5984,0,calibration,
real_matbench_dielectric,gp_ucb,66002,54.8245,36.7502,44.8209,0,calibration,
real_matbench_dielectric,llm_transfer_router,66002,46.5569,42.9768,53.0885,0,calibration,
real_matbench_dielectric,matched_target_only_llm,66002,46.5569,42.9768,53.0885,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,66002,43.1468,36.6295,56.4986,0,calibration,
real_matbench_dielectric,source_warmstart_only,66002,46.5569,42.9768,53.0885,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,66002,46.403,37.811,53.2424,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,66003,43.4145,41.7361,56.2309,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66003,43.5603,37.2258,56.0851,0,calibration,
real_matbench_dielectric,gp_ucb,66003,46.403,39.8466,53.2424,0,calibration,
real_matbench_dielectric,llm_transfer_router,66003,43.4145,41.7361,56.2309,0,calibration,
real_matbench_dielectric,matched_target_only_llm,66003,43.4145,41.7361,56.2309,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,66003,49.2242,45.0066,50.4212,0,calibration,
real_matbench_dielectric,source_warmstart_only,66003,43.4145,41.7361,56.2309,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,66003,49.2242,45.2089,50.4212,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,66004,40.2774,36.5201,59.368,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66004,59.5114,48.7262,40.134,0,calibration,
real_matbench_dielectric,gp_ucb,66004,48.7857,46.3231,50.8597,0,calibration,
real_matbench_dielectric,llm_transfer_router,66004,40.2774,36.5201,59.368,0,calibration,
real_matbench_dielectric,matched_target_only_llm,66004,40.2774,36.5201,59.368,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,66004,66.6854,55.8773,32.96,0,calibration,
real_matbench_dielectric,source_warmstart_only,66004,40.2774,36.5201,59.368,0,calibration,
