dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_matbench_dielectric,fixed_data_only_transfer,66000,79.1231,49.7745,20.5223,1,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66000,49.2242,46.381,50.4212,0,calibration,
real_matbench_dielectric,gp_ucb,66000,46.403,45.1687,53.2424,0,calibration,
real_matbench_dielectric,llm_transfer_router,66000,79.1231,49.7745,20.5223,1,calibration,
real_matbench_dielectric,matched_target_only_llm,66000,79.1231,49.7745,20.5223,1,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,66000,46.403,45.0552,53.2424,0,calibration,
real_matbench_dielectric,source_warmstart_only,66000,79.1231,49.7745,20.5223,1,calibration,
real_matbench_dielectric,target_acquisition_portfolio,66000,46.403,45.1687,53.2424,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,66001,42.2441,37.5834,57.4013,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66001,48.9279,42.4727,50.7175,0,calibration,
real_matbench_dielectric,gp_ucb,66001,49.2242,44.0317,50.4212,0,calibration,
real_matbench_dielectric,llm_transfer_router,66001,42.2441,37.5834,57.4013,0,calibration,
real_matbench_dielectric,matched_target_only_llm,66001,42.2441,37.5834,57.4013,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,66001,48.9279,44.3706,50.7175,0,calibration,
real_matbench_dielectric,source_warmstart_only,66001,42.2441,37.5834,57.4013,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,66001,49.2242,44.7664,50.4212,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,66002,79.1231,43.7559,20.5223,1,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66002,40.249,33.8049,59.3964,0,calibration,
real_matbench_dielectric,gp_ucb,66002,42.3673,33.1723,57.2781,0,calibration,
real_matbench_dielectric,llm_transfer_router,66002,79.1231,43.7559,20.5223,1,calibration,
real_matbench_dielectric,matched_target_only_llm,66002,79.1231,43.7559,20.5223,1,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,66002,39.1521,33.4759,60.4933,0,calibration,
real_matbench_dielectric,source_warmstart_only,66002,79.1231,43.7559,20.5223,1,calibration,
real_matbench_dielectric,target_acquisition_portfolio,66002,59.5114,40.4584,40.134,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,66003,79.1231,50.2679,20.5223,1,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66003,43.5603,40.7963,56.0851,0,calibration,
real_matbench_dielectric,gp_ucb,66003,46.403,42.5466,53.2424,0,calibration,
real_matbench_dielectric,llm_transfer_router,66003,43.4145,43.1261,56.2309,0,calibration,
real_matbench_dielectric,matched_target_only_llm,66003,79.1231,53.8387,20.5223,1,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,66003,46.403,42.5466,53.2424,0,calibration,
real_matbench_dielectric,source_warmstart_only,66003,79.1231,53.8387,20.5223,1,calibration,
real_matbench_dielectric,target_acquisition_portfolio,66003,46.403,42.5466,53.2424,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,66004,47.6541,43.1692,51.9913,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66004,46.403,41.3524,53.2424,0,calibration,
real_matbench_dielectric,gp_ucb,66004,40.5991,37.612,59.0463,0,calibration,
real_matbench_dielectric,llm_transfer_router,66004,47.6541,43.1692,51.9913,0,calibration,
real_matbench_dielectric,matched_target_only_llm,66004,47.6541,43.1692,51.9913,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,66004,46.403,42.7689,53.2424,0,calibration,
real_matbench_dielectric,source_warmstart_only,66004,47.6541,43.1692,51.9913,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,66004,48.7857,40.4738,50.8597,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,66005,79.1231,48.5002,20.5223,1,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66005,47.6419,46.2706,52.0035,0,calibration,
real_matbench_dielectric,gp_ucb,66005,60.176,44.7589,39.4694,0,calibration,
real_matbench_dielectric,llm_transfer_router,66005,79.1231,48.5002,20.5223,1,calibration,
real_matbench_dielectric,matched_target_only_llm,66005,79.1231,48.5002,20.5223,1,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,66005,45.6198,41.8476,54.0256,0,calibration,
real_matbench_dielectric,source_warmstart_only,66005,79.1231,48.5002,20.5223,1,calibration,
real_matbench_dielectric,target_acquisition_portfolio,66005,44.295,41.1852,55.3504,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,66006,79.1231,56.2873,20.5223,1,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66006,57.2276,57.2276,42.4178,0,calibration,
real_matbench_dielectric,gp_ucb,66006,56.4702,52.3459,43.1752,0,calibration,
real_matbench_dielectric,llm_transfer_router,66006,79.1231,56.2873,20.5223,1,calibration,
real_matbench_dielectric,matched_target_only_llm,66006,79.1231,56.2873,20.5223,1,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,66006,56.4702,52.3459,43.1752,0,calibration,
real_matbench_dielectric,source_warmstart_only,66006,79.1231,56.2873,20.5223,1,calibration,
real_matbench_dielectric,target_acquisition_portfolio,66006,78.5178,65.7437,21.1276,1,calibration,
real_matbench_dielectric,fixed_data_only_transfer,66007,43.4145,42.0889,56.2309,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66007,43.5147,36.6991,56.1307,0,calibration,
real_matbench_dielectric,gp_ucb,66007,43.5603,38.2018,56.0851,0,calibration,
real_matbench_dielectric,llm_transfer_router,66007,43.4145,42.0889,56.2309,0,calibration,
real_matbench_dielectric,matched_target_only_llm,66007,43.4145,42.0889,56.2309,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,66007,44.4763,36.8283,55.1691,0,calibration,
real_matbench_dielectric,source_warmstart_only,66007,43.4145,42.0889,56.2309,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,66007,42.6988,37.2601,56.9466,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,66008,61.1299,53.7036,38.5155,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66008,36.8876,33.3661,62.7578,0,calibration,
real_matbench_dielectric,gp_ucb,66008,57.1624,45.9126,42.483,0,calibration,
real_matbench_dielectric,llm_transfer_router,66008,61.1299,53.7036,38.5155,0,calibration,
real_matbench_dielectric,matched_target_only_llm,66008,61.1299,53.7036,38.5155,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,66008,43.5603,38.3307,56.0851,0,calibration,
real_matbench_dielectric,source_warmstart_only,66008,61.1299,53.7036,38.5155,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,66008,47.6419,44.1546,52.0035,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,66009,43.1496,38.3598,56.4958,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66009,43.5603,35.9586,56.0851,0,calibration,
real_matbench_dielectric,gp_ucb,66009,43.5603,36.7275,56.0851,0,calibration,
real_matbench_dielectric,llm_transfer_router,66009,43.1496,38.3598,56.4958,0,calibration,
real_matbench_dielectric,matched_target_only_llm,66009,43.1496,38.3598,56.4958,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,66009,43.5603,36.7275,56.0851,0,calibration,
real_matbench_dielectric,source_warmstart_only,66009,43.1496,38.3598,56.4958,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,66009,43.5603,36.7275,56.0851,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,66010,43.1496,41.8133,56.4958,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66010,46.5239,38.8946,53.1215,0,calibration,
real_matbench_dielectric,gp_ucb,66010,43.5603,39.3805,56.0851,0,calibration,
real_matbench_dielectric,llm_transfer_router,66010,43.1496,41.8133,56.4958,0,calibration,
real_matbench_dielectric,matched_target_only_llm,66010,43.1496,41.8133,56.4958,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,66010,43.5603,39.5385,56.0851,0,calibration,
real_matbench_dielectric,source_warmstart_only,66010,43.1496,41.8133,56.4958,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,66010,46.5239,39.9946,53.1215,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,66011,79.1231,75.2385,20.5223,1,calibration,
