dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_moleculenet_lipophilicity,fixed_data_only_transfer,66000,78.625,78.0625,15.125,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66000,80.375,80.375,13.375,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,66000,93.75,91.075,0.0,1,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,66000,78.625,78.0625,15.125,0,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,66000,78.625,78.0625,15.125,0,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,66000,93.75,91.075,0.0,1,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,66000,78.625,78.0625,15.125,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,66000,93.75,91.075,0.0,1,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,66001,93.75,92.9875,0.0,1,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66001,93.75,93.55,0.0,1,calibration,
real_moleculenet_lipophilicity,gp_ucb,66001,93.5,93.5,0.25,1,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,66001,93.75,92.9875,0.0,1,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,66001,93.75,92.9875,0.0,1,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,66001,93.5,93.5,0.25,1,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,66001,93.75,92.9875,0.0,1,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,66001,93.75,93.55,0.0,1,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,66002,91.25,91.25,2.5,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66002,91.25,91.25,2.5,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,66002,91.25,91.25,2.5,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,66002,91.25,91.25,2.5,0,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,66002,91.25,91.25,2.5,0,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,66002,91.25,91.25,2.5,0,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,66002,91.25,91.25,2.5,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,66002,91.25,91.25,2.5,0,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,66003,85.0,85.0,8.75,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66003,85.0,85.0,8.75,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,66003,86.875,85.375,6.875,0,calibration,
