dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_moleculenet_lipophilicity,fixed_data_only_transfer,66000,86.25,86.25,7.5,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66000,89.625,82.6058,4.125,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,66000,83.75,81.0577,10.0,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,66000,86.25,86.25,7.5,0,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,66000,86.25,86.25,7.5,0,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,66000,89.0,81.9615,4.75,0,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,66000,86.25,86.25,7.5,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,66000,90.0,83.2692,3.75,0,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,66001,87.5,86.4423,6.25,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66001,91.25,88.8846,2.5,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,66001,91.25,88.8846,2.5,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,66001,87.5,86.4423,6.25,0,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,66001,87.5,86.4423,6.25,0,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,66001,91.25,89.2788,2.5,0,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,66001,87.5,86.4423,6.25,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,66001,91.25,88.8846,2.5,0,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,66002,90.0,89.2019,3.75,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66002,91.25,88.2308,2.5,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,66002,90.0,83.75,3.75,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,66002,90.0,89.2019,3.75,0,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,66002,90.0,89.2019,3.75,0,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,66002,91.25,90.9615,2.5,0,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,66002,90.0,89.2019,3.75,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,66002,91.25,90.9615,2.5,0,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,66003,88.625,86.3942,5.125,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66003,93.75,86.4423,0.0,1,calibration,
real_moleculenet_lipophilicity,gp_ucb,66003,91.25,88.7885,2.5,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,66003,88.625,86.3942,5.125,0,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,66003,88.625,86.3942,5.125,0,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,66003,93.75,89.1346,0.0,1,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,66003,88.625,86.3942,5.125,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,66003,91.875,90.6154,1.875,0,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,66004,93.75,93.75,0.0,1,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66004,88.625,83.7885,5.125,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,66004,93.75,87.1154,0.0,1,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,66004,93.75,93.75,0.0,1,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,66004,93.75,93.75,0.0,1,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,66004,91.25,88.9423,2.5,0,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,66004,93.75,93.75,0.0,1,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,66004,91.875,85.2404,1.875,0,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,66005,87.5,85.0865,6.25,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66005,83.75,83.75,10.0,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,66005,83.75,83.75,10.0,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,66005,87.5,85.0865,6.25,0,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,66005,87.5,85.0865,6.25,0,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,66005,83.75,83.75,10.0,0,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,66005,87.5,85.0865,6.25,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,66005,83.75,83.75,10.0,0,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,66006,90.0,85.8269,3.75,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66006,80.625,76.0,13.125,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,66006,79.0,76.0192,14.75,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,66006,90.0,85.8269,3.75,0,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,66006,90.0,85.8269,3.75,0,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,66006,85.0,75.5769,8.75,0,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,66006,90.0,85.8269,3.75,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,66006,88.625,83.875,5.125,0,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,66007,88.625,85.6538,5.125,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66007,89.125,88.4423,4.625,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,66007,85.0,84.3462,8.75,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,66007,88.625,85.6538,5.125,0,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,66007,88.625,85.6538,5.125,0,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,66007,86.125,84.0865,7.625,0,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,66007,88.625,85.6538,5.125,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,66007,91.375,88.3269,2.375,0,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,66008,93.75,88.75,0.0,1,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66008,90.0,89.7115,3.75,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,66008,90.0,89.7115,3.75,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,66008,93.75,88.75,0.0,1,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,66008,93.75,88.75,0.0,1,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,66008,84.0,78.0769,9.75,0,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,66008,93.75,88.75,0.0,1,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,66008,90.0,88.75,3.75,0,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,66009,93.75,90.8269,0.0,1,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66009,80.875,80.875,12.875,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,66009,82.0,82.0,11.75,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,66009,93.75,90.3462,0.0,1,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,66009,93.75,90.8269,0.0,1,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,66009,89.625,84.2692,4.125,0,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,66009,93.75,90.8269,0.0,1,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,66009,80.875,80.875,12.875,0,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,66010,84.0,82.6346,9.75,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66010,92.125,85.7404,1.625,0,calibration,
