dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_moleculenet_freesolv,fixed_data_only_transfer,66000,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66000,76.8667,63.2933,23.1333,1,calibration,
real_moleculenet_freesolv,gp_ucb,66000,49.2,48.3133,50.8,0,calibration,
real_moleculenet_freesolv,llm_transfer_router,66000,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,matched_target_only_llm,66000,100.0,100.0,0.0,1,calibration,llambo_warmstart_balanced_feature_interaction_noprior
real_moleculenet_freesolv,mixed_kernel_gp_ei,66000,69.4333,54.08,30.5667,1,calibration,
real_moleculenet_freesolv,source_warmstart_only,66000,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,66000,49.2,48.3133,50.8,0,calibration,
real_moleculenet_freesolv,fixed_data_only_transfer,66001,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66001,77.2333,63.2867,22.7667,1,calibration,
real_moleculenet_freesolv,gp_ucb,66001,50.9,50.9,49.1,0,calibration,
real_moleculenet_freesolv,llm_transfer_router,66001,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,matched_target_only_llm,66001,100.0,100.0,0.0,1,calibration,llambo_warmstart_balanced_feature_interaction_noprior
real_moleculenet_freesolv,mixed_kernel_gp_ei,66001,75.8,57.7333,24.2,1,calibration,
real_moleculenet_freesolv,source_warmstart_only,66001,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,66001,79.0667,57.4233,20.9333,1,calibration,
real_moleculenet_freesolv,fixed_data_only_transfer,66002,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66002,79.0667,69.15,20.9333,1,calibration,
real_moleculenet_freesolv,gp_ucb,66002,42.1,41.7033,57.9,0,calibration,
real_moleculenet_freesolv,llm_transfer_router,66002,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,matched_target_only_llm,66002,100.0,100.0,0.0,1,calibration,llambo_warmstart_balanced_feature_interaction_noprior
real_moleculenet_freesolv,mixed_kernel_gp_ei,66002,53.3333,53.3333,46.6667,0,calibration,
real_moleculenet_freesolv,source_warmstart_only,66002,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,66002,41.9333,41.67,58.0667,0,calibration,
real_moleculenet_freesolv,fixed_data_only_transfer,66003,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,66003,79.0667,73.8067,20.9333,1,calibration,
real_moleculenet_freesolv,gp_ucb,66003,79.0667,67.7533,20.9333,1,calibration,
real_moleculenet_freesolv,llm_transfer_router,66003,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,matched_target_only_llm,66003,100.0,100.0,0.0,1,calibration,llambo_warmstart_balanced_feature_interaction_noprior
