dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_matbench_expt_gap,fixed_data_only_transfer,68000,46.25,34.125,53.75,0,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,68000,35.625,18.5385,64.375,0,calibration,
real_matbench_expt_gap,gp_ucb,68000,22.5,8.3269,77.5,0,calibration,
real_matbench_expt_gap,llm_transfer_router,68000,46.25,34.125,53.75,0,calibration,
real_matbench_expt_gap,matched_target_only_llm,68000,46.25,34.125,53.75,0,calibration,llm_semantic_high_element_count
real_matbench_expt_gap,mixed_kernel_gp_ei,68000,37.5,21.7981,62.5,0,calibration,
real_matbench_expt_gap,source_warmstart_only,68000,46.25,34.125,53.75,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,68000,37.5,21.7981,62.5,0,calibration,
real_matbench_expt_gap,fixed_data_only_transfer,68001,100.0,76.1538,0.0,1,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,68001,30.0,22.3365,70.0,0,calibration,
real_matbench_expt_gap,gp_ucb,68001,31.0,21.2596,69.0,0,calibration,
real_matbench_expt_gap,llm_transfer_router,68001,63.75,51.8846,36.25,0,calibration,
real_matbench_expt_gap,matched_target_only_llm,68001,63.75,51.8846,36.25,0,calibration,llm_semantic_high_element_count
real_matbench_expt_gap,mixed_kernel_gp_ei,68001,100.0,33.1058,0.0,1,calibration,
real_matbench_expt_gap,source_warmstart_only,68001,63.75,51.8846,36.25,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,68001,31.0,21.6058,69.0,0,calibration,
real_matbench_expt_gap,fixed_data_only_transfer,68002,41.875,36.2212,58.125,0,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,68002,100.0,63.6538,0.0,1,calibration,
real_matbench_expt_gap,gp_ucb,68002,100.0,63.6538,0.0,1,calibration,
real_matbench_expt_gap,llm_transfer_router,68002,41.875,36.2212,58.125,0,calibration,
real_matbench_expt_gap,matched_target_only_llm,68002,41.875,36.2212,58.125,0,calibration,llm_semantic_high_element_count
real_matbench_expt_gap,mixed_kernel_gp_ei,68002,32.5,31.6442,67.5,0,calibration,
real_matbench_expt_gap,source_warmstart_only,68002,41.875,36.2212,58.125,0,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,68002,42.5,33.2692,57.5,0,calibration,
real_matbench_expt_gap,fixed_data_only_transfer,68003,100.0,76.2115,0.0,1,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,68003,100.0,54.5096,0.0,1,calibration,
real_matbench_expt_gap,gp_ucb,68003,100.0,54.5096,0.0,1,calibration,
real_matbench_expt_gap,llm_transfer_router,68003,100.0,69.9231,0.0,1,calibration,
real_matbench_expt_gap,matched_target_only_llm,68003,100.0,76.2115,0.0,1,calibration,llm_semantic_high_element_count
real_matbench_expt_gap,mixed_kernel_gp_ei,68003,100.0,67.0577,0.0,1,calibration,
real_matbench_expt_gap,source_warmstart_only,68003,100.0,76.2115,0.0,1,calibration,
real_matbench_expt_gap,target_acquisition_portfolio,68003,100.0,54.5096,0.0,1,calibration,
real_matbench_expt_gap,fixed_data_only_transfer,68004,100.0,68.0962,0.0,1,calibration,
real_matbench_expt_gap,fixed_scale_ensemble_0p5_1_1p5_2_3_4,68004,40.625,22.4135,59.375,0,calibration,
real_matbench_expt_gap,gp_ucb,68004,40.625,21.9904,59.375,0,calibration,
real_matbench_expt_gap,llm_transfer_router,68004,100.0,68.0962,0.0,1,calibration,
