dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_buchwald_hartwig,fixed_data_only_transfer,64000,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,64000,99.0345,93.1824,0.9655,1,calibration,
real_buchwald_hartwig,gp_ucb,64000,87.7532,82.7462,12.2468,0,calibration,
real_buchwald_hartwig,llm_transfer_router,64000,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,matched_target_only_llm,64000,87.7532,82.7462,12.2468,0,calibration,gp_ucb
real_buchwald_hartwig,mixed_kernel_gp_ei,64000,98.1771,90.2853,1.8229,1,calibration,
real_buchwald_hartwig,source_warmstart_only,64000,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,64000,99.6191,93.4153,0.3809,1,calibration,
real_buchwald_hartwig,fixed_data_only_transfer,64001,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,64001,98.1771,82.2148,1.8229,1,calibration,
real_buchwald_hartwig,gp_ucb,64001,97.5685,72.1759,2.4315,1,calibration,
real_buchwald_hartwig,llm_transfer_router,64001,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,matched_target_only_llm,64001,97.5685,72.1759,2.4315,1,calibration,gp_ucb
real_buchwald_hartwig,mixed_kernel_gp_ei,64001,97.5685,68.5995,2.4315,1,calibration,
real_buchwald_hartwig,source_warmstart_only,64001,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,64001,83.0547,59.7139,16.9453,0,calibration,
real_buchwald_hartwig,fixed_data_only_transfer,64002,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,64002,70.7416,63.0052,29.2584,0,calibration,
real_buchwald_hartwig,gp_ucb,64002,92.9567,55.8392,7.0433,0,calibration,
real_buchwald_hartwig,llm_transfer_router,64002,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,matched_target_only_llm,64002,92.9567,55.8392,7.0433,0,calibration,gp_ucb
real_buchwald_hartwig,mixed_kernel_gp_ei,64002,83.4092,42.9957,16.5908,0,calibration,
real_buchwald_hartwig,source_warmstart_only,64002,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,64002,92.9567,50.4962,7.0433,0,calibration,
real_buchwald_hartwig,fixed_data_only_transfer,64003,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,64003,100.0,82.1501,0.0,1,calibration,
real_buchwald_hartwig,gp_ucb,64003,100.0,86.1926,0.0,1,calibration,
real_buchwald_hartwig,llm_transfer_router,64003,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,matched_target_only_llm,64003,100.0,86.1926,0.0,1,calibration,gp_ucb
real_buchwald_hartwig,mixed_kernel_gp_ei,64003,96.1323,91.6643,3.8677,0,calibration,
real_buchwald_hartwig,source_warmstart_only,64003,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,64003,79.1819,71.057,20.8181,0,calibration,
real_buchwald_hartwig,fixed_data_only_transfer,64004,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,64004,93.4211,76.7575,6.5789,0,calibration,
real_buchwald_hartwig,gp_ucb,64004,98.2872,69.0428,1.7128,1,calibration,
real_buchwald_hartwig,llm_transfer_router,64004,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,matched_target_only_llm,64004,98.2872,69.0428,1.7128,1,calibration,gp_ucb
real_buchwald_hartwig,mixed_kernel_gp_ei,64004,98.2872,59.3957,1.7128,1,calibration,
real_buchwald_hartwig,source_warmstart_only,64004,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,64004,98.2872,75.3478,1.7128,1,calibration,
real_buchwald_hartwig,fixed_data_only_transfer,64005,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,64005,74.0474,61.9532,25.9526,0,calibration,
real_buchwald_hartwig,gp_ucb,64005,85.8123,48.7318,14.1877,0,calibration,
real_buchwald_hartwig,llm_transfer_router,64005,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,matched_target_only_llm,64005,85.8123,48.7318,14.1877,0,calibration,gp_ucb
real_buchwald_hartwig,mixed_kernel_gp_ei,64005,85.8123,45.0683,14.1877,0,calibration,
real_buchwald_hartwig,source_warmstart_only,64005,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,target_acquisition_portfolio,64005,85.8123,44.9737,14.1877,0,calibration,
real_buchwald_hartwig,fixed_data_only_transfer,64006,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,fixed_scale_ensemble_0p5_1_1p5_2_3_4,64006,87.3638,69.5698,12.6362,0,calibration,
real_buchwald_hartwig,gp_ucb,64006,84.4243,59.0163,15.5757,0,calibration,
real_buchwald_hartwig,llm_transfer_router,64006,99.6191,89.554,0.3809,1,calibration,
real_buchwald_hartwig,matched_target_only_llm,64006,84.4243,59.0163,15.5757,0,calibration,gp_ucb
real_buchwald_hartwig,mixed_kernel_gp_ei,64006,97.2929,79.6366,2.7071,0,calibration,
real_buchwald_hartwig,source_warmstart_only,64006,99.6191,89.554,0.3809,1,calibration,
